pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Aerodactyl,110,move,1,Dual Wingbeat,76.7%,,,,,,,,
Aerodactyl,110,move,2,Earthquake,63.3%,,,,,,,,
Aerodactyl,110,move,3,Rock Slide,54.1%,,,,,,,,
Aerodactyl,110,move,4,Ice Fang,49.4%,,,,,,,,
Aerodactyl,110,move,5,Dragon Dance,21.5%,,,,,,,,
Aerodactyl,110,move,6,Stone Edge,19.8%,,,,,,,,
Aerodactyl,110,move,7,Taunt,15.6%,,,,,,,,
Aerodactyl,110,move,8,Tailwind,14.7%,,,,,,,,
Aerodactyl,110,move,9,Stealth Rock,13.3%,,,,,,,,
Aerodactyl,110,move,10,Iron Head,12.6%,,,,,,,,
Aerodactyl,110,held_item,1,Aerodactylite,69.7%,,,,,,,,
Aerodactyl,110,held_item,2,Focus Sash,14.1%,,,,,,,,
Aerodactyl,110,held_item,3,Life Orb,3.8%,,,,,,,,
Aerodactyl,110,held_item,4,Choice Scarf,2.8%,,,,,,,,
Aerodactyl,110,held_item,5,Sitrus Berry,1.3%,,,,,,,,
Aerodactyl,110,held_item,6,Wide Lens,1.3%,,,,,,,,
Aerodactyl,110,held_item,7,King's Rock,1.1%,,,,,,,,
Aerodactyl,110,held_item,8,Expert Belt,0.8%,,,,,,,,
Aerodactyl,110,held_item,9,Bright Powder,0.7%,,,,,,,,
Aerodactyl,110,held_item,10,Lum Berry,,,,,,,,,
Aerodactyl,110,teammate,1,Garchomp,,,,,,,,,
Aerodactyl,110,teammate,2,Raichu,,,,,,,,,
Aerodactyl,110,teammate,3,Meowscarada,,,,,,,,,
Aerodactyl,110,teammate,4,Archaludon,,,,,,,,,
Aerodactyl,110,teammate,5,Charizard,,,,,,,,,
Aerodactyl,110,teammate,6,Basculegion Male,,,,,,,,,
Aerodactyl,110,teammate,7,Kingambit,,,,,,,,,
Aerodactyl,110,teammate,8,Mimikyu,,,,,,,,,
Aerodactyl,110,teammate,9,Sneasler,,,,,,,,,
Aerodactyl,110,teammate,10,Alolan Ninetales,,,,,,,,,
Aerodactyl,110,stat_alignment,1,Jolly,64.2%,Speed,Sp. Atk,,,,,,
Aerodactyl,110,stat_alignment,2,Adamant,29.8%,Attack,Sp. Atk,,,,,,
Aerodactyl,110,stat_alignment,3,Naive,1.4%,Speed,Sp. Def,,,,,,
Aerodactyl,110,stat_alignment,4,Hasty,1.3%,Speed,Defense,,,,,,
Aerodactyl,110,stat_alignment,5,Naughty,1.1%,Attack,Sp. Def,,,,,,
Aerodactyl,110,stat_alignment,6,Lonely,0.9%,Attack,Defense,,,,,,
Aerodactyl,110,stat_alignment,7,Impish,0.4%,Defense,Sp. Atk,,,,,,
Aerodactyl,110,stat_alignment,8,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,
Aerodactyl,110,stat_alignment,9,Brave,0.2%,Attack,Speed,,,,,,
Aerodactyl,110,stat_alignment,10,Timid,0.1%,Speed,Attack,,,,,,
Aerodactyl,110,stat_points,1,,55.7%,,,2,32,0,0,0,32
Aerodactyl,110,stat_points,2,,10.6%,,,0,32,2,0,0,32
Aerodactyl,110,stat_points,3,,7.7%,,,0,32,0,0,2,32
Aerodactyl,110,stat_points,4,,3.1%,,,0,32,0,0,0,32
Aerodactyl,110,stat_points,5,,1.6%,,,8,32,0,0,0,26
Aerodactyl,110,stat_points,6,,1.3%,,,32,0,10,0,0,24
Aerodactyl,110,stat_points,7,,1.1%,,,4,32,0,0,0,30
Aerodactyl,110,stat_points,8,,0.8%,,,0,32,1,0,1,32
Aerodactyl,110,stat_points,9,,0.5%,,,3,32,0,0,0,31
Aerodactyl,110,stat_points,10,,0.5%,,,32,2,0,0,0,32
Aerodactyl,110,stat_points,11,,0.5%,,,32,32,0,0,0,2
Aerodactyl,110,stat_points,12,,0.5%,,,32,32,0,0,2,0
Aerodactyl,110,ability,1,Unnerve,69.9%,,,,,,,,
Aerodactyl,110,ability,2,Pressure,20.3%,,,,,,,,
Aerodactyl,110,ability,3,Rock Head,9.8%,,,,,,,,
