pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Alcremie,189,move,1,Calm Mind,88.4%,,,,,,,,
Alcremie,189,move,2,Acid Armor,82.0%,,,,,,,,
Alcremie,189,move,3,Recover,74.3%,,,,,,,,
Alcremie,189,move,4,Alluring Voice,47.8%,,,,,,,,
Alcremie,189,move,5,Draining Kiss,34.3%,,,,,,,,
Alcremie,189,move,6,Stored Power,24.0%,,,,,,,,
Alcremie,189,move,7,Mystical Fire,14.4%,,,,,,,,
Alcremie,189,move,8,Dazzling Gleam,6.9%,,,,,,,,
Alcremie,189,move,9,Giga Drain,6.4%,,,,,,,,
Alcremie,189,move,10,Decorate,2.7%,,,,,,,,
Alcremie,189,held_item,1,Leftovers,69.0%,,,,,,,,
Alcremie,189,held_item,2,Sitrus Berry,13.2%,,,,,,,,
Alcremie,189,held_item,3,Bright Powder,3.7%,,,,,,,,
Alcremie,189,held_item,4,Big Root,3.3%,,,,,,,,
Alcremie,189,held_item,5,Babiri Berry,2.4%,,,,,,,,
Alcremie,189,held_item,6,Lum Berry,1.9%,,,,,,,,
Alcremie,189,held_item,7,Quick Claw,1.3%,,,,,,,,
Alcremie,189,held_item,8,Fairy Feather,1.2%,,,,,,,,
Alcremie,189,held_item,9,Life Orb,1.1%,,,,,,,,
Alcremie,189,held_item,10,Focus Sash,0.5%,,,,,,,,
Alcremie,189,teammate,1,Garchomp,,,,,,,,,
Alcremie,189,teammate,2,Raichu,,,,,,,,,
Alcremie,189,teammate,3,Meowscarada,,,,,,,,,
Alcremie,189,teammate,4,Mimikyu,,,,,,,,,
Alcremie,189,teammate,5,Staraptor,,,,,,,,,
Alcremie,189,teammate,6,Archaludon,,,,,,,,,
Alcremie,189,teammate,7,Basculegion Male,,,,,,,,,
Alcremie,189,teammate,8,Charizard,,,,,,,,,
Alcremie,189,teammate,9,Blaziken,,,,,,,,,
Alcremie,189,teammate,10,Grimmsnarl,,,,,,,,,
Alcremie,189,stat_alignment,1,Bold,56.4%,Defense,Attack,,,,,,
Alcremie,189,stat_alignment,2,Calm,29.7%,Sp. Def,Attack,,,,,,
Alcremie,189,stat_alignment,3,Modest,8.9%,Sp. Atk,Attack,,,,,,
Alcremie,189,stat_alignment,4,Timid,1.9%,Speed,Attack,,,,,,
Alcremie,189,stat_alignment,5,Relaxed,1.3%,Defense,Speed,,,,,,
Alcremie,189,stat_alignment,6,Sassy,0.9%,Sp. Def,Speed,,,,,,
Alcremie,189,stat_alignment,7,Quiet,0.4%,Sp. Atk,Speed,,,,,,
Alcremie,189,stat_alignment,8,Mild,0.3%,Sp. Atk,Defense,,,,,,
Alcremie,189,stat_alignment,9,Gentle,0.2%,Sp. Def,Defense,,,,,,
Alcremie,189,stat_alignment,10,Careful,0.0%,Sp. Def,Sp. Atk,,,,,,
Alcremie,189,stat_points,1,,30.0%,,,32,0,32,0,2,0
Alcremie,189,stat_points,2,,6.6%,,,32,0,2,0,32,0
Alcremie,189,stat_points,3,,4.7%,,,32,0,32,2,0,0
Alcremie,189,stat_points,4,,3.7%,,,31,0,18,0,17,0
Alcremie,189,stat_points,5,,3.4%,,,31,0,32,0,3,0
Alcremie,189,stat_points,6,,3.3%,,,32,0,0,2,32,0
Alcremie,189,stat_points,7,,3.1%,,,32,0,32,0,0,0
Alcremie,189,stat_points,8,,2.5%,,,2,0,32,0,32,0
Alcremie,189,stat_points,9,,1.8%,,,31,0,16,0,19,0
Alcremie,189,stat_points,10,,1.7%,,,32,0,0,0,32,0
Alcremie,189,ability,1,Aroma Veil,82.8%,,,,,,,,
Alcremie,189,ability,2,Sweet Veil,17.2%,,,,,,,,
