pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Alolan Ninetales,13,move,1,Aurora Veil,97.6%,,,,,,,,
Alolan Ninetales,13,move,2,Freeze-Dry,85.1%,,,,,,,,
Alolan Ninetales,13,move,3,Blizzard,74.3%,,,,,,,,
Alolan Ninetales,13,move,4,Moonblast,53.0%,,,,,,,,
Alolan Ninetales,13,move,5,Encore,52.9%,,,,,,,,
Alolan Ninetales,13,move,6,Pain Split,8.0%,,,,,,,,
Alolan Ninetales,13,move,7,Misty Terrain,7.1%,,,,,,,,
Alolan Ninetales,13,move,8,Nasty Plot,4.4%,,,,,,,,
Alolan Ninetales,13,move,9,Ice Shard,3.5%,,,,,,,,
Alolan Ninetales,13,move,10,Baton Pass,1.2%,,,,,,,,
Alolan Ninetales,13,held_item,1,Light Clay,88.8%,,,,,,,,
Alolan Ninetales,13,held_item,2,Focus Sash,3.5%,,,,,,,,
Alolan Ninetales,13,held_item,3,Never-Melt Ice,3.2%,,,,,,,,
Alolan Ninetales,13,held_item,4,Sitrus Berry,1.0%,,,,,,,,
Alolan Ninetales,13,held_item,5,Choice Scarf,0.8%,,,,,,,,
Alolan Ninetales,13,held_item,6,Icy Rock,0.5%,,,,,,,,
Alolan Ninetales,13,held_item,7,Life Orb,0.4%,,,,,,,,
Alolan Ninetales,13,held_item,8,Leftovers,0.4%,,,,,,,,
Alolan Ninetales,13,held_item,9,Lum Berry,0.2%,,,,,,,,
Alolan Ninetales,13,held_item,10,Bright Powder,0.2%,,,,,,,,
Alolan Ninetales,13,teammate,1,Garchomp,,,,,,,,,
Alolan Ninetales,13,teammate,2,Blaziken,,,,,,,,,
Alolan Ninetales,13,teammate,3,Metagross,,,,,,,,,
Alolan Ninetales,13,teammate,4,Staraptor,,,,,,,,,
Alolan Ninetales,13,teammate,5,Raichu,,,,,,,,,
Alolan Ninetales,13,teammate,6,Mimikyu,,,,,,,,,
Alolan Ninetales,13,teammate,7,Meowscarada,,,,,,,,,
Alolan Ninetales,13,teammate,8,Gyarados,,,,,,,,,
Alolan Ninetales,13,teammate,9,Delphox,,,,,,,,,
Alolan Ninetales,13,teammate,10,Archaludon,,,,,,,,,
Alolan Ninetales,13,stat_alignment,1,Timid,82.8%,Speed,Attack,,,,,,
Alolan Ninetales,13,stat_alignment,2,Bold,7.8%,Defense,Attack,,,,,,
Alolan Ninetales,13,stat_alignment,3,Modest,6.7%,Sp. Atk,Attack,,,,,,
Alolan Ninetales,13,stat_alignment,4,Calm,1.3%,Sp. Def,Attack,,,,,,
Alolan Ninetales,13,stat_alignment,5,Hasty,0.3%,Speed,Defense,,,,,,
Alolan Ninetales,13,stat_alignment,6,Mild,0.3%,Sp. Atk,Defense,,,,,,
Alolan Ninetales,13,stat_alignment,7,Quiet,0.2%,Sp. Atk,Speed,,,,,,
Alolan Ninetales,13,stat_alignment,8,Jolly,0.1%,Speed,Sp. Atk,,,,,,
Alolan Ninetales,13,stat_alignment,9,Naive,0.1%,Speed,Sp. Def,,,,,,
Alolan Ninetales,13,stat_alignment,10,Relaxed,0.1%,Defense,Speed,,,,,,
Alolan Ninetales,13,stat_points,1,,22.8%,,,2,0,0,32,0,32
Alolan Ninetales,13,stat_points,2,,6.4%,,,31,0,9,0,0,26
Alolan Ninetales,13,stat_points,3,,5.9%,,,1,0,1,32,0,32
Alolan Ninetales,13,stat_points,4,,5.7%,,,32,0,0,2,0,32
Alolan Ninetales,13,stat_points,5,,3.6%,,,0,0,2,32,0,32
Alolan Ninetales,13,stat_points,6,,3.0%,,,32,0,2,0,0,32
Alolan Ninetales,13,stat_points,7,,2.6%,,,31,0,3,0,0,32
Alolan Ninetales,13,stat_points,8,,2.5%,,,31,0,26,0,0,9
Alolan Ninetales,13,stat_points,9,,2.4%,,,0,0,0,32,2,32
Alolan Ninetales,13,stat_points,10,,1.6%,,,31,0,26,3,0,6
Alolan Ninetales,13,stat_points,11,,1.5%,,,31,0,0,3,0,32
Alolan Ninetales,13,stat_points,12,,1.4%,,,7,0,1,29,0,29
Alolan Ninetales,13,ability,1,Snow Warning,99.6%,,,,,,,,
Alolan Ninetales,13,ability,2,Snow Cloak,0.4%,,,,,,,,
