pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Alolan Raichu,216,move,1,Psychic,,,,,,,,,
Alolan Raichu,216,move,2,Thunderbolt,46.9%,,,,,,,,
Alolan Raichu,216,move,3,Electric Terrain,44.2%,,,,,,,,
Alolan Raichu,216,move,4,Grass Knot,36.5%,,,,,,,,
Alolan Raichu,216,move,5,Rising Voltage,34.5%,,,,,,,,
Alolan Raichu,216,move,6,Surf,19.5%,,,,,,,,
Alolan Raichu,216,move,7,Volt Switch,19.3%,,,,,,,,
Alolan Raichu,216,move,8,Alluring Voice,18.1%,,,,,,,,
Alolan Raichu,216,move,9,Focus Blast,16.1%,,,,,,,,
Alolan Raichu,216,move,10,Psyshock,11.3%,,,,,,,,
Alolan Raichu,216,held_item,1,Focus Sash,47.2%,,,,,,,,
Alolan Raichu,216,held_item,2,Life Orb,15.9%,,,,,,,,
Alolan Raichu,216,held_item,3,Magnet,7.1%,,,,,,,,
Alolan Raichu,216,held_item,4,Choice Scarf,6.8%,,,,,,,,
Alolan Raichu,216,held_item,5,Expert Belt,4.2%,,,,,,,,
Alolan Raichu,216,held_item,6,Raichunite Y,2.5%,,,,,,,,
Alolan Raichu,216,held_item,7,Sitrus Berry,1.8%,,,,,,,,
Alolan Raichu,216,held_item,8,Lum Berry,1.6%,,,,,,,,
Alolan Raichu,216,held_item,9,Bright Powder,1.6%,,,,,,,,
Alolan Raichu,216,held_item,10,Quick Claw,1.2%,,,,,,,,
Alolan Raichu,216,teammate,1,Garchomp,,,,,,,,,
Alolan Raichu,216,teammate,2,Charizard,,,,,,,,,
Alolan Raichu,216,teammate,3,Mimikyu,,,,,,,,,
Alolan Raichu,216,teammate,4,Staraptor,,,,,,,,,
Alolan Raichu,216,teammate,5,Meowscarada,,,,,,,,,
Alolan Raichu,216,teammate,6,Metagross,,,,,,,,,
Alolan Raichu,216,teammate,7,Dragapult,,,,,,,,,
Alolan Raichu,216,teammate,8,Swampert,,,,,,,,,
Alolan Raichu,216,teammate,9,Sceptile,,,,,,,,,
Alolan Raichu,216,teammate,10,Kingambit,,,,,,,,,
Alolan Raichu,216,stat_alignment,1,Modest,47.9%,Sp. Atk,Attack,,,,,,
Alolan Raichu,216,stat_alignment,2,Timid,38.7%,Speed,Attack,,,,,,
Alolan Raichu,216,stat_alignment,3,Bold,2.5%,Defense,Attack,,,,,,
Alolan Raichu,216,stat_alignment,4,Jolly,2.3%,Speed,Sp. Atk,,,,,,
Alolan Raichu,216,stat_alignment,5,Mild,1.9%,Sp. Atk,Defense,,,,,,
Alolan Raichu,216,stat_alignment,6,Hasty,1.8%,Speed,Defense,,,,,,
Alolan Raichu,216,stat_alignment,7,Naive,1.7%,Speed,Sp. Def,,,,,,
Alolan Raichu,216,stat_alignment,8,Quiet,1.4%,Sp. Atk,Speed,,,,,,
Alolan Raichu,216,stat_alignment,9,Gentle,0.8%,Sp. Def,Defense,,,,,,
Alolan Raichu,216,stat_alignment,10,Adamant,0.2%,Attack,Sp. Atk,,,,,,
Alolan Raichu,216,stat_points,1,,42.2%,,,2,0,0,32,0,32
Alolan Raichu,216,stat_points,2,,14.8%,,,0,0,2,32,0,32
Alolan Raichu,216,stat_points,3,,13.9%,,,0,0,0,32,2,32
Alolan Raichu,216,stat_points,4,,2.5%,,,0,0,0,32,0,32
Alolan Raichu,216,stat_points,5,,2.4%,,,0,0,0,32,32,2
Alolan Raichu,216,stat_points,6,,1.6%,,,32,0,0,32,0,0
Alolan Raichu,216,stat_points,7,,1.5%,,,0,0,32,32,0,2
Alolan Raichu,216,stat_points,8,,1.5%,,,8,0,1,32,0,25
Alolan Raichu,216,stat_points,9,,1.4%,,,0,0,0,32,13,21
Alolan Raichu,216,stat_points,10,,1.3%,,,0,0,0,32,1,32
Alolan Raichu,216,stat_points,11,,1.3%,,,32,0,2,32,0,0
Alolan Raichu,216,stat_points,12,,1.1%,,,0,2,0,32,0,32
Alolan Raichu,216,ability,1,Surge Surfer,100.0%,,,,,,,,
