pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Appletun,209,move,1,Apple Acid,84.1%,,,,,,,,
Appletun,209,move,2,Recover,64.0%,,,,,,,,
Appletun,209,move,3,Leech Seed,58.4%,,,,,,,,
Appletun,209,move,4,Iron Defense,37.9%,,,,,,,,
Appletun,209,move,5,Amnesia,24.8%,,,,,,,,
Appletun,209,move,6,Body Press,21.1%,,,,,,,,
Appletun,209,move,7,Draco Meteor,17.0%,,,,,,,,
Appletun,209,move,8,Dragon Pulse,15.1%,,,,,,,,
Appletun,209,move,9,Protect,12.5%,,,,,,,,
Appletun,209,move,10,Recycle,11.8%,,,,,,,,
Appletun,209,held_item,1,Leftovers,41.0%,,,,,,,,
Appletun,209,held_item,2,Sitrus Berry,28.1%,,,,,,,,
Appletun,209,held_item,3,Yache Berry,8.7%,,,,,,,,
Appletun,209,held_item,4,Big Root,4.7%,,,,,,,,
Appletun,209,held_item,5,Quick Claw,2.6%,,,,,,,,
Appletun,209,held_item,6,Haban Berry,2.3%,,,,,,,,
Appletun,209,held_item,7,Focus Sash,2.0%,,,,,,,,
Appletun,209,held_item,8,Lum Berry,1.8%,,,,,,,,
Appletun,209,held_item,9,Chesto Berry,1.8%,,,,,,,,
Appletun,209,held_item,10,Light Clay,1.3%,,,,,,,,
Appletun,209,teammate,1,Garchomp,,,,,,,,,
Appletun,209,teammate,2,Raichu,,,,,,,,,
Appletun,209,teammate,3,Mimikyu,,,,,,,,,
Appletun,209,teammate,4,Corviknight,,,,,,,,,
Appletun,209,teammate,5,Charizard,,,,,,,,,
Appletun,209,teammate,6,Meowscarada,,,,,,,,,
Appletun,209,teammate,7,Metagross,,,,,,,,,
Appletun,209,teammate,8,Staraptor,,,,,,,,,
Appletun,209,teammate,9,Swampert,,,,,,,,,
Appletun,209,teammate,10,Skeledirge,,,,,,,,,
Appletun,209,stat_alignment,1,Bold,33.2%,Defense,Attack,,,,,,
Appletun,209,stat_alignment,2,Calm,28.5%,Sp. Def,Attack,,,,,,
Appletun,209,stat_alignment,3,Modest,12.7%,Sp. Atk,Attack,,,,,,
Appletun,209,stat_alignment,4,Relaxed,7.7%,Defense,Speed,,,,,,
Appletun,209,stat_alignment,5,Sassy,7.5%,Sp. Def,Speed,,,,,,
Appletun,209,stat_alignment,6,Quiet,5.4%,Sp. Atk,Speed,,,,,,
Appletun,209,stat_alignment,7,Adamant,2.8%,Attack,Sp. Atk,,,,,,
Appletun,209,stat_alignment,8,Careful,0.8%,Sp. Def,Sp. Atk,,,,,,
Appletun,209,stat_alignment,9,Impish,0.6%,Defense,Sp. Atk,,,,,,
Appletun,209,stat_alignment,10,Timid,0.4%,Speed,Attack,,,,,,
Appletun,209,stat_points,1,,20.7%,,,32,0,32,0,2,0
Appletun,209,stat_points,2,,20.2%,,,32,0,2,0,32,0
Appletun,209,stat_points,3,,4.9%,,,32,0,32,2,0,0
Appletun,209,stat_points,4,,4.1%,,,2,0,32,0,32,0
Appletun,209,stat_points,5,,3.5%,,,32,0,0,2,32,0
Appletun,209,stat_points,6,,3.3%,,,32,0,2,32,0,0
Appletun,209,stat_points,7,,3.1%,,,32,0,0,32,2,0
Appletun,209,stat_points,8,,2.8%,,,2,0,32,32,0,0
Appletun,209,stat_points,9,,2.4%,,,32,32,2,0,0,0
Appletun,209,stat_points,10,,2.1%,,,0,0,2,32,0,32
Appletun,209,stat_points,11,,2.0%,,,32,0,0,0,32,0
Appletun,209,stat_points,12,,1.7%,,,2,0,0,32,32,0
Appletun,209,ability,1,Thick Fat,86.3%,,,,,,,,
Appletun,209,ability,2,Ripen,12.2%,,,,,,,,
Appletun,209,ability,3,Gluttony,1.5%,,,,,,,,
