pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Araquanid,60,move,1,Sticky Web,93.5%,,,,,,,,
Araquanid,60,move,2,Liquidation,86.6%,,,,,,,,
Araquanid,60,move,3,Mirror Coat,75.7%,,,,,,,,
Araquanid,60,move,4,Lunge,30.8%,,,,,,,,
Araquanid,60,move,5,Leech Life,17.2%,,,,,,,,
Araquanid,60,move,6,Pounce,16.1%,,,,,,,,
Araquanid,60,move,7,Endeavor,11.5%,,,,,,,,
Araquanid,60,move,8,Surf,10.0%,,,,,,,,
Araquanid,60,move,9,Reflect,8.8%,,,,,,,,
Araquanid,60,move,10,Icy Wind,7.2%,,,,,,,,
Araquanid,60,held_item,1,Sitrus Berry,52.5%,,,,,,,,
Araquanid,60,held_item,2,Mystic Water,11.0%,,,,,,,,
Araquanid,60,held_item,3,Focus Sash,10.1%,,,,,,,,
Araquanid,60,held_item,4,Leftovers,9.0%,,,,,,,,
Araquanid,60,held_item,5,Wacan Berry,3.8%,,,,,,,,
Araquanid,60,held_item,6,Quick Claw,2.1%,,,,,,,,
Araquanid,60,held_item,7,Life Orb,2.1%,,,,,,,,
Araquanid,60,held_item,8,Mental Herb,2.0%,,,,,,,,
Araquanid,60,held_item,9,Lum Berry,1.9%,,,,,,,,
Araquanid,60,held_item,10,Charti Berry,1.0%,,,,,,,,
Araquanid,60,teammate,1,Garchomp,,,,,,,,,
Araquanid,60,teammate,2,Raichu,,,,,,,,,
Araquanid,60,teammate,3,Staraptor,,,,,,,,,
Araquanid,60,teammate,4,Metagross,,,,,,,,,
Araquanid,60,teammate,5,Mimikyu,,,,,,,,,
Araquanid,60,teammate,6,Meowscarada,,,,,,,,,
Araquanid,60,teammate,7,Archaludon,,,,,,,,,
Araquanid,60,teammate,8,Corviknight,,,,,,,,,
Araquanid,60,teammate,9,Charizard,,,,,,,,,
Araquanid,60,teammate,10,Alolan Ninetales,,,,,,,,,
Araquanid,60,stat_alignment,1,Adamant,42.3%,Attack,Sp. Atk,,,,,,
Araquanid,60,stat_alignment,2,Impish,21.8%,Defense,Sp. Atk,,,,,,
Araquanid,60,stat_alignment,3,Careful,12.6%,Sp. Def,Sp. Atk,,,,,,
Araquanid,60,stat_alignment,4,Modest,7.8%,Sp. Atk,Attack,,,,,,
Araquanid,60,stat_alignment,5,Brave,4.2%,Attack,Speed,,,,,,
Araquanid,60,stat_alignment,6,Relaxed,2.5%,Defense,Speed,,,,,,
Araquanid,60,stat_alignment,7,Sassy,2.5%,Sp. Def,Speed,,,,,,
Araquanid,60,stat_alignment,8,Bold,2.2%,Defense,Attack,,,,,,
Araquanid,60,stat_alignment,9,Calm,1.4%,Sp. Def,Attack,,,,,,
Araquanid,60,stat_alignment,10,Jolly,1.1%,Speed,Sp. Atk,,,,,,
Araquanid,60,stat_points,1,,23.9%,,,32,32,2,0,0,0
Araquanid,60,stat_points,2,,8.3%,,,32,0,32,0,2,0
Araquanid,60,stat_points,3,,5.9%,,,32,32,0,0,2,0
Araquanid,60,stat_points,4,,3.3%,,,32,0,28,0,6,0
Araquanid,60,stat_points,5,,3.2%,,,32,0,2,0,32,0
Araquanid,60,stat_points,6,,3.1%,,,32,2,32,0,0,0
Araquanid,60,stat_points,7,,2.0%,,,32,32,0,0,0,2
Araquanid,60,stat_points,8,,1.9%,,,32,0,2,32,0,0
Araquanid,60,stat_points,9,,1.8%,,,32,30,4,0,0,0
Araquanid,60,stat_points,10,,1.7%,,,32,2,0,0,32,0
Araquanid,60,stat_points,11,,1.5%,,,28,32,0,0,0,6
Araquanid,60,stat_points,12,,1.5%,,,28,0,0,32,0,6
Araquanid,60,ability,1,Water Bubble,96.9%,,,,,,,,
Araquanid,60,ability,2,Water Absorb,3.1%,,,,,,,,
