pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Arcanine,114,move,1,Flare Blitz,62.2%,,,,,,,,
Arcanine,114,move,2,Extreme Speed,62.0%,,,,,,,,
Arcanine,114,move,3,Will-O-Wisp,54.7%,,,,,,,,
Arcanine,114,move,4,Morning Sun,48.0%,,,,,,,,
Arcanine,114,move,5,Play Rough,32.8%,,,,,,,,
Arcanine,114,move,6,Flamethrower,20.4%,,,,,,,,
Arcanine,114,move,7,Bulldoze,19.4%,,,,,,,,
Arcanine,114,move,8,Snarl,18.9%,,,,,,,,
Arcanine,114,move,9,Wild Charge,15.1%,,,,,,,,
Arcanine,114,move,10,Close Combat,13.7%,,,,,,,,
Arcanine,114,held_item,1,Sitrus Berry,39.2%,,,,,,,,
Arcanine,114,held_item,2,Leftovers,26.5%,,,,,,,,
Arcanine,114,held_item,3,Life Orb,10.3%,,,,,,,,
Arcanine,114,held_item,4,Shuca Berry,9.2%,,,,,,,,
Arcanine,114,held_item,5,Lum Berry,3.0%,,,,,,,,
Arcanine,114,held_item,6,Choice Scarf,2.6%,,,,,,,,
Arcanine,114,held_item,7,Charcoal,2.1%,,,,,,,,
Arcanine,114,held_item,8,Focus Sash,1.9%,,,,,,,,
Arcanine,114,held_item,9,Expert Belt,1.7%,,,,,,,,
Arcanine,114,held_item,10,Quick Claw,1.6%,,,,,,,,
Arcanine,114,teammate,1,Garchomp,,,,,,,,,
Arcanine,114,teammate,2,Raichu,,,,,,,,,
Arcanine,114,teammate,3,Dragonite,,,,,,,,,
Arcanine,114,teammate,4,Meowscarada,,,,,,,,,
Arcanine,114,teammate,5,Staraptor,,,,,,,,,
Arcanine,114,teammate,6,Tyranitar,,,,,,,,,
Arcanine,114,teammate,7,Metagross,,,,,,,,,
Arcanine,114,teammate,8,Corviknight,,,,,,,,,
Arcanine,114,teammate,9,Mimikyu,,,,,,,,,
Arcanine,114,teammate,10,Sylveon,,,,,,,,,
Arcanine,114,stat_alignment,1,Adamant,45.3%,Attack,Sp. Atk,,,,,,
Arcanine,114,stat_alignment,2,Bold,20.6%,Defense,Attack,,,,,,
Arcanine,114,stat_alignment,3,Impish,13.2%,Defense,Sp. Atk,,,,,,
Arcanine,114,stat_alignment,4,Jolly,6.3%,Speed,Sp. Atk,,,,,,
Arcanine,114,stat_alignment,5,Calm,3.0%,Sp. Def,Attack,,,,,,
Arcanine,114,stat_alignment,6,Modest,2.4%,Sp. Atk,Attack,,,,,,
Arcanine,114,stat_alignment,7,Careful,2.0%,Sp. Def,Sp. Atk,,,,,,
Arcanine,114,stat_alignment,8,Timid,1.8%,Speed,Attack,,,,,,
Arcanine,114,stat_alignment,9,Quiet,0.9%,Sp. Atk,Speed,,,,,,
Arcanine,114,stat_alignment,10,Relaxed,0.8%,Defense,Speed,,,,,,
Arcanine,114,stat_points,1,,26.6%,,,32,32,0,0,0,2
Arcanine,114,stat_points,2,,9.0%,,,32,0,32,0,2,0
Arcanine,114,stat_points,3,,7.8%,,,2,32,0,0,0,32
Arcanine,114,stat_points,4,,6.8%,,,32,0,32,0,0,2
Arcanine,114,stat_points,5,,4.1%,,,32,2,32,0,0,0
Arcanine,114,stat_points,6,,3.7%,,,32,0,32,2,0,0
Arcanine,114,stat_points,7,,3.1%,,,32,32,2,0,0,0
Arcanine,114,stat_points,8,,1.9%,,,32,0,2,0,32,0
Arcanine,114,stat_points,9,,1.6%,,,0,32,0,0,0,32
Arcanine,114,stat_points,10,,1.1%,,,32,0,30,0,0,4
Arcanine,114,stat_points,11,,1.1%,,,2,0,0,32,0,32
Arcanine,114,stat_points,12,,0.9%,,,32,0,0,0,32,2
Arcanine,114,ability,1,Intimidate,96.7%,,,,,,,,
Arcanine,114,ability,2,Flash Fire,2.9%,,,,,,,,
Arcanine,114,ability,3,Justified,0.4%,,,,,,,,
