pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Archaludon,4,move,1,Flash Cannon,74.7%,,,,,,,,
Archaludon,4,move,2,Draco Meteor,72.5%,,,,,,,,
Archaludon,4,move,3,Thunderbolt,48.7%,,,,,,,,
Archaludon,4,move,4,Electro Shot,39.7%,,,,,,,,
Archaludon,4,move,5,Stealth Rock,37.6%,,,,,,,,
Archaludon,4,move,6,Aura Sphere,28.7%,,,,,,,,
Archaludon,4,move,7,Mirror Coat,15.5%,,,,,,,,
Archaludon,4,move,8,Dragon Tail,14.7%,,,,,,,,
Archaludon,4,move,9,Roar,12.7%,,,,,,,,
Archaludon,4,move,10,Dragon Pulse,10.4%,,,,,,,,
Archaludon,4,held_item,1,Sitrus Berry,29.9%,,,,,,,,
Archaludon,4,held_item,2,Leftovers,29.5%,,,,,,,,
Archaludon,4,held_item,3,White Herb,19.1%,,,,,,,,
Archaludon,4,held_item,4,Choice Scarf,10.8%,,,,,,,,
Archaludon,4,held_item,5,Scope Lens,1.7%,,,,,,,,
Archaludon,4,held_item,6,Chople Berry,1.4%,,,,,,,,
Archaludon,4,held_item,7,Shuca Berry,1.0%,,,,,,,,
Archaludon,4,held_item,8,Focus Sash,0.8%,,,,,,,,
Archaludon,4,held_item,9,Dragon Fang,0.8%,,,,,,,,
Archaludon,4,held_item,10,Light Clay,0.7%,,,,,,,,
Archaludon,4,teammate,1,Garchomp,,,,,,,,,
Archaludon,4,teammate,2,Swampert,,,,,,,,,
Archaludon,4,teammate,3,Pelipper,,,,,,,,,
Archaludon,4,teammate,4,Mimikyu,,,,,,,,,
Archaludon,4,teammate,5,Meowscarada,,,,,,,,,
Archaludon,4,teammate,6,Staraptor,,,,,,,,,
Archaludon,4,teammate,7,Raichu,,,,,,,,,
Archaludon,4,teammate,8,Charizard,,,,,,,,,
Archaludon,4,teammate,9,Basculegion Male,,,,,,,,,
Archaludon,4,teammate,10,Metagross,,,,,,,,,
Archaludon,4,stat_alignment,1,Modest,49.6%,Sp. Atk,Attack,,,,,,
Archaludon,4,stat_alignment,2,Bold,16.4%,Defense,Attack,,,,,,
Archaludon,4,stat_alignment,3,Timid,13.1%,Speed,Attack,,,,,,
Archaludon,4,stat_alignment,4,Calm,10.9%,Sp. Def,Attack,,,,,,
Archaludon,4,stat_alignment,5,Impish,2.8%,Defense,Sp. Atk,,,,,,
Archaludon,4,stat_alignment,6,Relaxed,2.2%,Defense,Speed,,,,,,
Archaludon,4,stat_alignment,7,Careful,1.3%,Sp. Def,Sp. Atk,,,,,,
Archaludon,4,stat_alignment,8,Sassy,1.1%,Sp. Def,Speed,,,,,,
Archaludon,4,stat_alignment,9,Quiet,1.1%,Sp. Atk,Speed,,,,,,
Archaludon,4,stat_alignment,10,Rash,0.5%,Sp. Atk,Sp. Def,,,,,,
Archaludon,4,stat_points,1,,25.2%,,,2,0,0,32,0,32
Archaludon,4,stat_points,2,,7.5%,,,32,0,2,0,32,0
Archaludon,4,stat_points,3,,3.5%,,,32,0,0,32,0,2
Archaludon,4,stat_points,4,,3.4%,,,32,0,2,32,0,0
Archaludon,4,stat_points,5,,3.2%,,,0,0,2,32,0,32
Archaludon,4,stat_points,6,,3.2%,,,32,0,32,0,2,0
Archaludon,4,stat_points,7,,3.0%,,,32,0,0,32,2,0
Archaludon,4,stat_points,8,,2.4%,,,32,0,0,0,32,2
Archaludon,4,stat_points,9,,2.3%,,,0,0,0,32,2,32
Archaludon,4,stat_points,10,,1.7%,,,16,0,2,15,1,32
Archaludon,4,stat_points,11,,1.6%,,,32,0,0,2,32,0
Archaludon,4,stat_points,12,,1.3%,,,32,0,32,2,0,0
Archaludon,4,ability,1,Stamina,75.9%,,,,,,,,
Archaludon,4,ability,2,Sturdy,23.9%,,,,,,,,
Archaludon,4,ability,3,Stalwart,0.2%,,,,,,,,
