pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Ariados,151,move,1,Sticky Web,58.3%,,,,,,,,
Ariados,151,move,2,Toxic Thread,55.5%,,,,,,,,
Ariados,151,move,3,Assurance,30.9%,,,,,,,,
Ariados,151,move,4,Electroweb,30.9%,,,,,,,,
Ariados,151,move,5,Toxic Spikes,28.0%,,,,,,,,
Ariados,151,move,6,Knock Off,17.3%,,,,,,,,
Ariados,151,move,7,Poison Jab,13.7%,,,,,,,,
Ariados,151,move,8,Lunge,7.3%,,,,,,,,
Ariados,151,move,9,Foul Play,6.5%,,,,,,,,
Ariados,151,move,10,Shadow Sneak,6.4%,,,,,,,,
Ariados,151,held_item,1,Focus Sash,80.7%,,,,,,,,
Ariados,151,held_item,2,Sitrus Berry,4.8%,,,,,,,,
Ariados,151,held_item,3,Life Orb,2.9%,,,,,,,,
Ariados,151,held_item,4,Silver Powder,2.1%,,,,,,,,
Ariados,151,held_item,5,Scope Lens,1.7%,,,,,,,,
Ariados,151,held_item,6,Mental Herb,1.6%,,,,,,,,
Ariados,151,held_item,7,Quick Claw,1.4%,,,,,,,,
Ariados,151,held_item,8,Coba Berry,0.7%,,,,,,,,
Ariados,151,held_item,9,Expert Belt,0.7%,,,,,,,,
Ariados,151,held_item,10,White Herb,0.6%,,,,,,,,
Ariados,151,teammate,1,Raichu,,,,,,,,,
Ariados,151,teammate,2,Garchomp,,,,,,,,,
Ariados,151,teammate,3,Staraptor,,,,,,,,,
Ariados,151,teammate,4,Basculegion Male,,,,,,,,,
Ariados,151,teammate,5,Meowscarada,,,,,,,,,
Ariados,151,teammate,6,Archaludon,,,,,,,,,
Ariados,151,teammate,7,Mimikyu,,,,,,,,,
Ariados,151,teammate,8,Corviknight,,,,,,,,,
Ariados,151,teammate,9,Metagross,,,,,,,,,
Ariados,151,teammate,10,Charizard,,,,,,,,,
Ariados,151,stat_alignment,1,Jolly,46.6%,Speed,Sp. Atk,,,,,,
Ariados,151,stat_alignment,2,Adamant,36.2%,Attack,Sp. Atk,,,,,,
Ariados,151,stat_alignment,3,Impish,8.3%,Defense,Sp. Atk,,,,,,
Ariados,151,stat_alignment,4,Careful,1.7%,Sp. Def,Sp. Atk,,,,,,
Ariados,151,stat_alignment,5,Timid,1.4%,Speed,Attack,,,,,,
Ariados,151,stat_alignment,6,Bold,1.3%,Defense,Attack,,,,,,
Ariados,151,stat_alignment,7,Brave,1.2%,Attack,Speed,,,,,,
Ariados,151,stat_alignment,8,Hasty,1.2%,Speed,Defense,,,,,,
Ariados,151,stat_alignment,9,Quiet,0.5%,Sp. Atk,Speed,,,,,,
Ariados,151,stat_alignment,10,Mild,0.5%,Sp. Atk,Defense,,,,,,
Ariados,151,stat_points,1,,35.2%,,,2,32,0,0,0,32
Ariados,151,stat_points,2,,6.4%,,,32,0,2,0,0,32
Ariados,151,stat_points,3,,5.7%,,,0,32,2,0,0,32
Ariados,151,stat_points,4,,4.2%,,,32,0,2,0,0,0
Ariados,151,stat_points,5,,3.1%,,,0,32,0,0,2,32
Ariados,151,stat_points,6,,2.9%,,,32,0,32,0,2,0
Ariados,151,stat_points,7,,2.9%,,,0,32,0,0,2,32
Ariados,151,stat_points,8,,2.5%,,,0,32,0,32,0,2
Ariados,151,stat_points,9,,2.1%,,,0,32,1,0,0,2
Ariados,151,stat_points,10,,1.9%,,,2,0,0,0,0,32
Ariados,151,stat_points,11,,1.4%,,,32,0,0,32,0,2
Ariados,151,ability,1,Insomnia,67.8%,,,,,,,,
Ariados,151,ability,2,Sniper,19.9%,,,,,,,,
Ariados,151,ability,3,Overcoat,11.0%,,,,,,,,
