pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Armarouge,79,move,1,Armor Cannon,95.9%,,,,,,,,
Armarouge,79,move,2,Destiny Bond,59.9%,,,,,,,,
Armarouge,79,move,3,Psychic,51.0%,,,,,,,,
Armarouge,79,move,4,Energy Ball,35.6%,,,,,,,,
Armarouge,79,move,5,Expanding Force,34.3%,,,,,,,,
Armarouge,79,move,6,Psychic Terrain,33.9%,,,,,,,,
Armarouge,79,move,7,Aura Sphere,21.6%,,,,,,,,
Armarouge,79,move,8,Psyshock,9.0%,,,,,,,,
Armarouge,79,move,9,Trick Room,8.3%,,,,,,,,
Armarouge,79,move,10,Endure,7.4%,,,,,,,,
Armarouge,79,held_item,1,Focus Sash,75.8%,,,,,,,,
Armarouge,79,held_item,2,Life Orb,3.8%,,,,,,,,
Armarouge,79,held_item,3,Shuca Berry,3.0%,,,,,,,,
Armarouge,79,held_item,4,Sitrus Berry,2.8%,,,,,,,,
Armarouge,79,held_item,5,Choice Scarf,2.5%,,,,,,,,
Armarouge,79,held_item,6,White Herb,2.5%,,,,,,,,
Armarouge,79,held_item,7,Charcoal,1.3%,,,,,,,,
Armarouge,79,held_item,8,Expert Belt,1.2%,,,,,,,,
Armarouge,79,held_item,9,Quick Claw,1.0%,,,,,,,,
Armarouge,79,held_item,10,Leftovers,0.8%,,,,,,,,
Armarouge,79,teammate,1,Garchomp,,,,,,,,,
Armarouge,79,teammate,2,Raichu,,,,,,,,,
Armarouge,79,teammate,3,Meowscarada,,,,,,,,,
Armarouge,79,teammate,4,Mimikyu,,,,,,,,,
Armarouge,79,teammate,5,Staraptor,,,,,,,,,
Armarouge,79,teammate,6,Archaludon,,,,,,,,,
Armarouge,79,teammate,7,Metagross,,,,,,,,,
Armarouge,79,teammate,8,Gyarados,,,,,,,,,
Armarouge,79,teammate,9,Mawile,,,,,,,,,
Armarouge,79,teammate,10,Alolan Ninetales,,,,,,,,,
Armarouge,79,stat_alignment,1,Modest,75.2%,Sp. Atk,Attack,,,,,,
Armarouge,79,stat_alignment,2,Timid,18.1%,Speed,Attack,,,,,,
Armarouge,79,stat_alignment,3,Quiet,3.0%,Sp. Atk,Speed,,,,,,
Armarouge,79,stat_alignment,4,Bold,1.4%,Defense,Attack,,,,,,
Armarouge,79,stat_alignment,5,Calm,0.6%,Sp. Def,Attack,,,,,,
Armarouge,79,stat_alignment,6,Mild,0.5%,Sp. Atk,Defense,,,,,,
Armarouge,79,stat_alignment,7,Hasty,0.4%,Speed,Defense,,,,,,
Armarouge,79,stat_alignment,8,Relaxed,0.2%,Defense,Speed,,,,,,
Armarouge,79,stat_alignment,9,Sassy,0.1%,Sp. Def,Speed,,,,,,
Armarouge,79,stat_alignment,10,Rash,0.1%,Sp. Atk,Sp. Def,,,,,,
Armarouge,79,stat_points,1,,49.4%,,,2,0,0,32,0,32
Armarouge,79,stat_points,2,,8.8%,,,1,0,1,32,0,32
Armarouge,79,stat_points,3,,6.0%,,,1,0,0,32,1,32
Armarouge,79,stat_points,4,,5.0%,,,0,0,2,32,0,32
Armarouge,79,stat_points,5,,4.4%,,,0,0,0,32,2,32
Armarouge,79,stat_points,6,,3.0%,,,32,0,2,32,0,0
Armarouge,79,stat_points,7,,1.9%,,,32,0,0,32,2,0
Armarouge,79,stat_points,8,,1.7%,,,0,0,0,32,0,32
Armarouge,79,stat_points,9,,0.9%,,,1,0,0,32,0,32
Armarouge,79,stat_points,10,,0.9%,,,32,0,0,32,0,2
Armarouge,79,stat_points,11,,0.8%,,,32,0,1,32,1,0
Armarouge,79,stat_points,12,,0.7%,,,2,0,32,32,0,0
Armarouge,79,ability,1,Weak Armor,85.6%,,,,,,,,
Armarouge,79,ability,2,Flash Fire,14.4%,,,,,,,,
