pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Aromatisse,227,move,1,Moonblast,76.0%,,,,,,,,
Aromatisse,227,move,2,Trick Room,72.3%,,,,,,,,
Aromatisse,227,move,3,Thunderbolt,38.7%,,,,,,,,
Aromatisse,227,move,4,Misty Explosion,29.0%,,,,,,,,
Aromatisse,227,move,5,Encore,26.8%,,,,,,,,
Aromatisse,227,move,6,Energy Ball,21.4%,,,,,,,,
Aromatisse,227,move,7,Draining Kiss,19.8%,,,,,,,,
Aromatisse,227,move,8,Calm Mind,16.7%,,,,,,,,
Aromatisse,227,move,9,Wish,14.4%,,,,,,,,
Aromatisse,227,move,10,Psychic,14.2%,,,,,,,,
Aromatisse,227,held_item,1,Sitrus Berry,20.3%,,,,,,,,
Aromatisse,227,held_item,2,Focus Sash,15.7%,,,,,,,,
Aromatisse,227,held_item,3,Leftovers,11.7%,,,,,,,,
Aromatisse,227,held_item,4,Babiri Berry,10.2%,,,,,,,,
Aromatisse,227,held_item,5,Life Orb,9.9%,,,,,,,,
Aromatisse,227,held_item,6,Light Clay,9.9%,,,,,,,,
Aromatisse,227,held_item,7,Fairy Feather,4.8%,,,,,,,,
Aromatisse,227,held_item,8,Quick Claw,3.0%,,,,,,,,
Aromatisse,227,held_item,9,Miracle Seed,2.2%,,,,,,,,
Aromatisse,227,held_item,10,Kebia Berry,1.8%,,,,,,,,
Aromatisse,227,teammate,1,Kingambit,,,,,,,,,
Aromatisse,227,teammate,2,Mawile,,,,,,,,,
Aromatisse,227,teammate,3,Charizard,,,,,,,,,
Aromatisse,227,teammate,4,Machamp,,,,,,,,,
Aromatisse,227,teammate,5,Corviknight,,,,,,,,,
Aromatisse,227,teammate,6,Garchomp,,,,,,,,,
Aromatisse,227,teammate,7,Staraptor,,,,,,,,,
Aromatisse,227,teammate,8,Gliscor,,,,,,,,,
Aromatisse,227,teammate,9,Dragonite,,,,,,,,,
Aromatisse,227,teammate,10,Mimikyu,,,,,,,,,
Aromatisse,227,stat_alignment,1,Quiet,26.7%,Sp. Atk,Speed,,,,,,
Aromatisse,227,stat_alignment,2,Modest,22.3%,Sp. Atk,Attack,,,,,,
Aromatisse,227,stat_alignment,3,Sassy,16.0%,Sp. Def,Speed,,,,,,
Aromatisse,227,stat_alignment,4,Relaxed,11.8%,Defense,Speed,,,,,,
Aromatisse,227,stat_alignment,5,Bold,11.0%,Defense,Attack,,,,,,
Aromatisse,227,stat_alignment,6,Calm,8.0%,Sp. Def,Attack,,,,,,
Aromatisse,227,stat_alignment,7,Timid,2.0%,Speed,Attack,,,,,,
Aromatisse,227,stat_alignment,8,Mild,1.1%,Sp. Atk,Defense,,,,,,
Aromatisse,227,stat_alignment,9,Gentle,0.9%,Sp. Def,Defense,,,,,,
Aromatisse,227,stat_alignment,10,Rash,0.0%,Sp. Atk,Sp. Def,,,,,,
Aromatisse,227,stat_points,1,,12.8%,,,32,0,2,32,0,0
Aromatisse,227,stat_points,2,,10.6%,,,2,0,0,32,32,0
Aromatisse,227,stat_points,3,,7.5%,,,32,0,32,0,2,0
Aromatisse,227,stat_points,4,,6.2%,,,31,0,30,0,5,0
Aromatisse,227,stat_points,5,,4.6%,,,32,0,0,32,2,0
Aromatisse,227,stat_points,6,,3.9%,,,20,0,0,32,14,0
Aromatisse,227,stat_points,7,,3.3%,,,2,0,32,32,0,0
Aromatisse,227,stat_points,8,,3.0%,,,32,0,1,32,1,0
Aromatisse,227,stat_points,9,,2.8%,,,1,0,25,32,8,0
Aromatisse,227,stat_points,10,,2.5%,,,0,0,32,32,2,0
Aromatisse,227,stat_points,11,,2.4%,,,0,0,0,32,32,0
Aromatisse,227,stat_points,12,,2.3%,,,31,0,3,0,32,0
Aromatisse,227,ability,1,Aroma Veil,90.0%,,,,,,,,
Aromatisse,227,ability,2,Healer,10.0%,,,,,,,,
