pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Audino,206,move,1,Healing Wish,68.0%,,,,,,,,
Audino,206,move,2,Trick Room,64.4%,,,,,,,,
Audino,206,move,3,Yawn,59.8%,,,,,,,,
Audino,206,move,4,Encore,45.0%,,,,,,,,
Audino,206,move,5,Ice Beam,22.4%,,,,,,,,
Audino,206,move,6,Wish,17.5%,,,,,,,,
Audino,206,move,7,Calm Mind,16.0%,,,,,,,,
Audino,206,move,8,Draining Kiss,15.6%,,,,,,,,
Audino,206,move,9,Flamethrower,12.6%,,,,,,,,
Audino,206,move,10,Reflect,8.4%,,,,,,,,
Audino,206,held_item,1,Sitrus Berry,32.4%,,,,,,,,
Audino,206,held_item,2,Audinite,24.2%,,,,,,,,
Audino,206,held_item,3,Chople Berry,21.5%,,,,,,,,
Audino,206,held_item,4,Leftovers,6.4%,,,,,,,,
Audino,206,held_item,5,Mental Herb,4.2%,,,,,,,,
Audino,206,held_item,6,Light Clay,3.4%,,,,,,,,
Audino,206,held_item,7,Focus Sash,1.9%,,,,,,,,
Audino,206,held_item,8,Quick Claw,1.6%,,,,,,,,
Audino,206,held_item,9,Chesto Berry,1.0%,,,,,,,,
Audino,206,held_item,10,Bright Powder,0.5%,,,,,,,,
Audino,206,teammate,1,Mawile,,,,,,,,,
Audino,206,teammate,2,Garchomp,,,,,,,,,
Audino,206,teammate,3,Mimikyu,,,,,,,,,
Audino,206,teammate,4,Rotom Heat,,,,,,,,,
Audino,206,teammate,5,Archaludon,,,,,,,,,
Audino,206,teammate,6,Delphox,,,,,,,,,
Audino,206,teammate,7,Sinistcha,,,,,,,,,
Audino,206,teammate,8,Starmie,,,,,,,,,
Audino,206,teammate,9,Meowscarada,,,,,,,,,
Audino,206,teammate,10,Gyarados,,,,,,,,,
Audino,206,stat_alignment,1,Relaxed,37.1%,Defense,Speed,,,,,,
Audino,206,stat_alignment,2,Bold,29.4%,Defense,Attack,,,,,,
Audino,206,stat_alignment,3,Calm,12.1%,Sp. Def,Attack,,,,,,
Audino,206,stat_alignment,4,Modest,8.1%,Sp. Atk,Attack,,,,,,
Audino,206,stat_alignment,5,Sassy,7.5%,Sp. Def,Speed,,,,,,
Audino,206,stat_alignment,6,Quiet,2.4%,Sp. Atk,Speed,,,,,,
Audino,206,stat_alignment,7,Careful,1.2%,Sp. Def,Sp. Atk,,,,,,
Audino,206,stat_alignment,8,Impish,1.0%,Defense,Sp. Atk,,,,,,
Audino,206,stat_alignment,9,Timid,0.4%,Speed,Attack,,,,,,
Audino,206,stat_alignment,10,Naive,0.2%,Speed,Sp. Def,,,,,,
Audino,206,stat_points,1,,24.0%,,,32,0,32,0,2,0
Audino,206,stat_points,2,,18.3%,,,32,0,24,0,10,0
Audino,206,stat_points,3,,7.7%,,,32,0,2,0,32,0
Audino,206,stat_points,4,,6.6%,,,31,0,32,0,3,0
Audino,206,stat_points,5,,2.4%,,,32,0,2,32,0,0
Audino,206,stat_points,6,,2.3%,,,32,0,0,0,32,0
Audino,206,stat_points,7,,2.3%,,,32,0,14,0,20,0
Audino,206,stat_points,8,,2.0%,,,32,0,22,0,12,0
Audino,206,stat_points,9,,2.0%,,,29,0,32,0,5,0
Audino,206,stat_points,10,,1.4%,,,32,0,0,32,2,0
Audino,206,stat_points,11,,1.4%,,,32,0,1,32,1,0
Audino,206,stat_points,12,,1.1%,,,2,0,32,0,32,0
Audino,206,ability,1,Regenerator,92.6%,,,,,,,,
Audino,206,ability,2,Healer,5.5%,,,,,,,,
Audino,206,ability,3,Klutz,1.9%,,,,,,,,
