pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Aurorus,162,move,1,Aurora Veil,88.4%,,,,,,,,
Aurorus,162,move,2,Stealth Rock,66.9%,,,,,,,,
Aurorus,162,move,3,Freeze-Dry,66.4%,,,,,,,,
Aurorus,162,move,4,Blizzard,62.5%,,,,,,,,
Aurorus,162,move,5,Encore,21.8%,,,,,,,,
Aurorus,162,move,6,Earth Power,18.4%,,,,,,,,
Aurorus,162,move,7,Mirror Coat,15.6%,,,,,,,,
Aurorus,162,move,8,Ancient Power,12.6%,,,,,,,,
Aurorus,162,move,9,Thunder Wave,11.5%,,,,,,,,
Aurorus,162,move,10,Thunderbolt,4.6%,,,,,,,,
Aurorus,162,held_item,1,Light Clay,59.0%,,,,,,,,
Aurorus,162,held_item,2,Focus Sash,21.6%,,,,,,,,
Aurorus,162,held_item,3,Sitrus Berry,3.2%,,,,,,,,
Aurorus,162,held_item,4,Leftovers,2.6%,,,,,,,,
Aurorus,162,held_item,5,Chople Berry,2.3%,,,,,,,,
Aurorus,162,held_item,6,Quick Claw,2.0%,,,,,,,,
Aurorus,162,held_item,7,Icy Rock,1.8%,,,,,,,,
Aurorus,162,held_item,8,Choice Scarf,1.8%,,,,,,,,
Aurorus,162,held_item,9,Never-Melt Ice,1.7%,,,,,,,,
Aurorus,162,held_item,10,Babiri Berry,0.7%,,,,,,,,
Aurorus,162,teammate,1,Garchomp,,,,,,,,,
Aurorus,162,teammate,2,Raichu,,,,,,,,,
Aurorus,162,teammate,3,Staraptor,,,,,,,,,
Aurorus,162,teammate,4,Mimikyu,,,,,,,,,
Aurorus,162,teammate,5,Meowscarada,,,,,,,,,
Aurorus,162,teammate,6,Metagross,,,,,,,,,
Aurorus,162,teammate,7,Corviknight,,,,,,,,,
Aurorus,162,teammate,8,Blaziken,,,,,,,,,
Aurorus,162,teammate,9,Charizard,,,,,,,,,
Aurorus,162,teammate,10,Skeledirge,,,,,,,,,
Aurorus,162,stat_alignment,1,Bold,30.4%,Defense,Attack,,,,,,
Aurorus,162,stat_alignment,2,Modest,29.2%,Sp. Atk,Attack,,,,,,
Aurorus,162,stat_alignment,3,Timid,10.1%,Speed,Attack,,,,,,
Aurorus,162,stat_alignment,4,Relaxed,9.5%,Defense,Speed,,,,,,
Aurorus,162,stat_alignment,5,Calm,8.4%,Sp. Def,Attack,,,,,,
Aurorus,162,stat_alignment,6,Quiet,5.9%,Sp. Atk,Speed,,,,,,
Aurorus,162,stat_alignment,7,Sassy,3.9%,Sp. Def,Speed,,,,,,
Aurorus,162,stat_alignment,8,Mild,0.8%,Sp. Atk,Defense,,,,,,
Aurorus,162,stat_alignment,9,Naive,0.3%,Speed,Sp. Def,,,,,,
Aurorus,162,stat_alignment,10,Serious,0.3%,,,,,,,,
Aurorus,162,stat_points,1,,14.8%,,,32,0,32,0,2,0
Aurorus,162,stat_points,2,,6.3%,,,2,0,32,0,32,0
Aurorus,162,stat_points,3,,5.7%,,,2,0,0,32,0,32
Aurorus,162,stat_points,4,,3.9%,,,32,0,0,32,2,0
Aurorus,162,stat_points,5,,3.7%,,,32,0,32,2,0,0
Aurorus,162,stat_points,6,,3.1%,,,32,0,2,32,0,0
Aurorus,162,stat_points,7,,2.9%,,,32,0,0,32,0,2
Aurorus,162,stat_points,8,,2.5%,,,1,0,0,32,1,32
Aurorus,162,stat_points,9,,2.5%,,,1,0,1,32,0,32
Aurorus,162,stat_points,10,,2.4%,,,32,0,2,0,32,0
Aurorus,162,stat_points,11,,2.0%,,,2,0,32,32,0,0
Aurorus,162,stat_points,12,,1.7%,,,0,0,32,32,2,0
Aurorus,162,ability,1,Snow Warning,96.2%,,,,,,,,
Aurorus,162,ability,2,Refrigerate,3.8%,,,,,,,,
