pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Avalugg,182,move,1,Body Press,87.5%,,,,,,,,
Avalugg,182,move,2,Recover,78.5%,,,,,,,,
Avalugg,182,move,3,Iron Defense,66.4%,,,,,,,,
Avalugg,182,move,4,Mirror Coat,45.3%,,,,,,,,
Avalugg,182,move,5,Avalanche,27.0%,,,,,,,,
Avalugg,182,move,6,Icicle Spear,19.4%,,,,,,,,
Avalugg,182,move,7,Earthquake,16.1%,,,,,,,,
Avalugg,182,move,8,Icicle Crash,10.5%,,,,,,,,
Avalugg,182,move,9,Ice Spinner,9.5%,,,,,,,,
Avalugg,182,move,10,Rapid Spin,8.3%,,,,,,,,
Avalugg,182,held_item,1,Leftovers,46.0%,,,,,,,,
Avalugg,182,held_item,2,Sitrus Berry,28.3%,,,,,,,,
Avalugg,182,held_item,3,Quick Claw,8.3%,,,,,,,,
Avalugg,182,held_item,4,Lum Berry,4.5%,,,,,,,,
Avalugg,182,held_item,5,Never-Melt Ice,2.2%,,,,,,,,
Avalugg,182,held_item,6,Expert Belt,1.4%,,,,,,,,
Avalugg,182,held_item,7,Chople Berry,1.2%,,,,,,,,
Avalugg,182,held_item,8,Focus Band,1.2%,,,,,,,,
Avalugg,182,held_item,9,Bright Powder,0.9%,,,,,,,,
Avalugg,182,held_item,10,Life Orb,0.9%,,,,,,,,
Avalugg,182,teammate,1,Garchomp,,,,,,,,,
Avalugg,182,teammate,2,Raichu,,,,,,,,,
Avalugg,182,teammate,3,Charizard,,,,,,,,,
Avalugg,182,teammate,4,Froslass,,,,,,,,,
Avalugg,182,teammate,5,Meowscarada,,,,,,,,,
Avalugg,182,teammate,6,Staraptor,,,,,,,,,
Avalugg,182,teammate,7,Dragonite,,,,,,,,,
Avalugg,182,teammate,8,Mimikyu,,,,,,,,,
Avalugg,182,teammate,9,Kingambit,,,,,,,,,
Avalugg,182,teammate,10,Alolan Ninetales,,,,,,,,,
Avalugg,182,stat_alignment,1,Impish,54.5%,Defense,Sp. Atk,,,,,,
Avalugg,182,stat_alignment,2,Relaxed,24.5%,Defense,Speed,,,,,,
Avalugg,182,stat_alignment,3,Adamant,9.0%,Attack,Sp. Atk,,,,,,
Avalugg,182,stat_alignment,4,Brave,4.4%,Attack,Speed,,,,,,
Avalugg,182,stat_alignment,5,Lax,3.6%,Defense,Sp. Def,,,,,,
Avalugg,182,stat_alignment,6,Careful,1.4%,Sp. Def,Sp. Atk,,,,,,
Avalugg,182,stat_alignment,7,Sassy,0.9%,Sp. Def,Speed,,,,,,
Avalugg,182,stat_alignment,8,Bold,0.9%,Defense,Attack,,,,,,
Avalugg,182,stat_alignment,9,Naughty,0.6%,Attack,Sp. Def,,,,,,
Avalugg,182,stat_alignment,10,Naive,0.1%,Speed,Sp. Def,,,,,,
Avalugg,182,stat_points,1,,32.0%,,,32,2,32,0,0,0
Avalugg,182,stat_points,2,,20.6%,,,32,0,32,0,2,0
Avalugg,182,stat_points,3,,8.8%,,,2,32,32,0,0,0
Avalugg,182,stat_points,4,,5.3%,,,32,32,2,0,0,0
Avalugg,182,stat_points,5,,4.7%,,,32,0,32,0,0,0
Avalugg,182,stat_points,6,,3.1%,,,32,0,32,0,0,2
Avalugg,182,stat_points,7,,2.4%,,,31,3,32,0,0,0
Avalugg,182,stat_points,8,,1.6%,,,0,32,32,0,2,0
Avalugg,182,stat_points,9,,1.6%,,,32,1,32,0,0,0
Avalugg,182,stat_points,10,,1.3%,,,32,0,32,0,1,0
Avalugg,182,stat_points,11,,1.2%,,,31,0,32,0,3,0
Avalugg,182,stat_points,12,,1.1%,,,32,0,30,0,4,0
Avalugg,182,ability,1,Sturdy,86.9%,,,,,,,,
Avalugg,182,ability,2,Ice Body,8.6%,,,,,,,,
Avalugg,182,ability,3,Own Tempo,4.6%,,,,,,,,
