pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Azumarill,54,move,1,Aqua Jet,95.3%,,,,,,,,
Azumarill,54,move,2,Play Rough,94.6%,,,,,,,,
Azumarill,54,move,3,Belly Drum,65.1%,,,,,,,,
Azumarill,54,move,4,Superpower,48.2%,,,,,,,,
Azumarill,54,move,5,Liquidation,46.0%,,,,,,,,
Azumarill,54,move,6,Knock Off,7.8%,,,,,,,,
Azumarill,54,move,7,Brick Break,7.5%,,,,,,,,
Azumarill,54,move,8,Ice Spinner,6.7%,,,,,,,,
Azumarill,54,move,9,Protect,3.9%,,,,,,,,
Azumarill,54,move,10,Perish Song,3.9%,,,,,,,,
Azumarill,54,held_item,1,Sitrus Berry,72.7%,,,,,,,,
Azumarill,54,held_item,2,Life Orb,7.0%,,,,,,,,
Azumarill,54,held_item,3,Lum Berry,4.6%,,,,,,,,
Azumarill,54,held_item,4,Leftovers,3.9%,,,,,,,,
Azumarill,54,held_item,5,Mystic Water,2.1%,,,,,,,,
Azumarill,54,held_item,6,Quick Claw,1.4%,,,,,,,,
Azumarill,54,held_item,7,Muscle Band,1.4%,,,,,,,,
Azumarill,54,held_item,8,White Herb,1.2%,,,,,,,,
Azumarill,54,held_item,9,Focus Sash,1.0%,,,,,,,,
Azumarill,54,held_item,10,Chesto Berry,0.6%,,,,,,,,
Azumarill,54,teammate,1,Garchomp,,,,,,,,,
Azumarill,54,teammate,2,Raichu,,,,,,,,,
Azumarill,54,teammate,3,Charizard,,,,,,,,,
Azumarill,54,teammate,4,Gengar,,,,,,,,,
Azumarill,54,teammate,5,Meowscarada,,,,,,,,,
Azumarill,54,teammate,6,Dragonite,,,,,,,,,
Azumarill,54,teammate,7,Kingambit,,,,,,,,,
Azumarill,54,teammate,8,Metagross,,,,,,,,,
Azumarill,54,teammate,9,Staraptor,,,,,,,,,
Azumarill,54,teammate,10,Archaludon,,,,,,,,,
Azumarill,54,stat_alignment,1,Adamant,91.1%,Attack,Sp. Atk,,,,,,
Azumarill,54,stat_alignment,2,Impish,1.7%,Defense,Sp. Atk,,,,,,
Azumarill,54,stat_alignment,3,Brave,1.6%,Attack,Speed,,,,,,
Azumarill,54,stat_alignment,4,Jolly,1.4%,Speed,Sp. Atk,,,,,,
Azumarill,54,stat_alignment,5,Bold,1.1%,Defense,Attack,,,,,,
Azumarill,54,stat_alignment,6,Careful,0.7%,Sp. Def,Sp. Atk,,,,,,
Azumarill,54,stat_alignment,7,Sassy,0.6%,Sp. Def,Speed,,,,,,
Azumarill,54,stat_alignment,8,Relaxed,0.6%,Defense,Speed,,,,,,
Azumarill,54,stat_alignment,9,Calm,0.5%,Sp. Def,Attack,,,,,,
Azumarill,54,stat_alignment,10,Naughty,0.2%,Attack,Sp. Def,,,,,,
Azumarill,54,stat_points,1,,35.6%,,,32,32,0,0,0,2
Azumarill,54,stat_points,2,,12.6%,,,31,32,0,0,0,3
Azumarill,54,stat_points,3,,9.4%,,,32,32,2,0,0,0
Azumarill,54,stat_points,4,,3.5%,,,31,32,3,0,0,0
Azumarill,54,stat_points,5,,2.8%,,,29,32,3,0,2,0
Azumarill,54,stat_points,6,,2.1%,,,32,32,0,0,2,0
Azumarill,54,stat_points,7,,1.7%,,,32,32,1,0,1,0
Azumarill,54,stat_points,8,,1.6%,,,31,32,1,0,0,2
Azumarill,54,stat_points,9,,1.5%,,,31,32,2,0,1,0
Azumarill,54,stat_points,10,,1.4%,,,2,32,0,0,0,32
Azumarill,54,stat_points,11,,1.4%,,,29,32,0,0,0,5
Azumarill,54,stat_points,12,,1.1%,,,31,32,0,0,3,0
Azumarill,54,ability,1,Huge Power,94.7%,,,,,,,,
Azumarill,54,ability,2,Sap Sipper,5.0%,,,,,,,,
Azumarill,54,ability,3,Thick Fat,0.3%,,,,,,,,
