pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Banette,84,move,1,Destiny Bond,97.4%,,,,,,,,
Banette,84,move,2,Poltergeist,95.5%,,,,,,,,
Banette,84,move,3,Encore,75.4%,,,,,,,,
Banette,84,move,4,Shadow Sneak,56.7%,,,,,,,,
Banette,84,move,5,Will-O-Wisp,22.0%,,,,,,,,
Banette,84,move,6,Gunk Shot,14.7%,,,,,,,,
Banette,84,move,7,Taunt,12.5%,,,,,,,,
Banette,84,move,8,Sucker Punch,7.5%,,,,,,,,
Banette,84,move,9,Trick Room,2.4%,,,,,,,,
Banette,84,move,10,Knock Off,1.7%,,,,,,,,
Banette,84,held_item,1,Banettite,98.6%,,,,,,,,
Banette,84,held_item,2,Focus Sash,0.8%,,,,,,,,
Banette,84,held_item,3,Choice Scarf,0.1%,,,,,,,,
Banette,84,held_item,4,Spell Tag,0.1%,,,,,,,,
Banette,84,held_item,5,Focus Band,0.0%,,,,,,,,
Banette,84,held_item,6,Quick Claw,0.0%,,,,,,,,
Banette,84,held_item,7,Leftovers,0.0%,,,,,,,,
Banette,84,held_item,8,Colbur Berry,0.0%,,,,,,,,
Banette,84,held_item,9,Bright Powder,0.0%,,,,,,,,
Banette,84,held_item,10,Sitrus Berry,0.0%,,,,,,,,
Banette,84,teammate,1,Garchomp,,,,,,,,,
Banette,84,teammate,2,Archaludon,,,,,,,,,
Banette,84,teammate,3,Mimikyu,,,,,,,,,
Banette,84,teammate,4,Meowscarada,,,,,,,,,
Banette,84,teammate,5,Basculegion Male,,,,,,,,,
Banette,84,teammate,6,Primarina,,,,,,,,,
Banette,84,teammate,7,Corviknight,,,,,,,,,
Banette,84,teammate,8,Kingambit,,,,,,,,,
Banette,84,teammate,9,Staraptor,,,,,,,,,
Banette,84,teammate,10,Raichu,,,,,,,,,
Banette,84,stat_alignment,1,Adamant,71.8%,Attack,Sp. Atk,,,,,,
Banette,84,stat_alignment,2,Brave,20.8%,Attack,Speed,,,,,,
Banette,84,stat_alignment,3,Jolly,1.8%,Speed,Sp. Atk,,,,,,
Banette,84,stat_alignment,4,Impish,1.4%,Defense,Sp. Atk,,,,,,
Banette,84,stat_alignment,5,Careful,1.1%,Sp. Def,Sp. Atk,,,,,,
Banette,84,stat_alignment,6,Naughty,0.6%,Attack,Sp. Def,,,,,,
Banette,84,stat_alignment,7,Relaxed,0.5%,Defense,Speed,,,,,,
Banette,84,stat_alignment,8,Lonely,0.5%,Attack,Defense,,,,,,
Banette,84,stat_alignment,9,Sassy,0.4%,Sp. Def,Speed,,,,,,
Banette,84,stat_alignment,10,Timid,0.2%,Speed,Attack,,,,,,
Banette,84,stat_points,1,,33.9%,,,32,32,2,0,0,0
Banette,84,stat_points,2,,13.2%,,,32,32,0,0,2,0
Banette,84,stat_points,3,,11.8%,,,32,32,0,0,0,2
Banette,84,stat_points,4,,2.5%,,,32,25,0,0,8,1
Banette,84,stat_points,5,,2.3%,,,2,32,0,0,0,32
Banette,84,stat_points,6,,2.2%,,,32,32,1,0,1,0
Banette,84,stat_points,7,,2.1%,,,32,25,9,0,0,0
Banette,84,stat_points,8,,2.1%,,,31,32,0,0,0,3
Banette,84,stat_points,9,,1.8%,,,32,32,0,0,0,0
Banette,84,stat_points,10,,1.5%,,,32,5,13,0,16,0
Banette,84,stat_points,11,,1.2%,,,32,32,1,0,0,1
Banette,84,stat_points,12,,1.1%,,,2,32,32,0,0,0
Banette,84,ability,1,Frisk,85.2%,,,,,,,,
Banette,84,ability,2,Insomnia,9.5%,,,,,,,,
Banette,84,ability,3,Cursed Body,5.2%,,,,,,,,
