pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Basculegion Female,103,move,1,Aqua Jet,69.5%,,,,,,,,
Basculegion Female,103,move,2,Last Respects,64.5%,,,,,,,,
Basculegion Female,103,move,3,Flip Turn,55.5%,,,,,,,,
Basculegion Female,103,move,4,Wave Crash,53.9%,,,,,,,,
Basculegion Female,103,move,5,Shadow Ball,37.7%,,,,,,,,
Basculegion Female,103,move,6,Ice Beam,31.2%,,,,,,,,
Basculegion Female,103,move,7,Surf,24.4%,,,,,,,,
Basculegion Female,103,move,8,Hydro Pump,14.6%,,,,,,,,
Basculegion Female,103,move,9,Ice Fang,4.8%,,,,,,,,
Basculegion Female,103,move,10,Psychic Fangs,4.7%,,,,,,,,
Basculegion Female,103,held_item,1,Choice Scarf,54.3%,,,,,,,,
Basculegion Female,103,held_item,2,Focus Sash,12.5%,,,,,,,,
Basculegion Female,103,held_item,3,Life Orb,11.7%,,,,,,,,
Basculegion Female,103,held_item,4,Mystic Water,7.9%,,,,,,,,
Basculegion Female,103,held_item,5,Sitrus Berry,4.5%,,,,,,,,
Basculegion Female,103,held_item,6,Quick Claw,1.8%,,,,,,,,
Basculegion Female,103,held_item,7,Spell Tag,1.8%,,,,,,,,
Basculegion Female,103,held_item,8,Wise Glasses,0.7%,,,,,,,,
Basculegion Female,103,held_item,9,Expert Belt,0.6%,,,,,,,,
Basculegion Female,103,held_item,10,Leftovers,0.6%,,,,,,,,
Basculegion Female,103,teammate,1,Garchomp,,,,,,,,,
Basculegion Female,103,teammate,2,Archaludon,,,,,,,,,
Basculegion Female,103,teammate,3,Raichu,,,,,,,,,
Basculegion Female,103,teammate,4,Charizard,,,,,,,,,
Basculegion Female,103,teammate,5,Staraptor,,,,,,,,,
Basculegion Female,103,teammate,6,Mimikyu,,,,,,,,,
Basculegion Female,103,teammate,7,Meowscarada,,,,,,,,,
Basculegion Female,103,teammate,8,Pelipper,,,,,,,,,
Basculegion Female,103,teammate,9,Dragonite,,,,,,,,,
Basculegion Female,103,teammate,10,Swampert,,,,,,,,,
Basculegion Female,103,stat_alignment,1,Jolly,38.0%,Speed,Sp. Atk,,,,,,
Basculegion Female,103,stat_alignment,2,Modest,22.6%,Sp. Atk,Attack,,,,,,
Basculegion Female,103,stat_alignment,3,Adamant,17.7%,Attack,Sp. Atk,,,,,,
Basculegion Female,103,stat_alignment,4,Timid,9.4%,Speed,Attack,,,,,,
Basculegion Female,103,stat_alignment,5,Quiet,2.4%,Sp. Atk,Speed,,,,,,
Basculegion Female,103,stat_alignment,6,Rash,2.4%,Sp. Atk,Sp. Def,,,,,,
Basculegion Female,103,stat_alignment,7,Naive,1.9%,Speed,Sp. Def,,,,,,
Basculegion Female,103,stat_alignment,8,Hasty,1.7%,Speed,Defense,,,,,,
Basculegion Female,103,stat_alignment,9,Mild,1.3%,Sp. Atk,Defense,,,,,,
Basculegion Female,103,stat_alignment,10,Bold,0.6%,Defense,Attack,,,,,,
Basculegion Female,103,stat_points,1,,36.7%,,,2,32,0,0,0,32
Basculegion Female,103,stat_points,2,,11.8%,,,2,0,0,32,0,32
Basculegion Female,103,stat_points,3,,6.8%,,,0,32,2,0,0,32
Basculegion Female,103,stat_points,4,,4.4%,,,0,0,2,32,0,32
Basculegion Female,103,stat_points,5,,2.6%,,,0,32,0,0,2,32
Basculegion Female,103,stat_points,6,,2.5%,,,0,0,0,32,2,32
Basculegion Female,103,stat_points,7,,2.5%,,,0,32,0,0,0,32
Basculegion Female,103,stat_points,8,,1.9%,,,0,2,0,32,0,32
Basculegion Female,103,stat_points,9,,1.8%,,,0,32,1,0,1,32
Basculegion Female,103,stat_points,10,,1.4%,,,2,0,32,32,0,0
Basculegion Female,103,ability,1,Adaptability,87.2%,,,,,,,,
Basculegion Female,103,ability,2,Swift Swim,10.5%,,,,,,,,
Basculegion Female,103,ability,3,Mold Breaker,2.3%,,,,,,,,
