pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Basculegion Male,14,move,1,Last Respects,99.9%,,,,,,,,
Basculegion Male,14,move,2,Wave Crash,95.4%,,,,,,,,
Basculegion Male,14,move,3,Aqua Jet,87.6%,,,,,,,,
Basculegion Male,14,move,4,Flip Turn,19.7%,,,,,,,,
Basculegion Male,14,move,5,Agility,5.9%,,,,,,,,
Basculegion Male,14,move,6,Ice Fang,5.2%,,,,,,,,
Basculegion Male,14,move,7,Psychic Fangs,5.1%,,,,,,,,
Basculegion Male,14,move,8,Head Smash,3.6%,,,,,,,,
Basculegion Male,14,move,9,Liquidation,3.5%,,,,,,,,
Basculegion Male,14,move,10,Outrage,2.0%,,,,,,,,
Basculegion Male,14,held_item,1,Choice Scarf,75.1%,,,,,,,,
Basculegion Male,14,held_item,2,Focus Sash,8.2%,,,,,,,,
Basculegion Male,14,held_item,3,Life Orb,6.6%,,,,,,,,
Basculegion Male,14,held_item,4,Mystic Water,3.7%,,,,,,,,
Basculegion Male,14,held_item,5,Spell Tag,1.7%,,,,,,,,
Basculegion Male,14,held_item,6,Sitrus Berry,0.7%,,,,,,,,
Basculegion Male,14,held_item,7,Quick Claw,0.5%,,,,,,,,
Basculegion Male,14,held_item,8,Muscle Band,0.3%,,,,,,,,
Basculegion Male,14,held_item,9,Leftovers,0.2%,,,,,,,,
Basculegion Male,14,held_item,10,Lum Berry,0.1%,,,,,,,,
Basculegion Male,14,teammate,1,Garchomp,,,,,,,,,
Basculegion Male,14,teammate,2,Archaludon,,,,,,,,,
Basculegion Male,14,teammate,3,Raichu,,,,,,,,,
Basculegion Male,14,teammate,4,Mimikyu,,,,,,,,,
Basculegion Male,14,teammate,5,Staraptor,,,,,,,,,
Basculegion Male,14,teammate,6,Charizard,,,,,,,,,
Basculegion Male,14,teammate,7,Metagross,,,,,,,,,
Basculegion Male,14,teammate,8,Corviknight,,,,,,,,,
Basculegion Male,14,teammate,9,Pelipper,,,,,,,,,
Basculegion Male,14,teammate,10,Blaziken,,,,,,,,,
Basculegion Male,14,stat_alignment,1,Jolly,70.4%,Speed,Sp. Atk,,,,,,
Basculegion Male,14,stat_alignment,2,Adamant,26.8%,Attack,Sp. Atk,,,,,,
Basculegion Male,14,stat_alignment,3,Naive,0.5%,Speed,Sp. Def,,,,,,
Basculegion Male,14,stat_alignment,4,Naughty,0.5%,Attack,Sp. Def,,,,,,
Basculegion Male,14,stat_alignment,5,Brave,0.4%,Attack,Speed,,,,,,
Basculegion Male,14,stat_alignment,6,Lonely,0.4%,Attack,Defense,,,,,,
Basculegion Male,14,stat_alignment,7,Hasty,0.4%,Speed,Defense,,,,,,
Basculegion Male,14,stat_alignment,8,Impish,0.2%,Defense,Sp. Atk,,,,,,
Basculegion Male,14,stat_alignment,9,Timid,0.1%,Speed,Attack,,,,,,
Basculegion Male,14,stat_alignment,10,Careful,0.1%,Sp. Def,Sp. Atk,,,,,,
Basculegion Male,14,stat_points,1,,58.9%,,,2,32,0,0,0,32
Basculegion Male,14,stat_points,2,,15.7%,,,0,32,2,0,0,32
Basculegion Male,14,stat_points,3,,9.4%,,,0,32,1,0,1,32
Basculegion Male,14,stat_points,4,,4.2%,,,0,32,0,0,2,32
Basculegion Male,14,stat_points,5,,2.0%,,,0,32,0,0,0,32
Basculegion Male,14,stat_points,6,,1.0%,,,2,32,32,0,0,0
Basculegion Male,14,stat_points,7,,0.7%,,,1,32,1,0,0,32
Basculegion Male,14,stat_points,8,,0.6%,,,1,32,0,0,0,32
Basculegion Male,14,stat_points,9,,0.6%,,,32,32,0,0,0,2
Basculegion Male,14,stat_points,10,,0.6%,,,32,32,2,0,0,0
Basculegion Male,14,stat_points,11,,0.5%,,,0,32,5,0,0,29
Basculegion Male,14,stat_points,12,,0.5%,,,0,32,32,0,0,2
Basculegion Male,14,ability,1,Adaptability,92.9%,,,,,,,,
Basculegion Male,14,ability,2,Swift Swim,6.0%,,,,,,,,
Basculegion Male,14,ability,3,Mold Breaker,1.0%,,,,,,,,
