pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Beartic,202,move,1,Icicle Crash,73.7%,,,,,,,,
Beartic,202,move,2,Earthquake,64.5%,,,,,,,,
Beartic,202,move,3,Close Combat,51.8%,,,,,,,,
Beartic,202,move,4,Aqua Jet,33.9%,,,,,,,,
Beartic,202,move,5,Liquidation,18.8%,,,,,,,,
Beartic,202,move,6,Swords Dance,18.7%,,,,,,,,
Beartic,202,move,7,Icicle Spear,13.8%,,,,,,,,
Beartic,202,move,8,Trailblaze,12.8%,,,,,,,,
Beartic,202,move,9,Rock Slide,11.4%,,,,,,,,
Beartic,202,move,10,Stone Edge,10.1%,,,,,,,,
Beartic,202,held_item,1,Life Orb,52.8%,,,,,,,,
Beartic,202,held_item,2,Focus Sash,14.3%,,,,,,,,
Beartic,202,held_item,3,Expert Belt,9.6%,,,,,,,,
Beartic,202,held_item,4,Sitrus Berry,3.5%,,,,,,,,
Beartic,202,held_item,5,Choice Scarf,3.2%,,,,,,,,
Beartic,202,held_item,6,Leftovers,3.1%,,,,,,,,
Beartic,202,held_item,7,Lum Berry,2.5%,,,,,,,,
Beartic,202,held_item,8,Bright Powder,1.7%,,,,,,,,
Beartic,202,held_item,9,Never-Melt Ice,1.7%,,,,,,,,
Beartic,202,held_item,10,Muscle Band,1.6%,,,,,,,,
Beartic,202,teammate,1,Swampert,,,,,,,,,
Beartic,202,teammate,2,Pelipper,,,,,,,,,
Beartic,202,teammate,3,Alolan Ninetales,,,,,,,,,
Beartic,202,teammate,4,Archaludon,,,,,,,,,
Beartic,202,teammate,5,Froslass,,,,,,,,,
Beartic,202,teammate,6,Garchomp,,,,,,,,,
Beartic,202,teammate,7,Raichu,,,,,,,,,
Beartic,202,teammate,8,Meowscarada,,,,,,,,,
Beartic,202,teammate,9,Vanilluxe,,,,,,,,,
Beartic,202,teammate,10,Politoed,,,,,,,,,
Beartic,202,stat_alignment,1,Adamant,51.2%,Attack,Sp. Atk,,,,,,
Beartic,202,stat_alignment,2,Jolly,38.3%,Speed,Sp. Atk,,,,,,
Beartic,202,stat_alignment,3,Impish,4.6%,Defense,Sp. Atk,,,,,,
Beartic,202,stat_alignment,4,Careful,2.4%,Sp. Def,Sp. Atk,,,,,,
Beartic,202,stat_alignment,5,Naughty,1.9%,Attack,Sp. Def,,,,,,
Beartic,202,stat_alignment,6,Lonely,0.3%,Attack,Defense,,,,,,
Beartic,202,stat_alignment,7,Brave,0.2%,Attack,Speed,,,,,,
Beartic,202,stat_alignment,8,Modest,0.2%,Sp. Atk,Attack,,,,,,
Beartic,202,stat_alignment,9,Hasty,0.2%,Speed,Defense,,,,,,
Beartic,202,stat_alignment,10,Quiet,0.2%,Sp. Atk,Speed,,,,,,
Beartic,202,stat_points,1,,43.4%,,,2,32,0,0,0,32
Beartic,202,stat_points,2,,10.2%,,,0,32,0,0,2,32
Beartic,202,stat_points,3,,6.6%,,,1,32,1,0,0,32
Beartic,202,stat_points,4,,5.9%,,,0,32,2,0,0,32
Beartic,202,stat_points,5,,3.4%,,,0,32,0,0,0,32
Beartic,202,stat_points,6,,2.3%,,,32,32,2,0,0,0
Beartic,202,stat_points,7,,1.7%,,,32,0,14,0,0,20
Beartic,202,stat_points,8,,1.4%,,,1,32,0,0,1,32
Beartic,202,stat_points,9,,1.4%,,,3,32,0,0,0,31
Beartic,202,stat_points,10,,1.3%,,,25,0,0,0,21,20
Beartic,202,stat_points,11,,1.1%,,,0,32,32,0,0,2
Beartic,202,stat_points,12,,1.0%,,,32,11,0,0,1,22
Beartic,202,ability,1,Slush Rush,49.5%,,,,,,,,
Beartic,202,ability,2,Swift Swim,47.1%,,,,,,,,
Beartic,202,ability,3,Snow Cloak,3.3%,,,,,,,,
