pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Beedrill,144,move,1,Poison Jab,94.0%,,,,,,,,
Beedrill,144,move,2,Drill Run,82.5%,,,,,,,,
Beedrill,144,move,3,U-turn,81.1%,,,,,,,,
Beedrill,144,move,4,Fell Stinger,53.0%,,,,,,,,
Beedrill,144,move,5,Knock Off,35.5%,,,,,,,,
Beedrill,144,move,6,Lunge,,,,,,,,,
Beedrill,144,move,7,Brick Break,7.3%,,,,,,,,
Beedrill,144,move,8,Cross Poison,5.0%,,,,,,,,
Beedrill,144,move,9,Protect,4.8%,,,,,,,,
Beedrill,144,move,10,Pin Missile,4.6%,,,,,,,,
Beedrill,144,held_item,1,Beedrillite,98.2%,,,,,,,,
Beedrill,144,held_item,2,Focus Sash,0.7%,,,,,,,,
Beedrill,144,held_item,3,Scope Lens,0.4%,,,,,,,,
Beedrill,144,held_item,4,Quick Claw,0.2%,,,,,,,,
Beedrill,144,held_item,5,Choice Scarf,0.0%,,,,,,,,
Beedrill,144,held_item,6,White Herb,0.0%,,,,,,,,
Beedrill,144,held_item,7,King's Rock,0.0%,,,,,,,,
Beedrill,144,held_item,8,Black Glasses,0.0%,,,,,,,,
Beedrill,144,held_item,9,Expert Belt,0.0%,,,,,,,,
Beedrill,144,held_item,10,Leftovers,0.0%,,,,,,,,
Beedrill,144,teammate,1,Garchomp,,,,,,,,,
Beedrill,144,teammate,2,Corviknight,,,,,,,,,
Beedrill,144,teammate,3,Meowscarada,,,,,,,,,
Beedrill,144,teammate,4,Raichu,,,,,,,,,
Beedrill,144,teammate,5,Hydreigon,,,,,,,,,
Beedrill,144,teammate,6,Archaludon,,,,,,,,,
Beedrill,144,teammate,7,Volcarona,,,,,,,,,
Beedrill,144,teammate,8,Primarina,,,,,,,,,
Beedrill,144,teammate,9,Basculegion Male,,,,,,,,,
Beedrill,144,teammate,10,Mimikyu,,,,,,,,,
Beedrill,144,stat_alignment,1,Jolly,85.0%,Speed,Sp. Atk,,,,,,
Beedrill,144,stat_alignment,2,Adamant,12.3%,Attack,Sp. Atk,,,,,,
Beedrill,144,stat_alignment,3,Hasty,0.8%,Speed,Defense,,,,,,
Beedrill,144,stat_alignment,4,Lonely,0.7%,Attack,Defense,,,,,,
Beedrill,144,stat_alignment,5,Naive,0.5%,Speed,Sp. Def,,,,,,
Beedrill,144,stat_alignment,6,Naughty,0.2%,Attack,Sp. Def,,,,,,
Beedrill,144,stat_alignment,7,Brave,0.1%,Attack,Speed,,,,,,
Beedrill,144,stat_alignment,8,Impish,0.1%,Defense,Sp. Atk,,,,,,
Beedrill,144,stat_alignment,9,Timid,0.1%,Speed,Attack,,,,,,
Beedrill,144,stat_alignment,10,Relaxed,0.1%,Defense,Speed,,,,,,
Beedrill,144,stat_points,1,,62.1%,,,2,32,0,0,0,32
Beedrill,144,stat_points,2,,7.9%,,,0,32,0,0,2,32
Beedrill,144,stat_points,3,,7.0%,,,1,32,1,0,0,32
Beedrill,144,stat_points,4,,5.6%,,,0,32,2,0,0,32
Beedrill,144,stat_points,5,,3.5%,,,1,32,0,0,1,32
Beedrill,144,stat_points,6,,2.1%,,,0,32,0,0,0,32
Beedrill,144,stat_points,7,,1.4%,,,3,32,0,0,0,31
Beedrill,144,stat_points,8,,0.9%,,,1,32,5,0,0,28
Beedrill,144,stat_points,9,,0.9%,,,1,32,2,0,0,31
Beedrill,144,stat_points,10,,0.7%,,,2,18,0,0,14,32
Beedrill,144,stat_points,11,,0.6%,,,0,32,4,0,0,30
Beedrill,144,stat_points,12,,0.5%,,,0,31,4,0,0,31
Beedrill,144,ability,1,Swarm,59.8%,,,,,,,,
Beedrill,144,ability,2,Sniper,40.2%,,,,,,,,
