pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Castform,230,move,1,Weather Ball,57.2%,,,,,,,,
Castform,230,move,2,Sunny Day,39.9%,,,,,,,,
Castform,230,move,3,Thunder,34.9%,,,,,,,,
Castform,230,move,4,Solar Beam,25.8%,,,,,,,,
Castform,230,move,5,Thunderbolt,25.5%,,,,,,,,
Castform,230,move,6,Thunder Wave,23.6%,,,,,,,,
Castform,230,move,7,Energy Ball,23.0%,,,,,,,,
Castform,230,move,8,Flamethrower,19.3%,,,,,,,,
Castform,230,move,9,Icy Wind,18.7%,,,,,,,,
Castform,230,move,10,Ice Beam,15.7%,,,,,,,,
Castform,230,held_item,1,Focus Sash,22.0%,,,,,,,,
Castform,230,held_item,2,Choice Scarf,16.8%,,,,,,,,
Castform,230,held_item,3,Expert Belt,14.0%,,,,,,,,
Castform,230,held_item,4,Life Orb,11.4%,,,,,,,,
Castform,230,held_item,5,Sitrus Berry,9.2%,,,,,,,,
Castform,230,held_item,6,Bright Powder,4.8%,,,,,,,,
Castform,230,held_item,7,Quick Claw,4.2%,,,,,,,,
Castform,230,held_item,8,Damp Rock,2.9%,,,,,,,,
Castform,230,held_item,9,Miracle Seed,2.2%,,,,,,,,
Castform,230,held_item,10,Garchompite,1.9%,,,,,,,,
Castform,230,teammate,1,Swampert,,,,,,,,,
Castform,230,teammate,2,Charizard,,,,,,,,,
Castform,230,teammate,3,Staraptor,,,,,,,,,
Castform,230,teammate,4,Mimikyu,,,,,,,,,
Castform,230,teammate,5,Abomasnow,,,,,,,,,
Castform,230,teammate,6,Meowscarada,,,,,,,,,
Castform,230,teammate,7,Kingambit,,,,,,,,,
Castform,230,teammate,8,Corviknight,,,,,,,,,
Castform,230,teammate,9,Archaludon,,,,,,,,,
Castform,230,teammate,10,Raichu,,,,,,,,,
Castform,230,stat_alignment,1,Timid,43.7%,Speed,Attack,,,,,,
Castform,230,stat_alignment,2,Modest,40.2%,Sp. Atk,Attack,,,,,,
Castform,230,stat_alignment,3,Calm,7.2%,Sp. Def,Attack,,,,,,
Castform,230,stat_alignment,4,Serious,1.9%,,,,,,,,
Castform,230,stat_alignment,5,Sassy,1.9%,Sp. Def,Speed,,,,,,
Castform,230,stat_alignment,6,Quiet,1.7%,Sp. Atk,Speed,,,,,,
Castform,230,stat_alignment,7,Bold,1.6%,Defense,Attack,,,,,,
Castform,230,stat_alignment,8,Brave,0.6%,Attack,Speed,,,,,,
Castform,230,stat_alignment,9,Mild,0.4%,Sp. Atk,Defense,,,,,,
Castform,230,stat_alignment,10,Relaxed,0.4%,Defense,Speed,,,,,,
Castform,230,stat_points,1,,38.7%,,,2,0,0,32,0,32
Castform,230,stat_points,2,,8.1%,,,0,0,2,32,0,32
Castform,230,stat_points,3,,8.0%,,,32,0,1,32,1,0
Castform,230,stat_points,4,,4.7%,,,21,0,8,5,0,32
Castform,230,stat_points,5,,4.6%,,,0,0,0,32,0,32
Castform,230,stat_points,6,,4.1%,,,32,0,0,0,32,2
Castform,230,stat_points,7,,3.7%,,,0,0,13,30,0,23
Castform,230,stat_points,8,,3.3%,,,32,0,14,5,0,15
Castform,230,stat_points,9,,2.7%,,,32,0,4,1,27,2
Castform,230,stat_points,10,,2.4%,,,30,0,0,32,0,4
Castform,230,ability,1,Forecast,100.0%,,,,,,,,
