pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Ceruledge,39,move,1,Shadow Sneak,93.0%,,,,,,,,
Ceruledge,39,move,2,Poltergeist,82.9%,,,,,,,,
Ceruledge,39,move,3,Bitter Blade,82.8%,,,,,,,,
Ceruledge,39,move,4,Swords Dance,80.2%,,,,,,,,
Ceruledge,39,move,5,Close Combat,35.5%,,,,,,,,
Ceruledge,39,move,6,Destiny Bond,8.2%,,,,,,,,
Ceruledge,39,move,7,Bulk Up,2.6%,,,,,,,,
Ceruledge,39,move,8,Shadow Claw,2.2%,,,,,,,,
Ceruledge,39,move,9,Will-O-Wisp,2.0%,,,,,,,,
Ceruledge,39,move,10,Brick Break,1.3%,,,,,,,,
Ceruledge,39,held_item,1,Focus Sash,86.7%,,,,,,,,
Ceruledge,39,held_item,2,Life Orb,2.8%,,,,,,,,
Ceruledge,39,held_item,3,Sitrus Berry,2.0%,,,,,,,,
Ceruledge,39,held_item,4,Leftovers,1.6%,,,,,,,,
Ceruledge,39,held_item,5,Spell Tag,1.2%,,,,,,,,
Ceruledge,39,held_item,6,Choice Scarf,0.8%,,,,,,,,
Ceruledge,39,held_item,7,Shuca Berry,0.6%,,,,,,,,
Ceruledge,39,held_item,8,White Herb,0.6%,,,,,,,,
Ceruledge,39,held_item,9,Quick Claw,0.5%,,,,,,,,
Ceruledge,39,held_item,10,Charcoal,0.5%,,,,,,,,
Ceruledge,39,teammate,1,Garchomp,,,,,,,,,
Ceruledge,39,teammate,2,Metagross,,,,,,,,,
Ceruledge,39,teammate,3,Raichu,,,,,,,,,
Ceruledge,39,teammate,4,Meowscarada,,,,,,,,,
Ceruledge,39,teammate,5,Archaludon,,,,,,,,,
Ceruledge,39,teammate,6,Staraptor,,,,,,,,,
Ceruledge,39,teammate,7,Mimikyu,,,,,,,,,
Ceruledge,39,teammate,8,Hydreigon,,,,,,,,,
Ceruledge,39,teammate,9,Primarina,,,,,,,,,
Ceruledge,39,teammate,10,Rotom Wash,,,,,,,,,
Ceruledge,39,stat_alignment,1,Adamant,78.4%,Attack,Sp. Atk,,,,,,
Ceruledge,39,stat_alignment,2,Jolly,16.3%,Speed,Sp. Atk,,,,,,
Ceruledge,39,stat_alignment,3,Careful,1.3%,Sp. Def,Sp. Atk,,,,,,
Ceruledge,39,stat_alignment,4,Impish,1.1%,Defense,Sp. Atk,,,,,,
Ceruledge,39,stat_alignment,5,Lonely,0.7%,Attack,Defense,,,,,,
Ceruledge,39,stat_alignment,6,Naughty,0.6%,Attack,Sp. Def,,,,,,
Ceruledge,39,stat_alignment,7,Hasty,0.4%,Speed,Defense,,,,,,
Ceruledge,39,stat_alignment,8,Naive,0.3%,Speed,Sp. Def,,,,,,
Ceruledge,39,stat_alignment,9,Brave,0.3%,Attack,Speed,,,,,,
Ceruledge,39,stat_alignment,10,Relaxed,0.1%,Defense,Speed,,,,,,
Ceruledge,39,stat_points,1,,29.8%,,,1,32,1,0,0,32
Ceruledge,39,stat_points,2,,26.8%,,,2,32,0,0,0,32
Ceruledge,39,stat_points,3,,11.9%,,,1,32,0,0,1,32
Ceruledge,39,stat_points,4,,6.0%,,,0,32,2,0,0,32
Ceruledge,39,stat_points,5,,5.0%,,,0,32,0,0,2,32
Ceruledge,39,stat_points,6,,2.1%,,,0,32,0,0,0,32
Ceruledge,39,stat_points,7,,1.2%,,,32,32,0,0,0,2
Ceruledge,39,stat_points,8,,1.1%,,,1,32,0,0,0,32
Ceruledge,39,stat_points,9,,0.9%,,,32,32,2,0,0,0
Ceruledge,39,stat_points,10,,0.7%,,,32,32,0,0,2,0
Ceruledge,39,stat_points,11,,0.6%,,,7,32,0,0,0,27
Ceruledge,39,stat_points,12,,0.5%,,,0,32,1,0,1,32
Ceruledge,39,ability,1,Weak Armor,88.0%,,,,,,,,
Ceruledge,39,ability,2,Flash Fire,12.0%,,,,,,,,
