pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Chandelure,90,move,1,Shadow Ball,93.1%,,,,,,,,
Chandelure,90,move,2,Energy Ball,60.5%,,,,,,,,
Chandelure,90,move,3,Flamethrower,60.0%,,,,,,,,
Chandelure,90,move,4,Overheat,35.2%,,,,,,,,
Chandelure,90,move,5,Trick,20.8%,,,,,,,,
Chandelure,90,move,6,Psychic,20.5%,,,,,,,,
Chandelure,90,move,7,Will-O-Wisp,15.0%,,,,,,,,
Chandelure,90,move,8,Trick Room,13.8%,,,,,,,,
Chandelure,90,move,9,Fire Blast,11.3%,,,,,,,,
Chandelure,90,move,10,Minimize,9.6%,,,,,,,,
Chandelure,90,held_item,1,Choice Scarf,36.4%,,,,,,,,
Chandelure,90,held_item,2,Chandelurite,29.3%,,,,,,,,
Chandelure,90,held_item,3,Focus Sash,17.1%,,,,,,,,
Chandelure,90,held_item,4,Leftovers,2.9%,,,,,,,,
Chandelure,90,held_item,5,Life Orb,2.1%,,,,,,,,
Chandelure,90,held_item,6,Sitrus Berry,1.9%,,,,,,,,
Chandelure,90,held_item,7,Bright Powder,1.8%,,,,,,,,
Chandelure,90,held_item,8,Shuca Berry,1.4%,,,,,,,,
Chandelure,90,held_item,9,Kasib Berry,1.0%,,,,,,,,
Chandelure,90,held_item,10,Lum Berry,0.8%,,,,,,,,
Chandelure,90,teammate,1,Garchomp,,,,,,,,,
Chandelure,90,teammate,2,Mawile,,,,,,,,,
Chandelure,90,teammate,3,Mimikyu,,,,,,,,,
Chandelure,90,teammate,4,Meowscarada,,,,,,,,,
Chandelure,90,teammate,5,Raichu,,,,,,,,,
Chandelure,90,teammate,6,Staraptor,,,,,,,,,
Chandelure,90,teammate,7,Archaludon,,,,,,,,,
Chandelure,90,teammate,8,Corviknight,,,,,,,,,
Chandelure,90,teammate,9,Metagross,,,,,,,,,
Chandelure,90,teammate,10,Gyarados,,,,,,,,,
Chandelure,90,stat_alignment,1,Timid,47.9%,Speed,Attack,,,,,,
Chandelure,90,stat_alignment,2,Modest,39.1%,Sp. Atk,Attack,,,,,,
Chandelure,90,stat_alignment,3,Quiet,5.8%,Sp. Atk,Speed,,,,,,
Chandelure,90,stat_alignment,4,Bold,3.5%,Defense,Attack,,,,,,
Chandelure,90,stat_alignment,5,Calm,2.3%,Sp. Def,Attack,,,,,,
Chandelure,90,stat_alignment,6,Relaxed,0.3%,Defense,Speed,,,,,,
Chandelure,90,stat_alignment,7,Sassy,0.3%,Sp. Def,Speed,,,,,,
Chandelure,90,stat_alignment,8,Mild,0.3%,Sp. Atk,Defense,,,,,,
Chandelure,90,stat_alignment,9,Hasty,0.2%,Speed,Defense,,,,,,
Chandelure,90,stat_alignment,10,Naive,0.1%,Speed,Sp. Def,,,,,,
Chandelure,90,stat_points,1,,44.1%,,,2,0,0,32,0,32
Chandelure,90,stat_points,2,,5.7%,,,0,0,2,32,0,32
Chandelure,90,stat_points,3,,5.6%,,,0,0,0,32,2,32
Chandelure,90,stat_points,4,,4.9%,,,32,0,2,32,0,0
Chandelure,90,stat_points,5,,3.0%,,,32,0,0,32,2,0
Chandelure,90,stat_points,6,,2.8%,,,32,0,0,32,0,2
Chandelure,90,stat_points,7,,2.0%,,,32,0,1,32,1,0
Chandelure,90,stat_points,8,,2.0%,,,0,0,0,32,0,32
Chandelure,90,stat_points,9,,1.6%,,,0,0,1,32,1,32
Chandelure,90,stat_points,10,,1.4%,,,32,0,32,2,0,0
Chandelure,90,stat_points,11,,1.1%,,,32,0,32,0,2,0
Chandelure,90,stat_points,12,,0.8%,,,32,0,0,2,32,0
Chandelure,90,ability,1,Flash Fire,56.9%,,,,,,,,
Chandelure,90,ability,2,Infiltrator,33.7%,,,,,,,,
Chandelure,90,ability,3,Flame Body,9.4%,,,,,,,,
