pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Charizard,8,move,1,Solar Beam,76.5%,,,,,,,,
Charizard,8,move,2,Flamethrower,47.6%,,,,,,,,
Charizard,8,move,3,Air Slash,45.5%,,,,,,,,
Charizard,8,move,4,Overheat,31.0%,,,,,,,,
Charizard,8,move,5,Flame Charge,25.8%,,,,,,,,
Charizard,8,move,6,Weather Ball,24.8%,,,,,,,,
Charizard,8,move,7,Flare Blitz,20.9%,,,,,,,,
Charizard,8,move,8,Roost,18.8%,,,,,,,,
Charizard,8,move,9,Dragon Pulse,16.0%,,,,,,,,
Charizard,8,move,10,Dragon Dance,15.1%,,,,,,,,
Charizard,8,held_item,1,Charizardite Y,77.4%,,,,,,,,
Charizard,8,held_item,2,Charizardite X,21.1%,,,,,,,,
Charizard,8,held_item,3,Choice Scarf,0.1%,,,,,,,,
Charizard,8,held_item,4,Focus Sash,0.1%,,,,,,,,
Charizard,8,held_item,5,Life Orb,0.1%,,,,,,,,
Charizard,8,held_item,6,Lum Berry,0.1%,,,,,,,,
Charizard,8,held_item,7,Sitrus Berry,0.1%,,,,,,,,
Charizard,8,held_item,8,Quick Claw,0.1%,,,,,,,,
Charizard,8,held_item,9,Raichunite Y,0.0%,,,,,,,,
Charizard,8,held_item,10,Beedrillite,0.0%,,,,,,,,
Charizard,8,teammate,1,Garchomp,,,,,,,,,
Charizard,8,teammate,2,Mimikyu,,,,,,,,,
Charizard,8,teammate,3,Meowscarada,,,,,,,,,
Charizard,8,teammate,4,Archaludon,,,,,,,,,
Charizard,8,teammate,5,Metagross,,,,,,,,,
Charizard,8,teammate,6,Primarina,,,,,,,,,
Charizard,8,teammate,7,Corviknight,,,,,,,,,
Charizard,8,teammate,8,Hippowdon,,,,,,,,,
Charizard,8,teammate,9,Basculegion Male,,,,,,,,,
Charizard,8,teammate,10,Raichu,,,,,,,,,
Charizard,8,stat_alignment,1,Modest,42.9%,Sp. Atk,Attack,,,,,,
Charizard,8,stat_alignment,2,Timid,32.9%,Speed,Attack,,,,,,
Charizard,8,stat_alignment,3,Adamant,15.0%,Attack,Sp. Atk,,,,,,
Charizard,8,stat_alignment,4,Jolly,6.5%,Speed,Sp. Atk,,,,,,
Charizard,8,stat_alignment,5,Bold,0.8%,Defense,Attack,,,,,,
Charizard,8,stat_alignment,6,Mild,0.4%,Sp. Atk,Defense,,,,,,
Charizard,8,stat_alignment,7,Hasty,0.3%,Speed,Defense,,,,,,
Charizard,8,stat_alignment,8,Impish,0.2%,Defense,Sp. Atk,,,,,,
Charizard,8,stat_alignment,9,Naive,0.2%,Speed,Sp. Def,,,,,,
Charizard,8,stat_alignment,10,Calm,0.2%,Sp. Def,Attack,,,,,,
Charizard,8,stat_points,1,,41.8%,,,2,0,0,32,0,32
Charizard,8,stat_points,2,,11.9%,,,2,32,0,0,0,32
Charizard,8,stat_points,3,,4.7%,,,0,0,2,32,0,32
Charizard,8,stat_points,4,,2.7%,,,14,0,12,21,0,19
Charizard,8,stat_points,5,,2.5%,,,32,0,20,11,0,3
Charizard,8,stat_points,6,,2.3%,,,0,0,0,32,2,32
Charizard,8,stat_points,7,,2.3%,,,12,0,20,16,0,18
Charizard,8,stat_points,8,,1.6%,,,32,0,23,11,0,0
Charizard,8,stat_points,9,,1.5%,,,6,30,2,0,1,27
Charizard,8,stat_points,10,,1.3%,,,4,30,0,0,0,32
Charizard,8,stat_points,11,,1.3%,,,32,0,20,14,0,0
Charizard,8,stat_points,12,,1.1%,,,0,0,0,32,0,32
Charizard,8,ability,1,Blaze,84.1%,,,,,,,,
Charizard,8,ability,2,Solar Power,15.9%,,,,,,,,
