pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Chesnaught,96,move,1,Body Press,83.4%,,,,,,,,
Chesnaught,96,move,2,Synthesis,62.8%,,,,,,,,
Chesnaught,96,move,3,Iron Defense,62.2%,,,,,,,,
Chesnaught,96,move,4,Leech Seed,43.4%,,,,,,,,
Chesnaught,96,move,5,Earthquake,31.7%,,,,,,,,
Chesnaught,96,move,6,Spiky Shield,23.3%,,,,,,,,
Chesnaught,96,move,7,Wood Hammer,22.6%,,,,,,,,
Chesnaught,96,move,8,Knock Off,13.3%,,,,,,,,
Chesnaught,96,move,9,Drain Punch,11.4%,,,,,,,,
Chesnaught,96,move,10,Seed Bomb,8.8%,,,,,,,,
Chesnaught,96,held_item,1,Chesnaughtite,78.1%,,,,,,,,
Chesnaught,96,held_item,2,Leftovers,10.8%,,,,,,,,
Chesnaught,96,held_item,3,Sitrus Berry,3.8%,,,,,,,,
Chesnaught,96,held_item,4,Big Root,2.5%,,,,,,,,
Chesnaught,96,held_item,5,Lum Berry,0.7%,,,,,,,,
Chesnaught,96,held_item,6,Quick Claw,0.4%,,,,,,,,
Chesnaught,96,held_item,7,Bright Powder,0.4%,,,,,,,,
Chesnaught,96,held_item,8,Focus Sash,0.3%,,,,,,,,
Chesnaught,96,held_item,9,Expert Belt,0.3%,,,,,,,,
Chesnaught,96,held_item,10,Roseli Berry,0.2%,,,,,,,,
Chesnaught,96,teammate,1,Garchomp,,,,,,,,,
Chesnaught,96,teammate,2,Skeledirge,,,,,,,,,
Chesnaught,96,teammate,3,Toxapex,,,,,,,,,
Chesnaught,96,teammate,4,Corviknight,,,,,,,,,
Chesnaught,96,teammate,5,Archaludon,,,,,,,,,
Chesnaught,96,teammate,6,Slowbro,,,,,,,,,
Chesnaught,96,teammate,7,Raichu,,,,,,,,,
Chesnaught,96,teammate,8,Gholdengo,,,,,,,,,
Chesnaught,96,teammate,9,Dragalge,,,,,,,,,
Chesnaught,96,teammate,10,Snorlax,,,,,,,,,
Chesnaught,96,stat_alignment,1,Impish,73.9%,Defense,Sp. Atk,,,,,,
Chesnaught,96,stat_alignment,2,Adamant,11.7%,Attack,Sp. Atk,,,,,,
Chesnaught,96,stat_alignment,3,Careful,6.1%,Sp. Def,Sp. Atk,,,,,,
Chesnaught,96,stat_alignment,4,Bold,2.9%,Defense,Attack,,,,,,
Chesnaught,96,stat_alignment,5,Relaxed,2.1%,Defense,Speed,,,,,,
Chesnaught,96,stat_alignment,6,Brave,1.2%,Attack,Speed,,,,,,
Chesnaught,96,stat_alignment,7,Sassy,0.7%,Sp. Def,Speed,,,,,,
Chesnaught,96,stat_alignment,8,Jolly,0.3%,Speed,Sp. Atk,,,,,,
Chesnaught,96,stat_alignment,9,Naughty,0.3%,Attack,Sp. Def,,,,,,
Chesnaught,96,stat_alignment,10,Calm,0.3%,Sp. Def,Attack,,,,,,
Chesnaught,96,stat_points,1,,41.8%,,,32,0,32,0,2,0
Chesnaught,96,stat_points,2,,6.9%,,,32,2,32,0,0,0
Chesnaught,96,stat_points,3,,4.8%,,,32,0,32,0,0,2
Chesnaught,96,stat_points,4,,3.2%,,,32,0,2,0,32,0
Chesnaught,96,stat_points,5,,2.7%,,,2,32,32,0,0,0
Chesnaught,96,stat_points,6,,2.5%,,,32,32,0,0,2,0
Chesnaught,96,stat_points,7,,2.3%,,,32,32,2,0,0,0
Chesnaught,96,stat_points,8,,1.5%,,,32,0,32,0,0,0
Chesnaught,96,stat_points,9,,1.4%,,,32,0,32,0,1,1
Chesnaught,96,stat_points,10,,1.4%,,,2,0,32,0,32,0
Chesnaught,96,stat_points,11,,1.4%,,,32,0,28,0,6,0
Chesnaught,96,stat_points,12,,1.0%,,,32,0,21,0,13,0
Chesnaught,96,ability,1,Bulletproof,94.3%,,,,,,,,
Chesnaught,96,ability,2,Overgrow,5.7%,,,,,,,,
