pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Chimecho,145,move,1,Recover,82.9%,,,,,,,,
Chimecho,145,move,2,Stored Power,47.0%,,,,,,,,
Chimecho,145,move,3,Cosmic Power,45.2%,,,,,,,,
Chimecho,145,move,4,Calm Mind,38.0%,,,,,,,,
Chimecho,145,move,5,Boomburst,29.2%,,,,,,,,
Chimecho,145,move,6,Flash Cannon,19.3%,,,,,,,,
Chimecho,145,move,7,Psychic Noise,16.4%,,,,,,,,
Chimecho,145,move,8,Psychic,13.3%,,,,,,,,
Chimecho,145,move,9,Draining Kiss,12.3%,,,,,,,,
Chimecho,145,move,10,Psyshock,10.7%,,,,,,,,
Chimecho,145,held_item,1,Chimechite,91.4%,,,,,,,,
Chimecho,145,held_item,2,Sitrus Berry,2.5%,,,,,,,,
Chimecho,145,held_item,3,Leftovers,1.2%,,,,,,,,
Chimecho,145,held_item,4,Focus Sash,0.9%,,,,,,,,
Chimecho,145,held_item,5,Mental Herb,0.9%,,,,,,,,
Chimecho,145,held_item,6,Light Clay,0.8%,,,,,,,,
Chimecho,145,held_item,7,Kasib Berry,0.5%,,,,,,,,
Chimecho,145,held_item,8,Lum Berry,0.5%,,,,,,,,
Chimecho,145,held_item,9,Bright Powder,0.4%,,,,,,,,
Chimecho,145,held_item,10,Colbur Berry,0.1%,,,,,,,,
Chimecho,145,teammate,1,Garchomp,,,,,,,,,
Chimecho,145,teammate,2,Meowscarada,,,,,,,,,
Chimecho,145,teammate,3,Mimikyu,,,,,,,,,
Chimecho,145,teammate,4,Glimmora,,,,,,,,,
Chimecho,145,teammate,5,Skeledirge,,,,,,,,,
Chimecho,145,teammate,6,Blaziken,,,,,,,,,
Chimecho,145,teammate,7,Alolan Ninetales,,,,,,,,,
Chimecho,145,teammate,8,Archaludon,,,,,,,,,
Chimecho,145,teammate,9,Raichu,,,,,,,,,
Chimecho,145,teammate,10,Hippowdon,,,,,,,,,
Chimecho,145,stat_alignment,1,Bold,50.1%,Defense,Attack,,,,,,
Chimecho,145,stat_alignment,2,Modest,31.5%,Sp. Atk,Attack,,,,,,
Chimecho,145,stat_alignment,3,Calm,11.1%,Sp. Def,Attack,,,,,,
Chimecho,145,stat_alignment,4,Relaxed,2.4%,Defense,Speed,,,,,,
Chimecho,145,stat_alignment,5,Quiet,2.2%,Sp. Atk,Speed,,,,,,
Chimecho,145,stat_alignment,6,Timid,1.3%,Speed,Attack,,,,,,
Chimecho,145,stat_alignment,7,Sassy,0.8%,Sp. Def,Speed,,,,,,
Chimecho,145,stat_alignment,8,Impish,0.3%,Defense,Sp. Atk,,,,,,
Chimecho,145,stat_alignment,9,Serious,0.1%,,,,,,,,
Chimecho,145,stat_alignment,10,Mild,0.1%,Sp. Atk,Defense,,,,,,
Chimecho,145,stat_points,1,,19.1%,,,32,0,32,0,2,0
Chimecho,145,stat_points,2,,5.0%,,,32,0,32,0,0,2
Chimecho,145,stat_points,3,,4.0%,,,32,0,2,32,0,0
Chimecho,145,stat_points,4,,3.9%,,,32,0,32,2,0,0
Chimecho,145,stat_points,5,,3.2%,,,2,0,32,0,32,0
Chimecho,145,stat_points,6,,2.6%,,,32,0,2,0,32,0
Chimecho,145,stat_points,7,,1.9%,,,32,0,9,16,4,5
Chimecho,145,stat_points,8,,1.7%,,,31,0,32,0,3,0
Chimecho,145,stat_points,9,,1.7%,,,31,0,32,0,2,1
Chimecho,145,stat_points,10,,1.5%,,,32,0,0,32,0,2
Chimecho,145,stat_points,11,,1.5%,,,32,0,20,0,14,0
Chimecho,145,stat_points,12,,1.5%,,,32,0,1,32,1,0
Chimecho,145,ability,1,Levitate,100.0%,,,,,,,,
