pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Clawitzer,158,move,1,Aura Sphere,93.1%,,,,,,,,
Clawitzer,158,move,2,Water Pulse,90.2%,,,,,,,,
Clawitzer,158,move,3,Dark Pulse,70.2%,,,,,,,,
Clawitzer,158,move,4,Aqua Jet,49.2%,,,,,,,,
Clawitzer,158,move,5,Ice Beam,39.9%,,,,,,,,
Clawitzer,158,move,6,Dragon Pulse,30.4%,,,,,,,,
Clawitzer,158,move,7,Sludge Wave,7.8%,,,,,,,,
Clawitzer,158,move,8,Flip Turn,3.9%,,,,,,,,
Clawitzer,158,move,9,Hydro Pump,3.5%,,,,,,,,
Clawitzer,158,move,10,Terrain Pulse,3.1%,,,,,,,,
Clawitzer,158,held_item,1,Life Orb,27.3%,,,,,,,,
Clawitzer,158,held_item,2,Sitrus Berry,20.0%,,,,,,,,
Clawitzer,158,held_item,3,Expert Belt,9.7%,,,,,,,,
Clawitzer,158,held_item,4,Quick Claw,9.2%,,,,,,,,
Clawitzer,158,held_item,5,Choice Scarf,8.5%,,,,,,,,
Clawitzer,158,held_item,6,Focus Sash,8.4%,,,,,,,,
Clawitzer,158,held_item,7,Mystic Water,6.1%,,,,,,,,
Clawitzer,158,held_item,8,Wise Glasses,2.9%,,,,,,,,
Clawitzer,158,held_item,9,Wacan Berry,1.9%,,,,,,,,
Clawitzer,158,held_item,10,Lum Berry,1.2%,,,,,,,,
Clawitzer,158,teammate,1,Garchomp,,,,,,,,,
Clawitzer,158,teammate,2,Raichu,,,,,,,,,
Clawitzer,158,teammate,3,Staraptor,,,,,,,,,
Clawitzer,158,teammate,4,Meowscarada,,,,,,,,,
Clawitzer,158,teammate,5,Mimikyu,,,,,,,,,
Clawitzer,158,teammate,6,Dragonite,,,,,,,,,
Clawitzer,158,teammate,7,Blaziken,,,,,,,,,
Clawitzer,158,teammate,8,Metagross,,,,,,,,,
Clawitzer,158,teammate,9,Mawile,,,,,,,,,
Clawitzer,158,teammate,10,Charizard,,,,,,,,,
Clawitzer,158,stat_alignment,1,Modest,67.7%,Sp. Atk,Attack,,,,,,
Clawitzer,158,stat_alignment,2,Quiet,15.6%,Sp. Atk,Speed,,,,,,
Clawitzer,158,stat_alignment,3,Timid,9.9%,Speed,Attack,,,,,,
Clawitzer,158,stat_alignment,4,Relaxed,2.0%,Defense,Speed,,,,,,
Clawitzer,158,stat_alignment,5,Bold,1.2%,Defense,Attack,,,,,,
Clawitzer,158,stat_alignment,6,Mild,1.2%,Sp. Atk,Defense,,,,,,
Clawitzer,158,stat_alignment,7,Calm,0.8%,Sp. Def,Attack,,,,,,
Clawitzer,158,stat_alignment,8,Hasty,0.7%,Speed,Defense,,,,,,
Clawitzer,158,stat_alignment,9,Sassy,0.4%,Sp. Def,Speed,,,,,,
Clawitzer,158,stat_alignment,10,Naive,0.1%,Speed,Sp. Def,,,,,,
Clawitzer,158,stat_points,1,,17.0%,,,32,0,2,32,0,0
Clawitzer,158,stat_points,2,,9.0%,,,32,0,1,32,1,0
Clawitzer,158,stat_points,3,,7.8%,,,32,0,0,32,2,0
Clawitzer,158,stat_points,4,,7.1%,,,2,0,0,32,0,32
Clawitzer,158,stat_points,5,,6.5%,,,32,0,0,32,0,2
Clawitzer,158,stat_points,6,,3.6%,,,1,0,1,32,0,32
Clawitzer,158,stat_points,7,,2.5%,,,0,0,0,32,2,32
Clawitzer,158,stat_points,8,,2.1%,,,27,0,0,32,0,7
Clawitzer,158,stat_points,9,,1.9%,,,0,0,2,32,0,32
Clawitzer,158,stat_points,10,,1.8%,,,31,0,3,32,0,0
Clawitzer,158,stat_points,11,,1.3%,,,31,0,0,32,0,3
Clawitzer,158,stat_points,12,,1.3%,,,31,0,2,32,1,0
Clawitzer,158,ability,1,Mega Launcher,100.0%,,,,,,,,
