pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Clefable,57,move,1,Moonlight,85.3%,,,,,,,,
Clefable,57,move,2,Moonblast,80.5%,,,,,,,,
Clefable,57,move,3,Cosmic Power,65.5%,,,,,,,,
Clefable,57,move,4,Stored Power,45.2%,,,,,,,,
Clefable,57,move,5,Flamethrower,25.7%,,,,,,,,
Clefable,57,move,6,Calm Mind,23.6%,,,,,,,,
Clefable,57,move,7,Baton Pass,13.4%,,,,,,,,
Clefable,57,move,8,Mystical Fire,6.8%,,,,,,,,
Clefable,57,move,9,Stealth Rock,6.7%,,,,,,,,
Clefable,57,move,10,Thunder Wave,5.7%,,,,,,,,
Clefable,57,held_item,1,Clefablite,71.1%,,,,,,,,
Clefable,57,held_item,2,Leftovers,14.9%,,,,,,,,
Clefable,57,held_item,3,Sitrus Berry,7.7%,,,,,,,,
Clefable,57,held_item,4,Life Orb,1.7%,,,,,,,,
Clefable,57,held_item,5,Lum Berry,0.6%,,,,,,,,
Clefable,57,held_item,6,Light Clay,0.6%,,,,,,,,
Clefable,57,held_item,7,Bright Powder,0.5%,,,,,,,,
Clefable,57,held_item,8,Babiri Berry,0.4%,,,,,,,,
Clefable,57,held_item,9,Fairy Feather,0.3%,,,,,,,,
Clefable,57,held_item,10,Quick Claw,0.3%,,,,,,,,
Clefable,57,teammate,1,Garchomp,,,,,,,,,
Clefable,57,teammate,2,Archaludon,,,,,,,,,
Clefable,57,teammate,3,Basculegion Male,,,,,,,,,
Clefable,57,teammate,4,Mimikyu,,,,,,,,,
Clefable,57,teammate,5,Espathra,,,,,,,,,
Clefable,57,teammate,6,Meowscarada,,,,,,,,,
Clefable,57,teammate,7,Charizard,,,,,,,,,
Clefable,57,teammate,8,Glimmora,,,,,,,,,
Clefable,57,teammate,9,Blaziken,,,,,,,,,
Clefable,57,teammate,10,Corviknight,,,,,,,,,
Clefable,57,stat_alignment,1,Bold,67.7%,Defense,Attack,,,,,,
Clefable,57,stat_alignment,2,Calm,17.5%,Sp. Def,Attack,,,,,,
Clefable,57,stat_alignment,3,Modest,11.0%,Sp. Atk,Attack,,,,,,
Clefable,57,stat_alignment,4,Timid,1.4%,Speed,Attack,,,,,,
Clefable,57,stat_alignment,5,Relaxed,0.6%,Defense,Speed,,,,,,
Clefable,57,stat_alignment,6,Quiet,0.4%,Sp. Atk,Speed,,,,,,
Clefable,57,stat_alignment,7,Sassy,0.3%,Sp. Def,Speed,,,,,,
Clefable,57,stat_alignment,8,Mild,0.3%,Sp. Atk,Defense,,,,,,
Clefable,57,stat_alignment,9,Impish,0.1%,Defense,Sp. Atk,,,,,,
Clefable,57,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Clefable,57,stat_points,1,,27.9%,,,32,0,32,0,2,0
Clefable,57,stat_points,2,,4.5%,,,32,0,32,0,0,2
Clefable,57,stat_points,3,,3.8%,,,31,0,32,0,3,0
Clefable,57,stat_points,4,,3.7%,,,32,0,32,2,0,0
Clefable,57,stat_points,5,,3.6%,,,32,0,2,0,32,0
Clefable,57,stat_points,6,,2.8%,,,32,0,27,0,7,0
Clefable,57,stat_points,7,,2.0%,,,31,0,32,0,0,3
Clefable,57,stat_points,8,,1.9%,,,32,0,2,32,0,0
Clefable,57,stat_points,9,,1.8%,,,32,0,32,0,0,0
Clefable,57,stat_points,10,,1.5%,,,2,0,32,0,32,0
Clefable,57,stat_points,11,,1.4%,,,32,0,25,8,1,0
Clefable,57,stat_points,12,,1.1%,,,32,0,0,32,2,0
Clefable,57,ability,1,Unaware,85.2%,,,,,,,,
Clefable,57,ability,2,Magic Guard,13.8%,,,,,,,,
Clefable,57,ability,3,Cute Charm,1.0%,,,,,,,,
