pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Cofagrigus,127,move,1,Will-O-Wisp,77.4%,,,,,,,,
Cofagrigus,127,move,2,Body Press,54.1%,,,,,,,,
Cofagrigus,127,move,3,Hex,44.4%,,,,,,,,
Cofagrigus,127,move,4,Trick Room,39.9%,,,,,,,,
Cofagrigus,127,move,5,Iron Defense,32.0%,,,,,,,,
Cofagrigus,127,move,6,Shadow Ball,26.6%,,,,,,,,
Cofagrigus,127,move,7,Curse,19.0%,,,,,,,,
Cofagrigus,127,move,8,Memento,16.5%,,,,,,,,
Cofagrigus,127,move,9,Destiny Bond,15.8%,,,,,,,,
Cofagrigus,127,move,10,Toxic Spikes,11.5%,,,,,,,,
Cofagrigus,127,held_item,1,Leftovers,46.0%,,,,,,,,
Cofagrigus,127,held_item,2,Sitrus Berry,24.5%,,,,,,,,
Cofagrigus,127,held_item,3,Chesto Berry,6.7%,,,,,,,,
Cofagrigus,127,held_item,4,Mental Herb,6.3%,,,,,,,,
Cofagrigus,127,held_item,5,Kasib Berry,2.3%,,,,,,,,
Cofagrigus,127,held_item,6,Lum Berry,2.2%,,,,,,,,
Cofagrigus,127,held_item,7,Colbur Berry,2.2%,,,,,,,,
Cofagrigus,127,held_item,8,Focus Sash,1.6%,,,,,,,,
Cofagrigus,127,held_item,9,Quick Claw,0.9%,,,,,,,,
Cofagrigus,127,held_item,10,Iron Ball,0.9%,,,,,,,,
Cofagrigus,127,teammate,1,Garchomp,,,,,,,,,
Cofagrigus,127,teammate,2,Mawile,,,,,,,,,
Cofagrigus,127,teammate,3,Meowscarada,,,,,,,,,
Cofagrigus,127,teammate,4,Raichu,,,,,,,,,
Cofagrigus,127,teammate,5,Metagross,,,,,,,,,
Cofagrigus,127,teammate,6,Staraptor,,,,,,,,,
Cofagrigus,127,teammate,7,Archaludon,,,,,,,,,
Cofagrigus,127,teammate,8,Blaziken,,,,,,,,,
Cofagrigus,127,teammate,9,Mimikyu,,,,,,,,,
Cofagrigus,127,teammate,10,Hydreigon,,,,,,,,,
Cofagrigus,127,stat_alignment,1,Bold,55.8%,Defense,Attack,,,,,,
Cofagrigus,127,stat_alignment,2,Relaxed,20.3%,Defense,Speed,,,,,,
Cofagrigus,127,stat_alignment,3,Calm,8.8%,Sp. Def,Attack,,,,,,
Cofagrigus,127,stat_alignment,4,Sassy,6.1%,Sp. Def,Speed,,,,,,
Cofagrigus,127,stat_alignment,5,Modest,3.4%,Sp. Atk,Attack,,,,,,
Cofagrigus,127,stat_alignment,6,Quiet,2.9%,Sp. Atk,Speed,,,,,,
Cofagrigus,127,stat_alignment,7,Impish,1.5%,Defense,Sp. Atk,,,,,,
Cofagrigus,127,stat_alignment,8,Careful,0.9%,Sp. Def,Sp. Atk,,,,,,
Cofagrigus,127,stat_alignment,9,Brave,0.1%,Attack,Speed,,,,,,
Cofagrigus,127,stat_alignment,10,Mild,0.1%,Sp. Atk,Defense,,,,,,
Cofagrigus,127,stat_points,1,,41.8%,,,32,0,32,0,2,0
Cofagrigus,127,stat_points,2,,7.6%,,,32,0,2,0,32,0
Cofagrigus,127,stat_points,3,,6.0%,,,32,0,32,2,0,0
Cofagrigus,127,stat_points,4,,3.8%,,,32,0,32,0,0,0
Cofagrigus,127,stat_points,5,,3.0%,,,2,0,32,0,32,0
Cofagrigus,127,stat_points,6,,2.0%,,,32,0,2,32,0,0
Cofagrigus,127,stat_points,7,,2.0%,,,32,0,29,0,5,0
Cofagrigus,127,stat_points,8,,1.4%,,,32,0,14,0,20,0
Cofagrigus,127,stat_points,9,,1.3%,,,26,0,28,0,12,0
Cofagrigus,127,stat_points,10,,1.3%,,,32,0,17,0,17,0
Cofagrigus,127,ability,1,Mummy,100.0%,,,,,,,,
