pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Conkeldurr,98,move,1,Mach Punch,93.5%,,,,,,,,
Conkeldurr,98,move,2,Drain Punch,82.3%,,,,,,,,
Conkeldurr,98,move,3,Ice Punch,72.9%,,,,,,,,
Conkeldurr,98,move,4,Thunder Punch,41.0%,,,,,,,,
Conkeldurr,98,move,5,Knock Off,30.7%,,,,,,,,
Conkeldurr,98,move,6,Earthquake,20.4%,,,,,,,,
Conkeldurr,98,move,7,Close Combat,10.5%,,,,,,,,
Conkeldurr,98,move,8,Fire Punch,9.0%,,,,,,,,
Conkeldurr,98,move,9,Bulk Up,8.4%,,,,,,,,
Conkeldurr,98,move,10,Poison Jab,6.9%,,,,,,,,
Conkeldurr,98,held_item,1,Life Orb,36.8%,,,,,,,,
Conkeldurr,98,held_item,2,Black Belt,17.6%,,,,,,,,
Conkeldurr,98,held_item,3,Sitrus Berry,15.0%,,,,,,,,
Conkeldurr,98,held_item,4,Expert Belt,8.9%,,,,,,,,
Conkeldurr,98,held_item,5,Focus Sash,6.4%,,,,,,,,
Conkeldurr,98,held_item,6,Leftovers,4.2%,,,,,,,,
Conkeldurr,98,held_item,7,Muscle Band,2.8%,,,,,,,,
Conkeldurr,98,held_item,8,Lum Berry,2.4%,,,,,,,,
Conkeldurr,98,held_item,9,Quick Claw,1.9%,,,,,,,,
Conkeldurr,98,held_item,10,Big Root,0.5%,,,,,,,,
Conkeldurr,98,teammate,1,Garchomp,,,,,,,,,
Conkeldurr,98,teammate,2,Raichu,,,,,,,,,
Conkeldurr,98,teammate,3,Metagross,,,,,,,,,
Conkeldurr,98,teammate,4,Charizard,,,,,,,,,
Conkeldurr,98,teammate,5,Meowscarada,,,,,,,,,
Conkeldurr,98,teammate,6,Archaludon,,,,,,,,,
Conkeldurr,98,teammate,7,Mimikyu,,,,,,,,,
Conkeldurr,98,teammate,8,Basculegion Male,,,,,,,,,
Conkeldurr,98,teammate,9,Hydreigon,,,,,,,,,
Conkeldurr,98,teammate,10,Staraptor,,,,,,,,,
Conkeldurr,98,stat_alignment,1,Adamant,84.2%,Attack,Sp. Atk,,,,,,
Conkeldurr,98,stat_alignment,2,Brave,9.6%,Attack,Speed,,,,,,
Conkeldurr,98,stat_alignment,3,Careful,1.8%,Sp. Def,Sp. Atk,,,,,,
Conkeldurr,98,stat_alignment,4,Impish,1.7%,Defense,Sp. Atk,,,,,,
Conkeldurr,98,stat_alignment,5,Jolly,0.7%,Speed,Sp. Atk,,,,,,
Conkeldurr,98,stat_alignment,6,Naughty,0.6%,Attack,Sp. Def,,,,,,
Conkeldurr,98,stat_alignment,7,Sassy,0.3%,Sp. Def,Speed,,,,,,
Conkeldurr,98,stat_alignment,8,Relaxed,0.3%,Defense,Speed,,,,,,
Conkeldurr,98,stat_alignment,9,Lonely,0.2%,Attack,Defense,,,,,,
Conkeldurr,98,stat_alignment,10,Lax,0.1%,Defense,Sp. Def,,,,,,
Conkeldurr,98,stat_points,1,,21.5%,,,32,32,2,0,0,0
Conkeldurr,98,stat_points,2,,13.3%,,,32,32,0,0,2,0
Conkeldurr,98,stat_points,3,,5.8%,,,1,32,1,0,32,0
Conkeldurr,98,stat_points,4,,4.4%,,,2,32,32,0,0,0
Conkeldurr,98,stat_points,5,,4.3%,,,2,32,0,0,32,0
Conkeldurr,98,stat_points,6,,3.2%,,,2,32,0,0,0,32
Conkeldurr,98,stat_points,7,,3.1%,,,32,32,0,0,0,2
Conkeldurr,98,stat_points,8,,2.6%,,,21,32,2,0,11,0
Conkeldurr,98,stat_points,9,,1.9%,,,31,32,3,0,0,0
Conkeldurr,98,ability,1,Iron Fist,71.1%,,,,,,,,
Conkeldurr,98,ability,2,Guts,15.0%,,,,,,,,
Conkeldurr,98,ability,3,Sheer Force,13.9%,,,,,,,,
