pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Corviknight,9,move,1,Roost,98.2%,,,,,,,,
Corviknight,9,move,2,Body Press,86.6%,,,,,,,,
Corviknight,9,move,3,Iron Defense,81.7%,,,,,,,,
Corviknight,9,move,4,U-turn,65.5%,,,,,,,,
Corviknight,9,move,5,Iron Head,25.1%,,,,,,,,
Corviknight,9,move,6,Brave Bird,13.0%,,,,,,,,
Corviknight,9,move,7,Defog,7.5%,,,,,,,,
Corviknight,9,move,8,Taunt,6.7%,,,,,,,,
Corviknight,9,move,9,Bulk Up,5.6%,,,,,,,,
Corviknight,9,move,10,Power Trip,3.2%,,,,,,,,
Corviknight,9,held_item,1,Leftovers,68.3%,,,,,,,,
Corviknight,9,held_item,2,Sitrus Berry,27.3%,,,,,,,,
Corviknight,9,held_item,3,Bright Powder,1.1%,,,,,,,,
Corviknight,9,held_item,4,Lum Berry,1.0%,,,,,,,,
Corviknight,9,held_item,5,Occa Berry,0.3%,,,,,,,,
Corviknight,9,held_item,6,Quick Claw,0.3%,,,,,,,,
Corviknight,9,held_item,7,Wacan Berry,0.2%,,,,,,,,
Corviknight,9,held_item,8,Mental Herb,0.2%,,,,,,,,
Corviknight,9,held_item,9,Light Clay,0.1%,,,,,,,,
Corviknight,9,held_item,10,Shell Bell,0.1%,,,,,,,,
Corviknight,9,teammate,1,Garchomp,,,,,,,,,
Corviknight,9,teammate,2,Dragalge,,,,,,,,,
Corviknight,9,teammate,3,Raichu,,,,,,,,,
Corviknight,9,teammate,4,Meowscarada,,,,,,,,,
Corviknight,9,teammate,5,Mimikyu,,,,,,,,,
Corviknight,9,teammate,6,Grimmsnarl,,,,,,,,,
Corviknight,9,teammate,7,Charizard,,,,,,,,,
Corviknight,9,teammate,8,Primarina,,,,,,,,,
Corviknight,9,teammate,9,Metagross,,,,,,,,,
Corviknight,9,teammate,10,Archaludon,,,,,,,,,
Corviknight,9,stat_alignment,1,Impish,64.8%,Defense,Sp. Atk,,,,,,
Corviknight,9,stat_alignment,2,Relaxed,23.5%,Defense,Speed,,,,,,
Corviknight,9,stat_alignment,3,Careful,6.2%,Sp. Def,Sp. Atk,,,,,,
Corviknight,9,stat_alignment,4,Sassy,1.7%,Sp. Def,Speed,,,,,,
Corviknight,9,stat_alignment,5,Bold,1.3%,Defense,Attack,,,,,,
Corviknight,9,stat_alignment,6,Adamant,1.2%,Attack,Sp. Atk,,,,,,
Corviknight,9,stat_alignment,7,Jolly,0.3%,Speed,Sp. Atk,,,,,,
Corviknight,9,stat_alignment,8,Brave,0.3%,Attack,Speed,,,,,,
Corviknight,9,stat_alignment,9,Naughty,0.2%,Attack,Sp. Def,,,,,,
Corviknight,9,stat_alignment,10,Calm,0.1%,Sp. Def,Attack,,,,,,
Corviknight,9,stat_points,1,,53.5%,,,32,0,32,0,2,0
Corviknight,9,stat_points,2,,10.3%,,,32,0,32,0,0,2
Corviknight,9,stat_points,3,,3.1%,,,32,0,2,0,32,0
Corviknight,9,stat_points,4,,3.0%,,,32,0,18,0,16,0
Corviknight,9,stat_points,5,,2.8%,,,32,2,32,0,0,0
Corviknight,9,stat_points,6,,2.0%,,,32,0,25,0,9,0
Corviknight,9,stat_points,7,,1.8%,,,32,0,32,0,0,0
Corviknight,9,stat_points,8,,1.6%,,,32,0,26,0,8,0
Corviknight,9,stat_points,9,,1.4%,,,32,0,32,0,1,1
Corviknight,9,stat_points,10,,0.7%,,,32,0,32,0,1,0
Corviknight,9,stat_points,11,,0.7%,,,2,0,32,0,32,0
Corviknight,9,stat_points,12,,0.7%,,,32,0,15,0,19,0
Corviknight,9,ability,1,Pressure,59.8%,,,,,,,,
Corviknight,9,ability,2,Mirror Armor,38.3%,,,,,,,,
Corviknight,9,ability,3,Unnerve,1.9%,,,,,,,,
