pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Crabominable,140,move,1,Ice Hammer,88.0%,,,,,,,,
Crabominable,140,move,2,Mach Punch,85.1%,,,,,,,,
Crabominable,140,move,3,Drain Punch,79.2%,,,,,,,,
Crabominable,140,move,4,Thunder Punch,69.4%,,,,,,,,
Crabominable,140,move,5,Earthquake,17.3%,,,,,,,,
Crabominable,140,move,6,Close Combat,16.7%,,,,,,,,
Crabominable,140,move,7,Ice Punch,8.9%,,,,,,,,
Crabominable,140,move,8,Knock Off,8.3%,,,,,,,,
Crabominable,140,move,9,Crabhammer,7.7%,,,,,,,,
Crabominable,140,move,10,Bulk Up,6.4%,,,,,,,,
Crabominable,140,held_item,1,Crabominite,91.9%,,,,,,,,
Crabominable,140,held_item,2,Focus Sash,3.6%,,,,,,,,
Crabominable,140,held_item,3,Life Orb,1.1%,,,,,,,,
Crabominable,140,held_item,4,Expert Belt,1.0%,,,,,,,,
Crabominable,140,held_item,5,Muscle Band,0.6%,,,,,,,,
Crabominable,140,held_item,6,Sitrus Berry,0.3%,,,,,,,,
Crabominable,140,held_item,7,Leftovers,0.2%,,,,,,,,
Crabominable,140,held_item,8,Focus Band,0.1%,,,,,,,,
Crabominable,140,held_item,9,Quick Claw,0.1%,,,,,,,,
Crabominable,140,held_item,10,Shell Bell,0.1%,,,,,,,,
Crabominable,140,teammate,1,Hatterene,,,,,,,,,
Crabominable,140,teammate,2,Mimikyu,,,,,,,,,
Crabominable,140,teammate,3,Garchomp,,,,,,,,,
Crabominable,140,teammate,4,Basculegion Male,,,,,,,,,
Crabominable,140,teammate,5,Kingambit,,,,,,,,,
Crabominable,140,teammate,6,Archaludon,,,,,,,,,
Crabominable,140,teammate,7,Meowscarada,,,,,,,,,
Crabominable,140,teammate,8,Galarian Slowking,,,,,,,,,
Crabominable,140,teammate,9,Raichu,,,,,,,,,
Crabominable,140,teammate,10,Alolan Ninetales,,,,,,,,,
Crabominable,140,stat_alignment,1,Brave,63.5%,Attack,Speed,,,,,,
Crabominable,140,stat_alignment,2,Adamant,33.5%,Attack,Sp. Atk,,,,,,
Crabominable,140,stat_alignment,3,Impish,0.7%,Defense,Sp. Atk,,,,,,
Crabominable,140,stat_alignment,4,Naughty,0.6%,Attack,Sp. Def,,,,,,
Crabominable,140,stat_alignment,5,Lonely,0.5%,Attack,Defense,,,,,,
Crabominable,140,stat_alignment,6,Relaxed,0.5%,Defense,Speed,,,,,,
Crabominable,140,stat_alignment,7,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,
Crabominable,140,stat_alignment,8,Jolly,0.2%,Speed,Sp. Atk,,,,,,
Crabominable,140,stat_alignment,9,Sassy,0.1%,Sp. Def,Speed,,,,,,
Crabominable,140,stat_alignment,10,Serious,0.1%,,,,,,,,
Crabominable,140,stat_points,1,,36.2%,,,32,32,2,0,0,0
Crabominable,140,stat_points,2,,18.7%,,,32,32,0,0,2,0
Crabominable,140,stat_points,3,,4.4%,,,32,32,1,0,1,0
Crabominable,140,stat_points,4,,4.2%,,,31,32,3,0,0,0
Crabominable,140,stat_points,5,,3.0%,,,2,32,32,0,0,0
Crabominable,140,stat_points,6,,2.6%,,,0,32,2,0,32,0
Crabominable,140,stat_points,7,,2.4%,,,31,32,2,0,1,0
Crabominable,140,stat_points,8,,2.1%,,,31,32,0,0,3,0
Crabominable,140,stat_points,9,,1.9%,,,32,32,0,0,0,0
Crabominable,140,stat_points,10,,1.8%,,,32,32,0,0,0,2
Crabominable,140,stat_points,11,,1.6%,,,31,32,1,0,2,0
Crabominable,140,stat_points,12,,1.0%,,,0,32,32,0,2,0
Crabominable,140,ability,1,Hyper Cutter,52.2%,,,,,,,,
Crabominable,140,ability,2,Iron Fist,40.4%,,,,,,,,
Crabominable,140,ability,3,Anger Point,7.4%,,,,,,,,
