pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Dedenne,210,move,1,Nuzzle,68.5%,,,,,,,,
Dedenne,210,move,2,Super Fang,62.7%,,,,,,,,
Dedenne,210,move,3,Dazzling Gleam,43.5%,,,,,,,,
Dedenne,210,move,4,Charm,32.9%,,,,,,,,
Dedenne,210,move,5,Grass Knot,31.8%,,,,,,,,
Dedenne,210,move,6,Volt Switch,25.8%,,,,,,,,
Dedenne,210,move,7,Thunderbolt,22.7%,,,,,,,,
Dedenne,210,move,8,Eerie Impulse,18.5%,,,,,,,,
Dedenne,210,move,9,Sunny Day,16.9%,,,,,,,,
Dedenne,210,move,10,Endeavor,15.4%,,,,,,,,
Dedenne,210,held_item,1,Sitrus Berry,55.3%,,,,,,,,
Dedenne,210,held_item,2,Focus Sash,21.3%,,,,,,,,
Dedenne,210,held_item,3,Shuca Berry,7.0%,,,,,,,,
Dedenne,210,held_item,4,Lum Berry,4.9%,,,,,,,,
Dedenne,210,held_item,5,Wise Glasses,2.1%,,,,,,,,
Dedenne,210,held_item,6,Choice Scarf,1.7%,,,,,,,,
Dedenne,210,held_item,7,Expert Belt,0.8%,,,,,,,,
Dedenne,210,held_item,8,Quick Claw,0.6%,,,,,,,,
Dedenne,210,held_item,9,Life Orb,0.6%,,,,,,,,
Dedenne,210,held_item,10,Bright Powder,0.6%,,,,,,,,
Dedenne,210,teammate,1,Meowscarada,,,,,,,,,
Dedenne,210,teammate,2,Garchomp,,,,,,,,,
Dedenne,210,teammate,3,Mimikyu,,,,,,,,,
Dedenne,210,teammate,4,Dragonite,,,,,,,,,
Dedenne,210,teammate,5,Staraptor,,,,,,,,,
Dedenne,210,teammate,6,Metagross,,,,,,,,,
Dedenne,210,teammate,7,Raichu,,,,,,,,,
Dedenne,210,teammate,8,Basculegion Male,,,,,,,,,
Dedenne,210,teammate,9,Corviknight,,,,,,,,,
Dedenne,210,teammate,10,Blaziken,,,,,,,,,
Dedenne,210,stat_alignment,1,Timid,42.3%,Speed,Attack,,,,,,
Dedenne,210,stat_alignment,2,Modest,19.0%,Sp. Atk,Attack,,,,,,
Dedenne,210,stat_alignment,3,Bold,16.1%,Defense,Attack,,,,,,
Dedenne,210,stat_alignment,4,Calm,6.9%,Sp. Def,Attack,,,,,,
Dedenne,210,stat_alignment,5,Jolly,6.4%,Speed,Sp. Atk,,,,,,
Dedenne,210,stat_alignment,6,Impish,5.2%,Defense,Sp. Atk,,,,,,
Dedenne,210,stat_alignment,7,Hasty,1.2%,Speed,Defense,,,,,,
Dedenne,210,stat_alignment,8,Careful,0.9%,Sp. Def,Sp. Atk,,,,,,
Dedenne,210,stat_alignment,9,Quiet,0.6%,Sp. Atk,Speed,,,,,,
Dedenne,210,stat_alignment,10,Quirky,0.3%,,,,,,,,
Dedenne,210,stat_points,1,,17.4%,,,2,0,0,32,0,32
Dedenne,210,stat_points,2,,9.8%,,,32,0,32,0,2,0
Dedenne,210,stat_points,3,,5.1%,,,32,0,2,0,0,32
Dedenne,210,stat_points,4,,4.7%,,,0,0,0,32,2,32
Dedenne,210,stat_points,5,,4.3%,,,32,0,32,0,0,2
Dedenne,210,stat_points,6,,4.2%,,,32,0,0,2,0,32
Dedenne,210,stat_points,7,,4.2%,,,0,0,2,32,0,32
Dedenne,210,stat_points,8,,3.2%,,,32,0,0,0,2,32
Dedenne,210,stat_points,9,,3.1%,,,32,0,0,32,0,2
Dedenne,210,stat_points,10,,2.5%,,,2,0,32,0,0,32
Dedenne,210,stat_points,11,,2.3%,,,1,0,1,32,0,32
Dedenne,210,stat_points,12,,2.0%,,,4,0,0,32,0,30
Dedenne,210,ability,1,Cheek Pouch,77.8%,,,,,,,,
Dedenne,210,ability,2,Pickup,20.5%,,,,,,,,
Dedenne,210,ability,3,Plus,1.7%,,,,,,,,
