pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Delphox,25,move,1,Flamethrower,79.0%,,,,,,,,
Delphox,25,move,2,Nasty Plot,54.4%,,,,,,,,
Delphox,25,move,3,Psychic,50.0%,,,,,,,,
Delphox,25,move,4,Psyshock,46.7%,,,,,,,,
Delphox,25,move,5,Dazzling Gleam,30.5%,,,,,,,,
Delphox,25,move,6,Encore,30.2%,,,,,,,,
Delphox,25,move,7,Substitute,25.8%,,,,,,,,
Delphox,25,move,8,Grass Knot,20.8%,,,,,,,,
Delphox,25,move,9,Mystical Fire,16.3%,,,,,,,,
Delphox,25,move,10,Will-O-Wisp,11.8%,,,,,,,,
Delphox,25,held_item,1,Delphoxite,98.6%,,,,,,,,
Delphox,25,held_item,2,Focus Sash,0.3%,,,,,,,,
Delphox,25,held_item,3,Choice Scarf,0.2%,,,,,,,,
Delphox,25,held_item,4,Life Orb,0.1%,,,,,,,,
Delphox,25,held_item,5,Sitrus Berry,0.1%,,,,,,,,
Delphox,25,held_item,6,White Herb,0.0%,,,,,,,,
Delphox,25,held_item,7,Charcoal,0.0%,,,,,,,,
Delphox,25,held_item,8,Light Clay,0.0%,,,,,,,,
Delphox,25,held_item,9,Quick Claw,0.0%,,,,,,,,
Delphox,25,held_item,10,Wise Glasses,0.0%,,,,,,,,
Delphox,25,teammate,1,Garchomp,,,,,,,,,
Delphox,25,teammate,2,Meowscarada,,,,,,,,,
Delphox,25,teammate,3,Mimikyu,,,,,,,,,
Delphox,25,teammate,4,Alolan Ninetales,,,,,,,,,
Delphox,25,teammate,5,Archaludon,,,,,,,,,
Delphox,25,teammate,6,Corviknight,,,,,,,,,
Delphox,25,teammate,7,Hippowdon,,,,,,,,,
Delphox,25,teammate,8,Metagross,,,,,,,,,
Delphox,25,teammate,9,Primarina,,,,,,,,,
Delphox,25,teammate,10,Glimmora,,,,,,,,,
Delphox,25,stat_alignment,1,Timid,88.5%,Speed,Attack,,,,,,
Delphox,25,stat_alignment,2,Modest,9.9%,Sp. Atk,Attack,,,,,,
Delphox,25,stat_alignment,3,Bold,0.6%,Defense,Attack,,,,,,
Delphox,25,stat_alignment,4,Mild,0.2%,Sp. Atk,Defense,,,,,,
Delphox,25,stat_alignment,5,Hasty,0.2%,Speed,Defense,,,,,,
Delphox,25,stat_alignment,6,Calm,0.2%,Sp. Def,Attack,,,,,,
Delphox,25,stat_alignment,7,Jolly,0.1%,Speed,Sp. Atk,,,,,,
Delphox,25,stat_alignment,8,Quiet,0.1%,Sp. Atk,Speed,,,,,,
Delphox,25,stat_alignment,9,Relaxed,0.0%,Defense,Speed,,,,,,
Delphox,25,stat_alignment,10,Sassy,0.0%,Sp. Def,Speed,,,,,,
Delphox,25,stat_points,1,,26.6%,,,2,0,0,32,0,32
Delphox,25,stat_points,2,,12.5%,,,1,0,1,32,0,32
Delphox,25,stat_points,3,,5.2%,,,5,0,0,32,0,29
Delphox,25,stat_points,4,,3.9%,,,1,0,0,32,1,32
Delphox,25,stat_points,5,,3.6%,,,0,0,2,32,0,32
Delphox,25,stat_points,6,,3.1%,,,0,0,0,32,2,32
Delphox,25,stat_points,7,,2.1%,,,1,0,8,28,0,29
Delphox,25,stat_points,8,,2.0%,,,1,0,3,32,1,29
Delphox,25,stat_points,9,,2.0%,,,1,0,4,32,0,29
Delphox,25,stat_points,10,,1.9%,,,1,0,3,32,0,30
Delphox,25,stat_points,11,,1.6%,,,3,0,0,31,0,32
Delphox,25,stat_points,12,,1.4%,,,9,0,1,27,0,29
Delphox,25,ability,1,Blaze,89.8%,,,,,,,,
Delphox,25,ability,2,Magician,10.2%,,,,,,,,
