pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Diggersby,82,move,1,Earthquake,99.7%,,,,,,,,
Diggersby,82,move,2,Ice Punch,77.9%,,,,,,,,
Diggersby,82,move,3,Quick Attack,74.6%,,,,,,,,
Diggersby,82,move,4,Thunder Punch,46.9%,,,,,,,,
Diggersby,82,move,5,U-turn,13.9%,,,,,,,,
Diggersby,82,move,6,Rock Tomb,12.0%,,,,,,,,
Diggersby,82,move,7,Wild Charge,9.2%,,,,,,,,
Diggersby,82,move,8,Rock Slide,7.6%,,,,,,,,
Diggersby,82,move,9,Fire Punch,6.8%,,,,,,,,
Diggersby,82,move,10,Swords Dance,5.9%,,,,,,,,
Diggersby,82,held_item,1,Focus Sash,67.8%,,,,,,,,
Diggersby,82,held_item,2,Choice Scarf,22.9%,,,,,,,,
Diggersby,82,held_item,3,Life Orb,4.1%,,,,,,,,
Diggersby,82,held_item,4,Sitrus Berry,1.5%,,,,,,,,
Diggersby,82,held_item,5,Lum Berry,1.1%,,,,,,,,
Diggersby,82,held_item,6,Chople Berry,0.6%,,,,,,,,
Diggersby,82,held_item,7,Muscle Band,0.4%,,,,,,,,
Diggersby,82,held_item,8,Expert Belt,0.4%,,,,,,,,
Diggersby,82,held_item,9,Quick Claw,0.4%,,,,,,,,
Diggersby,82,held_item,10,Soft Sand,0.1%,,,,,,,,
Diggersby,82,teammate,1,Mimikyu,,,,,,,,,
Diggersby,82,teammate,2,Archaludon,,,,,,,,,
Diggersby,82,teammate,3,Raichu,,,,,,,,,
Diggersby,82,teammate,4,Staraptor,,,,,,,,,
Diggersby,82,teammate,5,Gyarados,,,,,,,,,
Diggersby,82,teammate,6,Metagross,,,,,,,,,
Diggersby,82,teammate,7,Meowscarada,,,,,,,,,
Diggersby,82,teammate,8,Mawile,,,,,,,,,
Diggersby,82,teammate,9,Charizard,,,,,,,,,
Diggersby,82,teammate,10,Primarina,,,,,,,,,
Diggersby,82,stat_alignment,1,Adamant,70.6%,Attack,Sp. Atk,,,,,,
Diggersby,82,stat_alignment,2,Jolly,26.6%,Speed,Sp. Atk,,,,,,
Diggersby,82,stat_alignment,3,Brave,0.8%,Attack,Speed,,,,,,
Diggersby,82,stat_alignment,4,Lonely,0.4%,Attack,Defense,,,,,,
Diggersby,82,stat_alignment,5,Careful,0.4%,Sp. Def,Sp. Atk,,,,,,
Diggersby,82,stat_alignment,6,Naughty,0.3%,Attack,Sp. Def,,,,,,
Diggersby,82,stat_alignment,7,Impish,0.2%,Defense,Sp. Atk,,,,,,
Diggersby,82,stat_alignment,8,Naive,0.2%,Speed,Sp. Def,,,,,,
Diggersby,82,stat_alignment,9,Hasty,0.2%,Speed,Defense,,,,,,
Diggersby,82,stat_alignment,10,Serious,0.0%,,,,,,,,
Diggersby,82,stat_points,1,,33.1%,,,1,32,1,0,0,32
Diggersby,82,stat_points,2,,32.2%,,,2,32,0,0,0,32
Diggersby,82,stat_points,3,,7.2%,,,0,32,2,0,0,32
Diggersby,82,stat_points,4,,6.1%,,,1,32,0,0,1,32
Diggersby,82,stat_points,5,,2.7%,,,0,32,0,0,2,32
Diggersby,82,stat_points,6,,2.2%,,,0,32,0,0,0,32
Diggersby,82,stat_points,7,,2.1%,,,32,32,0,0,0,2
Diggersby,82,stat_points,8,,1.6%,,,0,32,1,0,1,32
Diggersby,82,stat_points,9,,1.3%,,,32,32,2,0,0,0
Diggersby,82,stat_points,10,,1.1%,,,1,32,0,0,0,32
Diggersby,82,stat_points,11,,1.0%,,,32,32,0,0,2,0
Diggersby,82,stat_points,12,,0.5%,,,32,32,1,0,1,0
Diggersby,82,ability,1,Huge Power,99.5%,,,,,,,,
Diggersby,82,ability,2,Cheek Pouch,0.3%,,,,,,,,
Diggersby,82,ability,3,Pickup,0.2%,,,,,,,,
