pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Ditto,63,held_item,1,Choice Scarf,79.7%,,,,,,,,
Ditto,63,held_item,2,Focus Sash,8.5%,,,,,,,,
Ditto,63,held_item,3,Quick Claw,6.6%,,,,,,,,
Ditto,63,held_item,4,Sitrus Berry,1.5%,,,,,,,,
Ditto,63,held_item,5,Life Orb,1.0%,,,,,,,,
Ditto,63,held_item,6,Leftovers,0.8%,,,,,,,,
Ditto,63,held_item,7,Bright Powder,0.5%,,,,,,,,
Ditto,63,held_item,8,Kangaskhanite,0.2%,,,,,,,,
Ditto,63,held_item,9,Lum Berry,0.2%,,,,,,,,
Ditto,63,held_item,10,White Herb,0.2%,,,,,,,,
Ditto,63,teammate,1,Garchomp,,,,,,,,,
Ditto,63,teammate,2,Raichu,,,,,,,,,
Ditto,63,teammate,3,Staraptor,,,,,,,,,
Ditto,63,teammate,4,Mimikyu,,,,,,,,,
Ditto,63,teammate,5,Archaludon,,,,,,,,,
Ditto,63,teammate,6,Charizard,,,,,,,,,
Ditto,63,teammate,7,Corviknight,,,,,,,,,
Ditto,63,teammate,8,Dragonite,,,,,,,,,
Ditto,63,teammate,9,Metagross,,,,,,,,,
Ditto,63,teammate,10,Meowscarada,,,,,,,,,
Ditto,63,stat_alignment,1,Relaxed,23.5%,Defense,Speed,,,,,,
Ditto,63,stat_alignment,2,Sassy,8.8%,Sp. Def,Speed,,,,,,
Ditto,63,stat_alignment,3,Naive,7.5%,Speed,Sp. Def,,,,,,
Ditto,63,stat_alignment,4,Timid,6.8%,Speed,Attack,,,,,,
Ditto,63,stat_alignment,5,Serious,6.2%,,,,,,,,
Ditto,63,stat_alignment,6,Jolly,5.7%,Speed,Sp. Atk,,,,,,
Ditto,63,stat_alignment,7,Brave,5.4%,Attack,Speed,,,,,,
Ditto,63,stat_alignment,8,Quiet,4.0%,Sp. Atk,Speed,,,,,,
Ditto,63,stat_alignment,9,Hasty,3.6%,Speed,Defense,,,,,,
Ditto,63,stat_alignment,10,Bold,2.8%,Defense,Attack,,,,,,
Ditto,63,stat_points,1,,16.6%,,,32,0,0,0,0,0
Ditto,63,stat_points,2,,10.0%,,,32,0,32,0,2,0
Ditto,63,stat_points,3,,8.9%,,,32,2,32,0,0,0
Ditto,63,stat_points,4,,5.4%,,,32,0,2,0,0,32
Ditto,63,stat_points,5,,4.4%,,,32,0,2,0,32,0
Ditto,63,stat_points,6,,4.1%,,,32,2,0,0,0,32
Ditto,63,stat_points,7,,3.9%,,,32,0,0,0,0,32
Ditto,63,stat_points,8,,2.7%,,,32,0,32,2,0,0
Ditto,63,stat_points,9,,2.5%,,,32,0,0,0,2,32
Ditto,63,stat_points,10,,2.5%,,,32,32,2,0,0,0
Ditto,63,stat_points,11,,2.2%,,,32,0,0,2,32,0
Ditto,63,stat_points,12,,2.1%,,,32,0,0,32,2,0
Ditto,63,ability,1,Imposter,98.9%,,,,,,,,
Ditto,63,ability,2,Limber,1.1%,,,,,,,,
