pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Dragapult,38,move,1,Dragon Darts,64.7%,,,,,,,,
Dragapult,38,move,2,U-turn,44.8%,,,,,,,,
Dragapult,38,move,3,Phantom Force,38.9%,,,,,,,,
Dragapult,38,move,4,Sucker Punch,34.0%,,,,,,,,
Dragapult,38,move,5,Shadow Ball,30.8%,,,,,,,,
Dragapult,38,move,6,Draco Meteor,27.9%,,,,,,,,
Dragapult,38,move,7,Will-O-Wisp,27.2%,,,,,,,,
Dragapult,38,move,8,Thunderbolt,17.7%,,,,,,,,
Dragapult,38,move,9,Flamethrower,17.5%,,,,,,,,
Dragapult,38,move,10,Dragon Dance,15.9%,,,,,,,,
Dragapult,38,held_item,1,Life Orb,41.8%,,,,,,,,
Dragapult,38,held_item,2,Focus Sash,20.3%,,,,,,,,
Dragapult,38,held_item,3,Choice Scarf,15.7%,,,,,,,,
Dragapult,38,held_item,4,Light Clay,8.0%,,,,,,,,
Dragapult,38,held_item,5,Dragon Fang,2.5%,,,,,,,,
Dragapult,38,held_item,6,Leftovers,1.8%,,,,,,,,
Dragapult,38,held_item,7,Sitrus Berry,1.6%,,,,,,,,
Dragapult,38,held_item,8,Lum Berry,1.5%,,,,,,,,
Dragapult,38,held_item,9,White Herb,1.1%,,,,,,,,
Dragapult,38,held_item,10,Expert Belt,1.0%,,,,,,,,
Dragapult,38,teammate,1,Garchomp,,,,,,,,,
Dragapult,38,teammate,2,Meowscarada,,,,,,,,,
Dragapult,38,teammate,3,Raichu,,,,,,,,,
Dragapult,38,teammate,4,Metagross,,,,,,,,,
Dragapult,38,teammate,5,Charizard,,,,,,,,,
Dragapult,38,teammate,6,Archaludon,,,,,,,,,
Dragapult,38,teammate,7,Corviknight,,,,,,,,,
Dragapult,38,teammate,8,Staraptor,,,,,,,,,
Dragapult,38,teammate,9,Blaziken,,,,,,,,,
Dragapult,38,teammate,10,Mimikyu,,,,,,,,,
Dragapult,38,stat_alignment,1,Jolly,29.2%,Speed,Sp. Atk,,,,,,
Dragapult,38,stat_alignment,2,Adamant,19.4%,Attack,Sp. Atk,,,,,,
Dragapult,38,stat_alignment,3,Timid,19.2%,Speed,Attack,,,,,,
Dragapult,38,stat_alignment,4,Naive,11.4%,Speed,Sp. Def,,,,,,
Dragapult,38,stat_alignment,5,Modest,10.7%,Sp. Atk,Attack,,,,,,
Dragapult,38,stat_alignment,6,Hasty,2.8%,Speed,Defense,,,,,,
Dragapult,38,stat_alignment,7,Naughty,2.6%,Attack,Sp. Def,,,,,,
Dragapult,38,stat_alignment,8,Rash,1.5%,Sp. Atk,Sp. Def,,,,,,
Dragapult,38,stat_alignment,9,Lonely,1.2%,Attack,Defense,,,,,,
Dragapult,38,stat_alignment,10,Mild,0.6%,Sp. Atk,Defense,,,,,,
Dragapult,38,stat_points,1,,31.2%,,,2,32,0,0,0,32
Dragapult,38,stat_points,2,,16.0%,,,2,0,0,32,0,32
Dragapult,38,stat_points,3,,9.4%,,,0,32,2,0,0,32
Dragapult,38,stat_points,4,,3.5%,,,0,32,0,0,2,32
Dragapult,38,stat_points,5,,2.7%,,,0,0,2,32,0,32
Dragapult,38,stat_points,6,,2.4%,,,0,2,0,32,0,32
Dragapult,38,stat_points,7,,2.2%,,,0,32,0,0,0,32
Dragapult,38,stat_points,8,,2.2%,,,0,32,0,2,0,32
Dragapult,38,stat_points,9,,1.3%,,,0,15,0,25,0,26
Dragapult,38,stat_points,10,,1.3%,,,32,0,2,0,0,32
Dragapult,38,stat_points,11,,1.2%,,,0,0,0,32,2,32
Dragapult,38,stat_points,12,,1.0%,,,0,32,1,0,1,32
Dragapult,38,ability,1,Infiltrator,69.8%,,,,,,,,
Dragapult,38,ability,2,Clear Body,18.8%,,,,,,,,
Dragapult,38,ability,3,Cursed Body,11.4%,,,,,,,,
