pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Drampa,156,move,1,Draco Meteor,62.8%,,,,,,,,
Drampa,156,move,2,Flamethrower,60.5%,,,,,,,,
Drampa,156,move,3,Thunderbolt,55.9%,,,,,,,,
Drampa,156,move,4,Hyper Voice,49.4%,,,,,,,,
Drampa,156,move,5,Energy Ball,29.5%,,,,,,,,
Drampa,156,move,6,Earth Power,22.7%,,,,,,,,
Drampa,156,move,7,Ice Beam,22.1%,,,,,,,,
Drampa,156,move,8,Roost,17.3%,,,,,,,,
Drampa,156,move,9,Dragon Pulse,16.8%,,,,,,,,
Drampa,156,move,10,Surf,12.0%,,,,,,,,
Drampa,156,held_item,1,Drampanite,58.6%,,,,,,,,
Drampa,156,held_item,2,Quick Claw,8.2%,,,,,,,,
Drampa,156,held_item,3,Sitrus Berry,7.6%,,,,,,,,
Drampa,156,held_item,4,Focus Sash,5.0%,,,,,,,,
Drampa,156,held_item,5,Life Orb,3.8%,,,,,,,,
Drampa,156,held_item,6,White Herb,3.1%,,,,,,,,
Drampa,156,held_item,7,Leftovers,2.6%,,,,,,,,
Drampa,156,held_item,8,Expert Belt,2.0%,,,,,,,,
Drampa,156,held_item,9,Haban Berry,1.9%,,,,,,,,
Drampa,156,held_item,10,Wise Glasses,1.6%,,,,,,,,
Drampa,156,teammate,1,Mawile,,,,,,,,,
Drampa,156,teammate,2,Garchomp,,,,,,,,,
Drampa,156,teammate,3,Mimikyu,,,,,,,,,
Drampa,156,teammate,4,Hatterene,,,,,,,,,
Drampa,156,teammate,5,Charizard,,,,,,,,,
Drampa,156,teammate,6,Staraptor,,,,,,,,,
Drampa,156,teammate,7,Gengar,,,,,,,,,
Drampa,156,teammate,8,Azumarill,,,,,,,,,
Drampa,156,teammate,9,Raichu,,,,,,,,,
Drampa,156,teammate,10,Basculegion Male,,,,,,,,,
Drampa,156,stat_alignment,1,Modest,54.7%,Sp. Atk,Attack,,,,,,
Drampa,156,stat_alignment,2,Quiet,36.5%,Sp. Atk,Speed,,,,,,
Drampa,156,stat_alignment,3,Bold,4.1%,Defense,Attack,,,,,,
Drampa,156,stat_alignment,4,Calm,2.5%,Sp. Def,Attack,,,,,,
Drampa,156,stat_alignment,5,Timid,0.9%,Speed,Attack,,,,,,
Drampa,156,stat_alignment,6,Relaxed,0.6%,Defense,Speed,,,,,,
Drampa,156,stat_alignment,7,Sassy,0.3%,Sp. Def,Speed,,,,,,
Drampa,156,stat_alignment,8,Jolly,0.1%,Speed,Sp. Atk,,,,,,
Drampa,156,stat_alignment,9,Mild,0.1%,Sp. Atk,Defense,,,,,,
Drampa,156,stat_alignment,10,Serious,0.0%,,,,,,,,
Drampa,156,stat_points,1,,27.2%,,,32,0,2,32,0,0
Drampa,156,stat_points,2,,26.1%,,,32,0,0,32,0,2
Drampa,156,stat_points,3,,9.2%,,,32,0,0,32,2,0
Drampa,156,stat_points,4,,8.3%,,,31,0,3,32,0,0
Drampa,156,stat_points,5,,2.2%,,,32,0,1,32,1,0
Drampa,156,stat_points,6,,1.6%,,,32,0,32,0,2,0
Drampa,156,stat_points,7,,1.4%,,,32,0,32,2,0,0
Drampa,156,stat_points,8,,1.2%,,,32,0,0,32,0,0
Drampa,156,stat_points,9,,0.9%,,,32,0,0,2,32,0
Drampa,156,stat_points,10,,0.8%,,,2,0,0,32,0,32
Drampa,156,stat_points,11,,0.7%,,,32,0,32,0,0,2
Drampa,156,stat_points,12,,0.7%,,,28,0,6,32,0,0
Drampa,156,ability,1,Berserk,72.5%,,,,,,,,
Drampa,156,ability,2,Cloud Nine,19.6%,,,,,,,,
Drampa,156,ability,3,Sap Sipper,7.9%,,,,,,,,
