pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Eelektross,66,move,1,Supercell Slam,56.4%,,,,,,,,
Eelektross,66,move,2,Drain Punch,54.1%,,,,,,,,
Eelektross,66,move,3,Coil,50.5%,,,,,,,,
Eelektross,66,move,4,Thunderbolt,34.5%,,,,,,,,
Eelektross,66,move,5,Flamethrower,30.7%,,,,,,,,
Eelektross,66,move,6,Giga Drain,25.7%,,,,,,,,
Eelektross,66,move,7,Dragon Pulse,24.4%,,,,,,,,
Eelektross,66,move,8,Grass Knot,18.0%,,,,,,,,
Eelektross,66,move,9,Outrage,16.1%,,,,,,,,
Eelektross,66,move,10,Liquidation,15.2%,,,,,,,,
Eelektross,66,held_item,1,Eelektrossite,94.7%,,,,,,,,
Eelektross,66,held_item,2,Sitrus Berry,1.7%,,,,,,,,
Eelektross,66,held_item,3,Leftovers,0.7%,,,,,,,,
Eelektross,66,held_item,4,Expert Belt,0.6%,,,,,,,,
Eelektross,66,held_item,5,Quick Claw,0.5%,,,,,,,,
Eelektross,66,held_item,6,Life Orb,0.4%,,,,,,,,
Eelektross,66,held_item,7,Focus Sash,0.2%,,,,,,,,
Eelektross,66,held_item,8,Big Root,0.1%,,,,,,,,
Eelektross,66,held_item,9,Wise Glasses,0.1%,,,,,,,,
Eelektross,66,held_item,10,Lum Berry,0.1%,,,,,,,,
Eelektross,66,teammate,1,Garchomp,,,,,,,,,
Eelektross,66,teammate,2,Mimikyu,,,,,,,,,
Eelektross,66,teammate,3,Staraptor,,,,,,,,,
Eelektross,66,teammate,4,Gholdengo,,,,,,,,,
Eelektross,66,teammate,6,Metagross,,,,,,,,,
Eelektross,66,teammate,7,Glimmora,,,,,,,,,
Eelektross,66,teammate,8,Meowscarada,,,,,,,,,
Eelektross,66,teammate,9,Archaludon,,,,,,,,,
Eelektross,66,teammate,10,Blaziken,,,,,,,,,
Eelektross,66,stat_alignment,1,Adamant,29.3%,Attack,Sp. Atk,,,,,,
Eelektross,66,stat_alignment,2,Modest,24.4%,Sp. Atk,Attack,,,,,,
Eelektross,66,stat_alignment,3,Impish,15.1%,Defense,Sp. Atk,,,,,,
Eelektross,66,stat_alignment,4,Timid,7.9%,Speed,Attack,,,,,,
Eelektross,66,stat_alignment,5,Jolly,7.1%,Speed,Sp. Atk,,,,,,
Eelektross,66,stat_alignment,6,Brave,4.0%,Attack,Speed,,,,,,
Eelektross,66,stat_alignment,7,Quiet,3.3%,Sp. Atk,Speed,,,,,,
Eelektross,66,stat_alignment,8,Careful,2.0%,Sp. Def,Sp. Atk,,,,,,
Eelektross,66,stat_alignment,9,Relaxed,1.4%,Defense,Speed,,,,,,
Eelektross,66,stat_alignment,10,Bold,1.4%,Defense,Attack,,,,,,
Eelektross,66,stat_points,1,,14.8%,,,31,7,28,0,0,0
Eelektross,66,stat_points,2,,8.7%,,,32,32,0,0,0,2
Eelektross,66,stat_points,3,,6.4%,,,2,0,0,32,0,32
Eelektross,66,stat_points,4,,3.7%,,,2,32,0,0,0,32
Eelektross,66,stat_points,5,,3.3%,,,32,32,2,0,0,0
Eelektross,66,stat_points,6,,3.2%,,,32,0,0,32,0,2
Eelektross,66,stat_points,7,,3.0%,,,1,0,1,32,0,32
Eelektross,66,stat_points,8,,2.6%,,,1,32,1,0,0,32
Eelektross,66,stat_points,9,,2.2%,,,32,0,2,32,0,0
Eelektross,66,stat_points,10,,1.8%,,,32,0,0,32,2,0
Eelektross,66,stat_points,11,,1.6%,,,32,32,0,0,2,0
Eelektross,66,ability,1,Levitate,100.0%,,,,,,,,
