pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Emboar,178,move,1,Flare Blitz,88.0%,,,,,,,,
Emboar,178,move,2,Sucker Punch,58.6%,,,,,,,,
Emboar,178,move,3,Close Combat,42.1%,,,,,,,,
Emboar,178,move,4,Earthquake,32.4%,,,,,,,,
Emboar,178,move,5,Drain Punch,30.9%,,,,,,,,
Emboar,178,move,6,Wild Charge,29.2%,,,,,,,,
Emboar,178,move,7,Head Smash,26.7%,,,,,,,,
Emboar,178,move,8,Bulk Up,14.5%,,,,,,,,
Emboar,178,move,9,Storm Throw,12.3%,,,,,,,,
Emboar,178,move,10,Flame Charge,6.4%,,,,,,,,
Emboar,178,held_item,1,Emboarite,72.8%,,,,,,,,
Emboar,178,held_item,2,Life Orb,7.6%,,,,,,,,
Emboar,178,held_item,3,Choice Scarf,5.9%,,,,,,,,
Emboar,178,held_item,4,Quick Claw,3.7%,,,,,,,,
Emboar,178,held_item,5,Sitrus Berry,1.8%,,,,,,,,
Emboar,178,held_item,6,Expert Belt,1.7%,,,,,,,,
Emboar,178,held_item,7,Focus Sash,1.3%,,,,,,,,
Emboar,178,held_item,8,Leftovers,1.1%,,,,,,,,
Emboar,178,held_item,9,Charcoal,0.6%,,,,,,,,
Emboar,178,held_item,10,Passho Berry,0.5%,,,,,,,,
Emboar,178,teammate,1,Garchomp,,,,,,,,,
Emboar,178,teammate,2,Raichu,,,,,,,,,
Emboar,178,teammate,3,Meowscarada,,,,,,,,,
Emboar,178,teammate,4,Mimikyu,,,,,,,,,
Emboar,178,teammate,5,Basculegion Male,,,,,,,,,
Emboar,178,teammate,6,Vanilluxe,,,,,,,,,
Emboar,178,teammate,7,Archaludon,,,,,,,,,
Emboar,178,teammate,8,Hydreigon,,,,,,,,,
Emboar,178,teammate,9,Staraptor,,,,,,,,,
Emboar,178,teammate,10,Metagross,,,,,,,,,
Emboar,178,stat_alignment,1,Adamant,68.1%,Attack,Sp. Atk,,,,,,
Emboar,178,stat_alignment,2,Brave,10.4%,Attack,Speed,,,,,,
Emboar,178,stat_alignment,3,Jolly,9.1%,Speed,Sp. Atk,,,,,,
Emboar,178,stat_alignment,4,Naughty,3.1%,Attack,Sp. Def,,,,,,
Emboar,178,stat_alignment,5,Impish,2.6%,Defense,Sp. Atk,,,,,,
Emboar,178,stat_alignment,6,Careful,1.9%,Sp. Def,Sp. Atk,,,,,,
Emboar,178,stat_alignment,7,Lonely,1.2%,Attack,Defense,,,,,,
Emboar,178,stat_alignment,8,Serious,0.6%,,,,,,,,
Emboar,178,stat_alignment,9,Timid,0.5%,Speed,Attack,,,,,,
Emboar,178,stat_alignment,10,Relaxed,0.4%,Defense,Speed,,,,,,
Emboar,178,stat_points,1,,15.4%,,,32,32,0,0,0,2
Emboar,178,stat_points,2,,12.0%,,,2,32,0,0,0,32
Emboar,178,stat_points,3,,11.7%,,,32,32,2,0,0,0
Emboar,178,stat_points,4,,3.7%,,,32,32,0,0,2,0
Emboar,178,stat_points,5,,3.4%,,,32,32,1,0,1,0
Emboar,178,stat_points,6,,2.8%,,,2,32,32,0,0,0
Emboar,178,stat_points,7,,2.3%,,,0,32,2,0,0,32
Emboar,178,stat_points,8,,2.2%,,,0,32,32,0,0,2
Emboar,178,stat_points,9,,2.1%,,,10,26,17,0,0,13
Emboar,178,stat_points,10,,2.0%,,,2,32,0,0,32,0
Emboar,178,stat_points,11,,1.4%,,,6,32,15,0,0,13
Emboar,178,stat_points,12,,1.4%,,,0,32,17,0,17,0
Emboar,178,ability,1,Reckless,69.2%,,,,,,,,
Emboar,178,ability,2,Blaze,30.8%,,,,,,,,
