pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Emolga,188,move,1,Encore,65.6%,,,,,,,,
Emolga,188,move,2,Nuzzle,62.1%,,,,,,,,
Emolga,188,move,3,Air Slash,40.2%,,,,,,,,
Emolga,188,move,4,Volt Switch,36.2%,,,,,,,,
Emolga,188,move,5,Energy Ball,28.5%,,,,,,,,
Emolga,188,move,6,Taunt,20.3%,,,,,,,,
Emolga,188,move,7,Thunderbolt,17.6%,,,,,,,,
Emolga,188,move,8,Baton Pass,16.7%,,,,,,,,
Emolga,188,move,9,Charm,15.7%,,,,,,,,
Emolga,188,move,10,Roost,11.7%,,,,,,,,
Emolga,188,held_item,1,Focus Sash,47.7%,,,,,,,,
Emolga,188,held_item,2,Sitrus Berry,9.5%,,,,,,,,
Emolga,188,held_item,3,Leftovers,6.9%,,,,,,,,
Emolga,188,held_item,4,Bright Powder,6.5%,,,,,,,,
Emolga,188,held_item,5,Magnet,4.3%,,,,,,,,
Emolga,188,held_item,6,Life Orb,4.2%,,,,,,,,
Emolga,188,held_item,7,Choice Scarf,3.0%,,,,,,,,
Emolga,188,held_item,8,King's Rock,2.1%,,,,,,,,
Emolga,188,held_item,9,Light Ball,1.7%,,,,,,,,
Emolga,188,held_item,10,Light Clay,1.6%,,,,,,,,
Emolga,188,teammate,1,Mimikyu,,,,,,,,,
Emolga,188,teammate,2,Garchomp,,,,,,,,,
Emolga,188,teammate,3,Staraptor,,,,,,,,,
Emolga,188,teammate,4,Meowscarada,,,,,,,,,
Emolga,188,teammate,5,Mawile,,,,,,,,,
Emolga,188,teammate,6,Charizard,,,,,,,,,
Emolga,188,teammate,7,Blaziken,,,,,,,,,
Emolga,188,teammate,8,Archaludon,,,,,,,,,
Emolga,188,teammate,9,Raichu,,,,,,,,,
Emolga,188,teammate,10,Primarina,,,,,,,,,
Emolga,188,stat_alignment,1,Timid,54.2%,Speed,Attack,,,,,,
Emolga,188,stat_alignment,2,Jolly,16.1%,Speed,Sp. Atk,,,,,,
Emolga,188,stat_alignment,3,Modest,13.7%,Sp. Atk,Attack,,,,,,
Emolga,188,stat_alignment,4,Calm,2.9%,Sp. Def,Attack,,,,,,
Emolga,188,stat_alignment,5,Naive,2.4%,Speed,Sp. Def,,,,,,
Emolga,188,stat_alignment,6,Hasty,2.4%,Speed,Defense,,,,,,
Emolga,188,stat_alignment,7,Impish,2.1%,Defense,Sp. Atk,,,,,,
Emolga,188,stat_alignment,8,Bold,1.7%,Defense,Attack,,,,,,
Emolga,188,stat_alignment,9,Adamant,1.0%,Attack,Sp. Atk,,,,,,
Emolga,188,stat_alignment,10,Mild,0.9%,Sp. Atk,Defense,,,,,,
Emolga,188,stat_points,1,,27.9%,,,2,0,0,32,0,32
Emolga,188,stat_points,2,,7.5%,,,1,0,1,32,0,32
Emolga,188,stat_points,3,,5.3%,,,32,0,2,0,0,32
Emolga,188,stat_points,4,,5.0%,,,1,0,0,32,1,32
Emolga,188,stat_points,5,,3.2%,,,32,0,0,2,0,32
Emolga,188,stat_points,6,,2.5%,,,0,0,2,32,0,32
Emolga,188,stat_points,7,,2.3%,,,32,0,0,0,2,32
Emolga,188,stat_points,8,,2.2%,,,2,32,0,0,0,32
Emolga,188,stat_points,9,,2.0%,,,31,0,3,0,0,32
Emolga,188,stat_points,10,,1.8%,,,0,0,1,32,1,32
Emolga,188,stat_points,11,,1.8%,,,0,0,0,32,2,32
Emolga,188,stat_points,12,,1.7%,,,32,0,0,32,0,0
Emolga,188,ability,1,Motor Drive,83.6%,,,,,,,,
Emolga,188,ability,2,Static,16.4%,,,,,,,,
