pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Espathra,61,move,1,Lumina Crash,82.9%,,,,,,,,
Espathra,61,move,2,Protect,80.8%,,,,,,,,
Espathra,61,move,3,Baton Pass,76.2%,,,,,,,,
Espathra,61,move,4,Calm Mind,67.5%,,,,,,,,
Espathra,61,move,5,Dazzling Gleam,27.3%,,,,,,,,
Espathra,61,move,6,Substitute,13.4%,,,,,,,,
Espathra,61,move,7,Shadow Ball,10.5%,,,,,,,,
Espathra,61,move,8,Stored Power,8.7%,,,,,,,,
Espathra,61,move,9,Energy Ball,8.0%,,,,,,,,
Espathra,61,move,10,Hypnosis,4.4%,,,,,,,,
Espathra,61,held_item,1,Focus Sash,36.1%,,,,,,,,
Espathra,61,held_item,2,Sitrus Berry,29.2%,,,,,,,,
Espathra,61,held_item,3,Leftovers,13.7%,,,,,,,,
Espathra,61,held_item,4,Mental Herb,4.6%,,,,,,,,
Espathra,61,held_item,5,Lum Berry,2.1%,,,,,,,,
Espathra,61,held_item,6,Light Clay,1.8%,,,,,,,,
Espathra,61,held_item,7,Bright Powder,1.8%,,,,,,,,
Espathra,61,held_item,8,Colbur Berry,1.7%,,,,,,,,
Espathra,61,held_item,9,Kasib Berry,1.4%,,,,,,,,
Espathra,61,held_item,10,Twisted Spoon,1.2%,,,,,,,,
Espathra,61,teammate,1,Garchomp,,,,,,,,,
Espathra,61,teammate,2,Archaludon,,,,,,,,,
Espathra,61,teammate,3,Raichu,,,,,,,,,
Espathra,61,teammate,4,Clefable,,,,,,,,,
Espathra,61,teammate,5,Staraptor,,,,,,,,,
Espathra,61,teammate,6,Mimikyu,,,,,,,,,
Espathra,61,teammate,7,Meowscarada,,,,,,,,,
Espathra,61,teammate,8,Dragonite,,,,,,,,,
Espathra,61,teammate,9,Charizard,,,,,,,,,
Espathra,61,teammate,10,Basculegion Male,,,,,,,,,
Espathra,61,stat_alignment,1,Bold,35.1%,Defense,Attack,,,,,,
Espathra,61,stat_alignment,2,Timid,32.1%,Speed,Attack,,,,,,
Espathra,61,stat_alignment,3,Modest,25.7%,Sp. Atk,Attack,,,,,,
Espathra,61,stat_alignment,4,Calm,4.9%,Sp. Def,Attack,,,,,,
Espathra,61,stat_alignment,5,Mild,0.6%,Sp. Atk,Defense,,,,,,
Espathra,61,stat_alignment,6,Hasty,0.4%,Speed,Defense,,,,,,
Espathra,61,stat_alignment,7,Impish,0.2%,Defense,Sp. Atk,,,,,,
Espathra,61,stat_alignment,8,Jolly,0.2%,Speed,Sp. Atk,,,,,,
Espathra,61,stat_alignment,9,Quiet,0.2%,Sp. Atk,Speed,,,,,,
Espathra,61,stat_alignment,10,Relaxed,0.2%,Defense,Speed,,,,,,
Espathra,61,stat_points,1,,12.9%,,,2,0,0,32,0,32
Espathra,61,stat_points,2,,7.6%,,,32,0,32,0,2,0
Espathra,61,stat_points,3,,4.4%,,,32,0,32,0,0,2
Espathra,61,stat_points,4,,4.3%,,,1,0,1,32,0,32
Espathra,61,stat_points,5,,3.4%,,,25,0,32,0,0,9
Espathra,61,stat_points,6,,3.3%,,,32,0,30,0,2,2
Espathra,61,stat_points,7,,2.1%,,,0,0,2,32,0,32
Espathra,61,stat_points,8,,2.0%,,,0,0,0,32,2,32
Espathra,61,stat_points,9,,1.4%,,,32,0,0,32,0,2
Espathra,61,stat_points,10,,1.4%,,,25,0,30,0,2,9
Espathra,61,ability,1,Speed Boost,99.2%,,,,,,,,
Espathra,61,ability,2,Opportunist,0.7%,,,,,,,,
Espathra,61,ability,3,Frisk,0.2%,,,,,,,,
