pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Excadrill,55,move,1,Earthquake,98.8%,,,,,,,,
Excadrill,55,move,2,Iron Head,96.3%,,,,,,,,
Excadrill,55,move,3,Rock Slide,64.2%,,,,,,,,
Excadrill,55,move,4,Horn Drill,30.6%,,,,,,,,
Excadrill,55,move,5,Swords Dance,26.8%,,,,,,,,
Excadrill,55,move,6,Rock Tomb,16.4%,,,,,,,,
Excadrill,55,move,7,Brick Break,15.5%,,,,,,,,
Excadrill,55,move,8,Rapid Spin,12.3%,,,,,,,,
Excadrill,55,move,9,Stealth Rock,10.2%,,,,,,,,
Excadrill,55,move,10,Poison Jab,5.4%,,,,,,,,
Excadrill,55,held_item,1,Choice Scarf,39.3%,,,,,,,,
Excadrill,55,held_item,2,Focus Sash,30.1%,,,,,,,,
Excadrill,55,held_item,3,Life Orb,16.2%,,,,,,,,
Excadrill,55,held_item,4,Excadrite,9.2%,,,,,,,,
Excadrill,55,held_item,5,Soft Sand,2.1%,,,,,,,,
Excadrill,55,held_item,6,Sitrus Berry,1.1%,,,,,,,,
Excadrill,55,held_item,7,Lum Berry,0.7%,,,,,,,,
Excadrill,55,held_item,8,Expert Belt,0.7%,,,,,,,,
Excadrill,55,held_item,9,Chople Berry,0.7%,,,,,,,,
Excadrill,55,held_item,10,Shuca Berry,0.6%,,,,,,,,
Excadrill,55,teammate,1,Staraptor,,,,,,,,,
Excadrill,55,teammate,2,Raichu,,,,,,,,,
Excadrill,55,teammate,3,Hippowdon,,,,,,,,,
Excadrill,55,teammate,4,Mimikyu,,,,,,,,,
Excadrill,55,teammate,5,Gyarados,,,,,,,,,
Excadrill,55,teammate,6,Meowscarada,,,,,,,,,
Excadrill,55,teammate,7,Charizard,,,,,,,,,
Excadrill,55,teammate,8,Archaludon,,,,,,,,,
Excadrill,55,teammate,9,Corviknight,,,,,,,,,
Excadrill,55,teammate,10,Alolan Ninetales,,,,,,,,,
Excadrill,55,stat_alignment,1,Jolly,53.3%,Speed,Sp. Atk,,,,,,
Excadrill,55,stat_alignment,2,Adamant,44.0%,Attack,Sp. Atk,,,,,,
Excadrill,55,stat_alignment,3,Careful,0.6%,Sp. Def,Sp. Atk,,,,,,
Excadrill,55,stat_alignment,4,Lonely,0.5%,Attack,Defense,,,,,,
Excadrill,55,stat_alignment,5,Naughty,0.5%,Attack,Sp. Def,,,,,,
Excadrill,55,stat_alignment,6,Impish,0.3%,Defense,Sp. Atk,,,,,,
Excadrill,55,stat_alignment,7,Naive,0.3%,Speed,Sp. Def,,,,,,
Excadrill,55,stat_alignment,8,Hasty,0.2%,Speed,Defense,,,,,,
Excadrill,55,stat_alignment,9,Brave,0.2%,Attack,Speed,,,,,,
Excadrill,55,stat_alignment,10,Timid,0.0%,Speed,Attack,,,,,,
Excadrill,55,stat_points,1,,31.4%,,,2,32,0,0,0,32
Excadrill,55,stat_points,2,,14.7%,,,0,32,2,0,0,32
Excadrill,55,stat_points,3,,3.1%,,,0,32,0,0,2,32
Excadrill,55,stat_points,4,,3.0%,,,0,32,1,0,1,32
Excadrill,55,stat_points,5,,2.1%,,,0,32,0,0,0,32
Excadrill,55,stat_points,6,,1.5%,,,0,32,8,0,1,25
Excadrill,55,stat_points,7,,1.0%,,,1,32,0,0,0,32
Excadrill,55,stat_points,8,,0.9%,,,6,25,3,0,0,32
Excadrill,55,stat_points,9,,0.9%,,,0,32,15,0,0,19
Excadrill,55,stat_points,10,,0.7%,,,32,32,0,0,0,2
Excadrill,55,stat_points,11,,0.7%,,,4,32,0,0,0,30
Excadrill,55,ability,1,Mold Breaker,75.9%,,,,,,,,
Excadrill,55,ability,2,Sand Rush,22.8%,,,,,,,,
Excadrill,55,ability,3,Sand Force,1.2%,,,,,,,,
