pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Falinks,161,move,1,No Retreat,91.4%,,,,,,,,
Falinks,161,move,2,Close Combat,84.9%,,,,,,,,
Falinks,161,move,3,Knock Off,51.8%,,,,,,,,
Falinks,161,move,4,Iron Head,36.6%,,,,,,,,
Falinks,161,move,5,Poison Jab,19.5%,,,,,,,,
Falinks,161,move,6,Rock Slide,18.6%,,,,,,,,
Falinks,161,move,7,First Impression,18.3%,,,,,,,,
Falinks,161,move,8,Throat Chop,13.6%,,,,,,,,
Falinks,161,move,9,High Horsepower,13.5%,,,,,,,,
Falinks,161,move,10,Brick Break,8.8%,,,,,,,,
Falinks,161,held_item,1,Falinksite,91.2%,,,,,,,,
Falinks,161,held_item,2,Focus Sash,1.9%,,,,,,,,
Falinks,161,held_item,3,Life Orb,0.7%,,,,,,,,
Falinks,161,held_item,4,Expert Belt,0.4%,,,,,,,,
Falinks,161,held_item,5,Sitrus Berry,0.3%,,,,,,,,
Falinks,161,held_item,6,Leftovers,0.3%,,,,,,,,
Falinks,161,held_item,7,Chesto Berry,0.3%,,,,,,,,
Falinks,161,held_item,8,Lum Berry,0.2%,,,,,,,,
Falinks,161,held_item,9,Muscle Band,0.2%,,,,,,,,
Falinks,161,held_item,10,Black Belt,0.2%,,,,,,,,
Falinks,161,teammate,1,Garchomp,,,,,,,,,
Falinks,161,teammate,2,Gholdengo,,,,,,,,,
Falinks,161,teammate,3,Mimikyu,,,,,,,,,
Falinks,161,teammate,4,Alolan Ninetales,,,,,,,,,
Falinks,161,teammate,5,Raichu,,,,,,,,,
Falinks,161,teammate,6,Meowscarada,,,,,,,,,
Falinks,161,teammate,7,Grimmsnarl,,,,,,,,,
Falinks,161,teammate,8,Basculegion Male,,,,,,,,,
Falinks,161,teammate,9,Archaludon,,,,,,,,,
Falinks,161,teammate,10,Charizard,,,,,,,,,
Falinks,161,stat_alignment,1,Adamant,59.9%,Attack,Sp. Atk,,,,,,
Falinks,161,stat_alignment,2,Jolly,31.9%,Speed,Sp. Atk,,,,,,
Falinks,161,stat_alignment,3,Impish,4.1%,Defense,Sp. Atk,,,,,,
Falinks,161,stat_alignment,4,Naive,1.3%,Speed,Sp. Def,,,,,,
Falinks,161,stat_alignment,5,Careful,0.8%,Sp. Def,Sp. Atk,,,,,,
Falinks,161,stat_alignment,6,Naughty,0.6%,Attack,Sp. Def,,,,,,
Falinks,161,stat_alignment,7,Hasty,0.4%,Speed,Defense,,,,,,
Falinks,161,stat_alignment,8,Brave,0.3%,Attack,Speed,,,,,,
Falinks,161,stat_alignment,9,Relaxed,0.1%,Defense,Speed,,,,,,
Falinks,161,stat_alignment,10,Timid,0.1%,Speed,Attack,,,,,,
Falinks,161,stat_points,1,,27.8%,,,2,32,0,0,0,32
Falinks,161,stat_points,2,,7.6%,,,1,32,1,0,0,32
Falinks,161,stat_points,3,,5.0%,,,0,32,2,0,0,32
Falinks,161,stat_points,4,,4.6%,,,1,32,0,0,1,32
Falinks,161,stat_points,5,,3.5%,,,0,32,0,0,2,32
Falinks,161,stat_points,6,,3.4%,,,32,32,0,0,0,2
Falinks,161,stat_points,7,,3.0%,,,0,0,0,0,0,0
Falinks,161,stat_points,8,,2.7%,,,10,32,0,0,0,24
Falinks,161,stat_points,9,,1.8%,,,32,32,0,0,2,0
Falinks,161,stat_points,10,,1.7%,,,2,32,32,0,0,0
Falinks,161,stat_points,11,,1.7%,,,32,32,2,0,0,0
Falinks,161,stat_points,12,,1.6%,,,7,32,0,0,0,17
Falinks,161,ability,1,Defiant,88.7%,,,,,,,,
Falinks,161,ability,2,Battle Armor,11.3%,,,,,,,,
