pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Farigiraf,179,move,1,Trick Room,61.5%,,,,,,,,
Farigiraf,179,move,2,Psychic,39.1%,,,,,,,,
Farigiraf,179,move,3,Thunderbolt,32.3%,,,,,,,,
Farigiraf,179,move,4,Twin Beam,31.0%,,,,,,,,
Farigiraf,179,move,5,Dazzling Gleam,25.9%,,,,,,,,
Farigiraf,179,move,6,Hyper Voice,20.0%,,,,,,,,
Farigiraf,179,move,7,Energy Ball,12.5%,,,,,,,,
Farigiraf,179,move,8,Shadow Ball,12.2%,,,,,,,,
Farigiraf,179,move,9,Baton Pass,11.8%,,,,,,,,
Farigiraf,179,move,10,Foul Play,10.5%,,,,,,,,
Farigiraf,179,held_item,1,Sitrus Berry,44.4%,,,,,,,,
Farigiraf,179,held_item,2,Focus Sash,9.3%,,,,,,,,
Farigiraf,179,held_item,3,Leftovers,8.6%,,,,,,,,
Farigiraf,179,held_item,4,Colbur Berry,6.3%,,,,,,,,
Farigiraf,179,held_item,5,Light Clay,5.9%,,,,,,,,
Farigiraf,179,held_item,6,Life Orb,4.5%,,,,,,,,
Farigiraf,179,held_item,7,Mental Herb,3.9%,,,,,,,,
Farigiraf,179,held_item,8,Expert Belt,3.7%,,,,,,,,
Farigiraf,179,held_item,9,Lum Berry,2.7%,,,,,,,,
Farigiraf,179,held_item,10,Quick Claw,2.1%,,,,,,,,
Farigiraf,179,teammate,1,Garchomp,,,,,,,,,
Farigiraf,179,teammate,2,Mawile,,,,,,,,,
Farigiraf,179,teammate,3,Kingambit,,,,,,,,,
Farigiraf,179,teammate,4,Metagross,,,,,,,,,
Farigiraf,179,teammate,5,Staraptor,,,,,,,,,
Farigiraf,179,teammate,6,Meowscarada,,,,,,,,,
Farigiraf,179,teammate,7,Basculegion Male,,,,,,,,,
Farigiraf,179,teammate,8,Raichu,,,,,,,,,
Farigiraf,179,teammate,9,Charizard,,,,,,,,,
Farigiraf,179,teammate,10,Archaludon,,,,,,,,,
Farigiraf,179,stat_alignment,1,Modest,28.7%,Sp. Atk,Attack,,,,,,
Farigiraf,179,stat_alignment,2,Quiet,20.6%,Sp. Atk,Speed,,,,,,
Farigiraf,179,stat_alignment,3,Bold,17.5%,Defense,Attack,,,,,,
Farigiraf,179,stat_alignment,4,Relaxed,11.8%,Defense,Speed,,,,,,
Farigiraf,179,stat_alignment,5,Calm,7.2%,Sp. Def,Attack,,,,,,
Farigiraf,179,stat_alignment,6,Sassy,6.4%,Sp. Def,Speed,,,,,,
Farigiraf,179,stat_alignment,7,Timid,2.5%,Speed,Attack,,,,,,
Farigiraf,179,stat_alignment,8,Adamant,1.4%,Attack,Sp. Atk,,,,,,
Farigiraf,179,stat_alignment,9,Mild,1.1%,Sp. Atk,Defense,,,,,,
Farigiraf,179,stat_alignment,10,Rash,0.7%,Sp. Atk,Sp. Def,,,,,,
Farigiraf,179,stat_points,1,,10.0%,,,32,0,0,32,2,0
Farigiraf,179,stat_points,2,,7.7%,,,32,0,2,32,0,0
Farigiraf,179,stat_points,3,,5.0%,,,2,0,32,32,0,0
Farigiraf,179,stat_points,4,,4.1%,,,32,0,20,0,14,0
Farigiraf,179,stat_points,5,,3.9%,,,32,0,32,0,2,0
Farigiraf,179,stat_points,6,,3.2%,,,32,0,2,0,32,0
Farigiraf,179,stat_points,7,,2.7%,,,2,0,0,32,32,0
Farigiraf,179,stat_points,8,,2.4%,,,2,0,32,0,32,0
Farigiraf,179,stat_points,9,,1.8%,,,2,0,0,32,0,32
Farigiraf,179,stat_points,10,,1.5%,,,32,0,1,32,1,0
Farigiraf,179,ability,1,Armor Tail,74.2%,,,,,,,,
Farigiraf,179,ability,2,Cud Chew,18.4%,,,,,,,,
Farigiraf,179,ability,3,Sap Sipper,7.4%,,,,,,,,
