pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Feraligatr,122,move,1,Liquidation,83.3%,,,,,,,,
Feraligatr,122,move,2,Dragon Dance,66.2%,,,,,,,,
Feraligatr,122,move,3,Ice Punch,52.1%,,,,,,,,
Feraligatr,122,move,4,Aqua Jet,44.8%,,,,,,,,
Feraligatr,122,move,5,Double-Edge,28.4%,,,,,,,,
Feraligatr,122,move,6,Earthquake,27.7%,,,,,,,,
Feraligatr,122,move,7,Body Slam,17.1%,,,,,,,,
Feraligatr,122,move,8,Crunch,15.1%,,,,,,,,
Feraligatr,122,move,9,Waterfall,8.1%,,,,,,,,
Feraligatr,122,move,10,Swords Dance,7.5%,,,,,,,,
Feraligatr,122,held_item,1,Feraligite,56.9%,,,,,,,,
Feraligatr,122,held_item,2,Life Orb,36.0%,,,,,,,,
Feraligatr,122,held_item,3,Sitrus Berry,1.6%,,,,,,,,
Feraligatr,122,held_item,4,Lum Berry,1.0%,,,,,,,,
Feraligatr,122,held_item,5,Mystic Water,0.8%,,,,,,,,
Feraligatr,122,held_item,6,Choice Scarf,0.6%,,,,,,,,
Feraligatr,122,held_item,7,Focus Sash,0.6%,,,,,,,,
Feraligatr,122,held_item,8,Leftovers,0.5%,,,,,,,,
Feraligatr,122,held_item,9,Muscle Band,0.4%,,,,,,,,
Feraligatr,122,held_item,10,Quick Claw,0.3%,,,,,,,,
Feraligatr,122,teammate,1,Garchomp,,,,,,,,,
Feraligatr,122,teammate,2,Raichu,,,,,,,,,
Feraligatr,122,teammate,3,Meowscarada,,,,,,,,,
Feraligatr,122,teammate,4,Charizard,,,,,,,,,
Feraligatr,122,teammate,5,Archaludon,,,,,,,,,
Feraligatr,122,teammate,6,Staraptor,,,,,,,,,
Feraligatr,122,teammate,7,Alolan Ninetales,,,,,,,,,
Feraligatr,122,teammate,8,Metagross,,,,,,,,,
Feraligatr,122,teammate,9,Mimikyu,,,,,,,,,
Feraligatr,122,teammate,10,Corviknight,,,,,,,,,
Feraligatr,122,stat_alignment,1,Adamant,51.0%,Attack,Sp. Atk,,,,,,
Feraligatr,122,stat_alignment,2,Jolly,42.6%,Speed,Sp. Atk,,,,,,
Feraligatr,122,stat_alignment,3,Brave,1.7%,Attack,Speed,,,,,,
Feraligatr,122,stat_alignment,4,Impish,1.4%,Defense,Sp. Atk,,,,,,
Feraligatr,122,stat_alignment,5,Careful,0.8%,Sp. Def,Sp. Atk,,,,,,
Feraligatr,122,stat_alignment,6,Modest,0.7%,Sp. Atk,Attack,,,,,,
Feraligatr,122,stat_alignment,7,Naughty,0.4%,Attack,Sp. Def,,,,,,
Feraligatr,122,stat_alignment,8,Lonely,0.3%,Attack,Defense,,,,,,
Feraligatr,122,stat_alignment,9,Naive,0.3%,Speed,Sp. Def,,,,,,
Feraligatr,122,stat_alignment,10,Sassy,0.2%,Sp. Def,Speed,,,,,,
Feraligatr,122,stat_points,1,,32.4%,,,2,32,0,0,0,32
Feraligatr,122,stat_points,2,,7.0%,,,1,32,1,0,0,32
Feraligatr,122,stat_points,3,,5.3%,,,0,32,0,0,2,32
Feraligatr,122,stat_points,4,,5.1%,,,0,32,2,0,0,32
Feraligatr,122,stat_points,5,,4.0%,,,32,32,0,0,0,2
Feraligatr,122,stat_points,6,,4.0%,,,1,32,0,0,1,32
Feraligatr,122,stat_points,7,,3.7%,,,32,32,2,0,0,0
Feraligatr,122,stat_points,8,,2.9%,,,32,32,0,0,2,0
Feraligatr,122,stat_points,9,,1.7%,,,0,32,0,0,0,32
Feraligatr,122,stat_points,10,,1.3%,,,12,32,0,0,0,22
Feraligatr,122,ability,1,Sheer Force,84.4%,,,,,,,,
Feraligatr,122,ability,2,Torrent,15.6%,,,,,,,,
