pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Flapple,222,move,1,Grav Apple,98.0%,,,,,,,,
Flapple,222,move,2,Sucker Punch,79.9%,,,,,,,,
Flapple,222,move,3,Outrage,64.8%,,,,,,,,
Flapple,222,move,4,Dragon Dance,38.6%,,,,,,,,
Flapple,222,move,5,U-turn,24.8%,,,,,,,,
Flapple,222,move,6,Dragon Rush,19.6%,,,,,,,,
Flapple,222,move,7,Dual Wingbeat,16.7%,,,,,,,,
Flapple,222,move,8,Endeavor,13.1%,,,,,,,,
Flapple,222,move,9,Aerial Ace,9.2%,,,,,,,,
Flapple,222,move,10,Pounce,4.4%,,,,,,,,
Flapple,222,held_item,1,Focus Sash,35.1%,,,,,,,,
Flapple,222,held_item,2,Life Orb,22.7%,,,,,,,,
Flapple,222,held_item,3,Choice Scarf,13.1%,,,,,,,,
Flapple,222,held_item,4,Sitrus Berry,8.5%,,,,,,,,
Flapple,222,held_item,5,Wide Lens,5.8%,,,,,,,,
Flapple,222,held_item,6,Quick Claw,2.8%,,,,,,,,
Flapple,222,held_item,7,Muscle Band,2.7%,,,,,,,,
Flapple,222,held_item,8,Yache Berry,2.5%,,,,,,,,
Flapple,222,held_item,9,Metronome,1.5%,,,,,,,,
Flapple,222,held_item,10,Lum Berry,0.9%,,,,,,,,
Flapple,222,teammate,1,Metagross,,,,,,,,,
Flapple,222,teammate,2,Garchomp,,,,,,,,,
Flapple,222,teammate,3,Raichu,,,,,,,,,
Flapple,222,teammate,4,Mimikyu,,,,,,,,,
Flapple,222,teammate,5,Charizard,,,,,,,,,
Flapple,222,teammate,6,Staraptor,,,,,,,,,
Flapple,222,teammate,7,Hippowdon,,,,,,,,,
Flapple,222,teammate,8,Hydreigon,,,,,,,,,
Flapple,222,teammate,9,Kingambit,,,,,,,,,
Flapple,222,teammate,10,Blaziken,,,,,,,,,
Flapple,222,stat_alignment,1,Jolly,52.6%,Speed,Sp. Atk,,,,,,
Flapple,222,stat_alignment,2,Adamant,31.4%,Attack,Sp. Atk,,,,,,
Flapple,222,stat_alignment,3,Brave,5.2%,Attack,Speed,,,,,,
Flapple,222,stat_alignment,4,Gentle,2.6%,Sp. Def,Defense,,,,,,
Flapple,222,stat_alignment,5,Impish,2.1%,Defense,Sp. Atk,,,,,,
Flapple,222,stat_alignment,6,Lonely,1.3%,Attack,Defense,,,,,,
Flapple,222,stat_alignment,7,Hasty,1.2%,Speed,Defense,,,,,,
Flapple,222,stat_alignment,8,Naughty,1.2%,Attack,Sp. Def,,,,,,
Flapple,222,stat_alignment,9,Modest,0.7%,Sp. Atk,Attack,,,,,,
Flapple,222,stat_alignment,10,Rash,0.6%,Sp. Atk,Sp. Def,,,,,,
Flapple,222,stat_points,1,,50.3%,,,2,32,0,0,0,32
Flapple,222,stat_points,2,,9.5%,,,0,32,2,0,0,32
Flapple,222,stat_points,3,,8.3%,,,32,32,0,0,2,0
Flapple,222,stat_points,4,,5.7%,,,0,32,0,0,2,32
Flapple,222,stat_points,5,,5.0%,,,0,32,0,0,0,32
Flapple,222,stat_points,6,,4.4%,,,32,32,2,0,0,0
Flapple,222,stat_points,7,,4.2%,,,2,32,32,0,0,0
Flapple,222,stat_points,8,,2.8%,,,0,32,0,0,32,2
Flapple,222,stat_points,9,,1.0%,,,2,0,0,32,0,32
Flapple,222,stat_points,10,,0.8%,,,4,32,0,0,0,30
Flapple,222,stat_points,11,,0.7%,,,2,32,0,0,32,0
Flapple,222,stat_points,12,,0.7%,,,1,32,1,0,0,32
Flapple,222,ability,1,Hustle,82.0%,,,,,,,,
Flapple,222,ability,2,Ripen,16.1%,,,,,,,,
Flapple,222,ability,3,Gluttony,1.9%,,,,,,,,
