pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Flareon,197,move,1,Flare Blitz,85.7%,,,,,,,,
Flareon,197,move,2,Quick Attack,53.9%,,,,,,,,
Flareon,197,move,3,Superpower,31.5%,,,,,,,,
Flareon,197,move,4,Will-O-Wisp,22.8%,,,,,,,,
Flareon,197,move,5,Yawn,22.6%,,,,,,,,
Flareon,197,move,6,Flame Charge,22.4%,,,,,,,,
Flareon,197,move,7,Wish,18.1%,,,,,,,,
Flareon,197,move,8,Overheat,13.1%,,,,,,,,
Flareon,197,move,9,Endeavor,12.3%,,,,,,,,
Flareon,197,move,10,Protect,12.3%,,,,,,,,
Flareon,197,held_item,1,Focus Sash,23.7%,,,,,,,,
Flareon,197,held_item,2,Charcoal,20.5%,,,,,,,,
Flareon,197,held_item,3,Sitrus Berry,14.1%,,,,,,,,
Flareon,197,held_item,4,Life Orb,12.0%,,,,,,,,
Flareon,197,held_item,5,Choice Scarf,8.3%,,,,,,,,
Flareon,197,held_item,6,Leftovers,6.1%,,,,,,,,
Flareon,197,held_item,7,Shuca Berry,3.4%,,,,,,,,
Flareon,197,held_item,8,Quick Claw,3.0%,,,,,,,,
Flareon,197,held_item,9,White Herb,2.7%,,,,,,,,
Flareon,197,held_item,10,Muscle Band,1.2%,,,,,,,,
Flareon,197,teammate,1,Umbreon,,,,,,,,,
Flareon,197,teammate,2,Sylveon,,,,,,,,,
Flareon,197,teammate,3,Espeon,,,,,,,,,
Flareon,197,teammate,4,Glaceon,,,,,,,,,
Flareon,197,teammate,5,Jolteon,,,,,,,,,
Flareon,197,teammate,6,Vaporeon,,,,,,,,,
Flareon,197,teammate,7,Garchomp,,,,,,,,,
Flareon,197,teammate,8,Leafeon,,,,,,,,,
Flareon,197,teammate,9,Dragonite,,,,,,,,,
Flareon,197,teammate,10,Raichu,,,,,,,,,
Flareon,197,stat_alignment,1,Adamant,36.5%,Attack,Sp. Atk,,,,,,
Flareon,197,stat_alignment,2,Jolly,20.2%,Speed,Sp. Atk,,,,,,
Flareon,197,stat_alignment,3,Careful,12.6%,Sp. Def,Sp. Atk,,,,,,
Flareon,197,stat_alignment,4,Brave,5.6%,Attack,Speed,,,,,,
Flareon,197,stat_alignment,5,Lonely,4.6%,Attack,Defense,,,,,,
Flareon,197,stat_alignment,6,Hasty,3.9%,Speed,Defense,,,,,,
Flareon,197,stat_alignment,7,Calm,3.8%,Sp. Def,Attack,,,,,,
Flareon,197,stat_alignment,8,Relaxed,3.4%,Defense,Speed,,,,,,
Flareon,197,stat_alignment,9,Impish,2.5%,Defense,Sp. Atk,,,,,,
Flareon,197,stat_alignment,10,Naive,1.7%,Speed,Sp. Def,,,,,,
Flareon,197,stat_points,1,,17.6%,,,2,32,0,0,0,32
Flareon,197,stat_points,2,,9.2%,,,32,32,2,0,0,0
Flareon,197,stat_points,3,,6.8%,,,32,32,0,0,2,0
Flareon,197,stat_points,4,,3.3%,,,0,32,2,0,0,32
Flareon,197,stat_points,5,,3.3%,,,32,0,0,2,32,0
Flareon,197,stat_points,6,,3.2%,,,1,32,1,0,0,32
Flareon,197,stat_points,7,,3.1%,,,32,32,0,0,0,2
Flareon,197,stat_points,8,,3.0%,,,0,32,0,0,2,32
Flareon,197,stat_points,9,,2.8%,,,2,32,32,0,0,0
Flareon,197,stat_points,10,,2.8%,,,1,32,0,0,1,32
Flareon,197,stat_points,11,,2.8%,,,31,0,0,0,30,5
Flareon,197,stat_points,12,,2.0%,,,20,20,0,0,0,26
Flareon,197,ability,1,Flash Fire,88.3%,,,,,,,,
Flareon,197,ability,2,Guts,11.7%,,,,,,,,
