pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Floette,53,move,1,Moonblast,85.8%,,,,,,,,
Floette,53,move,2,Calm Mind,85.0%,,,,,,,,
Floette,53,move,3,Draining Kiss,75.9%,,,,,,,,
Floette,53,move,4,Light of Ruin,56.2%,,,,,,,,
Floette,53,move,5,Psychic,30.8%,,,,,,,,
Floette,53,move,6,Synthesis,18.9%,,,,,,,,
Floette,53,move,7,Substitute,8.4%,,,,,,,,
Floette,53,move,8,Giga Drain,6.5%,,,,,,,,
Floette,53,move,9,Charm,4.5%,,,,,,,,
Floette,53,move,10,Protect,4.2%,,,,,,,,
Floette,53,held_item,1,Floettite,96.2%,,,,,,,,
Floette,53,held_item,2,Choice Scarf,3.1%,,,,,,,,
Floette,53,held_item,3,Life Orb,0.2%,,,,,,,,
Floette,53,held_item,4,Sitrus Berry,0.1%,,,,,,,,
Floette,53,held_item,5,Fairy Feather,0.1%,,,,,,,,
Floette,53,held_item,6,Lopunnite,0.1%,,,,,,,,
Floette,53,held_item,7,Quick Claw,0.0%,,,,,,,,
Floette,53,held_item,8,Focus Sash,0.0%,,,,,,,,
Floette,53,held_item,9,Leftovers,0.0%,,,,,,,,
Floette,53,held_item,10,Light Clay,0.0%,,,,,,,,
Floette,53,teammate,1,Garchomp,,,,,,,,,
Floette,53,teammate,2,Meowscarada,,,,,,,,,
Floette,53,teammate,3,Archaludon,,,,,,,,,
Floette,53,teammate,4,Basculegion Male,,,,,,,,,
Floette,53,teammate,5,Blaziken,,,,,,,,,
Floette,53,teammate,6,Rotom Wash,,,,,,,,,
Floette,53,teammate,7,Mimikyu,,,,,,,,,
Floette,53,teammate,8,Swampert,,,,,,,,,
Floette,53,teammate,9,Staraptor,,,,,,,,,
Floette,53,teammate,10,Hippowdon,,,,,,,,,
Floette,53,stat_alignment,1,Timid,52.0%,Speed,Attack,,,,,,
Floette,53,stat_alignment,2,Modest,42.4%,Sp. Atk,Attack,,,,,,
Floette,53,stat_alignment,3,Bold,5.0%,Defense,Attack,,,,,,
Floette,53,stat_alignment,4,Calm,0.4%,Sp. Def,Attack,,,,,,
Floette,53,stat_alignment,5,Jolly,0.1%,Speed,Sp. Atk,,,,,,
Floette,53,stat_alignment,6,Quiet,0.0%,Sp. Atk,Speed,,,,,,
Floette,53,stat_alignment,7,Relaxed,0.0%,Defense,Speed,,,,,,
Floette,53,stat_alignment,8,Naive,0.0%,Speed,Sp. Def,,,,,,
Floette,53,stat_alignment,9,Rash,0.0%,Sp. Atk,Sp. Def,,,,,,
Floette,53,stat_alignment,10,Hasty,0.0%,Speed,Defense,,,,,,
Floette,53,stat_points,1,,22.8%,,,2,0,0,32,0,32
Floette,53,stat_points,2,,8.3%,,,0,0,6,28,0,32
Floette,53,stat_points,3,,4.9%,,,26,0,0,8,0,32
Floette,53,stat_points,4,,4.8%,,,0,0,10,24,0,32
Floette,53,stat_points,5,,4.5%,,,0,0,2,32,0,32
Floette,53,stat_points,6,,4.4%,,,32,0,29,5,0,0
Floette,53,stat_points,7,,2.1%,,,32,0,32,2,0,0
Floette,53,stat_points,8,,1.9%,,,32,0,26,5,0,3
Floette,53,stat_points,9,,1.4%,,,32,0,32,0,0,2
Floette,53,stat_points,10,,1.3%,,,26,0,6,16,0,18
Floette,53,stat_points,11,,1.2%,,,2,0,1,21,0,32
Floette,53,stat_points,12,,1.2%,,,32,0,0,2,0,32
Floette,53,ability,1,Flower Veil,97.4%,,,,,,,,
Floette,53,ability,2,Symbiosis,2.6%,,,,,,,,
