pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Florges Red Flower,203,move,1,Moonblast,84.0%,,,,,,,,
Florges Red Flower,203,move,2,Calm Mind,73.0%,,,,,,,,
Florges Red Flower,203,move,3,Synthesis,46.9%,,,,,,,,
Florges Red Flower,203,move,4,Giga Drain,28.6%,,,,,,,,
Florges Red Flower,203,move,5,Draining Kiss,27.8%,,,,,,,,
Florges Red Flower,203,move,6,Psychic,16.0%,,,,,,,,
Florges Red Flower,203,move,7,Psychic Noise,15.2%,,,,,,,,
Florges Red Flower,203,move,8,Wish,14.0%,,,,,,,,
Florges Red Flower,203,move,9,Stored Power,12.7%,,,,,,,,
Florges Red Flower,203,move,10,Protect,9.5%,,,,,,,,
Florges Red Flower,203,held_item,1,Leftovers,40.0%,,,,,,,,
Florges Red Flower,203,held_item,2,Sitrus Berry,23.9%,,,,,,,,
Florges Red Flower,203,held_item,3,Big Root,6.1%,,,,,,,,
Florges Red Flower,203,held_item,4,Lum Berry,5.3%,,,,,,,,
Florges Red Flower,203,held_item,5,Choice Scarf,3.8%,,,,,,,,
Florges Red Flower,203,held_item,6,Quick Claw,3.7%,,,,,,,,
Florges Red Flower,203,held_item,7,Life Orb,3.1%,,,,,,,,
Florges Red Flower,203,held_item,8,Fairy Feather,2.7%,,,,,,,,
Florges Red Flower,203,held_item,9,Bright Powder,2.4%,,,,,,,,
Florges Red Flower,203,held_item,10,Wise Glasses,2.1%,,,,,,,,
Florges Red Flower,203,teammate,1,Garchomp,,,,,,,,,
Florges Red Flower,203,teammate,2,Raichu,,,,,,,,,
Florges Red Flower,203,teammate,3,Metagross,,,,,,,,,
Florges Red Flower,203,teammate,4,Dragonite,,,,,,,,,
Florges Red Flower,203,teammate,5,Meowscarada,,,,,,,,,
Florges Red Flower,203,teammate,6,Kingambit,,,,,,,,,
Florges Red Flower,203,teammate,7,Corviknight,,,,,,,,,
Florges Red Flower,203,teammate,8,Rotom Wash,,,,,,,,,
Florges Red Flower,203,teammate,9,Charizard,,,,,,,,,
Florges Red Flower,203,teammate,10,Staraptor,,,,,,,,,
Florges Red Flower,203,stat_alignment,1,Calm,46.9%,Sp. Def,Attack,,,,,,
Florges Red Flower,203,stat_alignment,2,Bold,22.4%,Defense,Attack,,,,,,
Florges Red Flower,203,stat_alignment,3,Modest,21.0%,Sp. Atk,Attack,,,,,,
Florges Red Flower,203,stat_alignment,4,Timid,3.2%,Speed,Attack,,,,,,
Florges Red Flower,203,stat_alignment,5,Sassy,1.8%,Sp. Def,Speed,,,,,,
Florges Red Flower,203,stat_alignment,6,Quiet,1.8%,Sp. Atk,Speed,,,,,,
Florges Red Flower,203,stat_alignment,7,Gentle,1.1%,Sp. Def,Defense,,,,,,
Florges Red Flower,203,stat_alignment,8,Relaxed,0.6%,Defense,Speed,,,,,,
Florges Red Flower,203,stat_alignment,9,Hasty,0.3%,Speed,Defense,,,,,,
Florges Red Flower,203,stat_alignment,10,Mild,0.3%,Sp. Atk,Defense,,,,,,
Florges Red Flower,203,stat_points,1,,13.6%,,,32,0,0,2,32,0
Florges Red Flower,203,stat_points,2,,8.0%,,,32,0,32,0,2,0
Florges Red Flower,203,stat_points,3,,7.1%,,,32,0,2,0,32,0
Florges Red Flower,203,stat_points,4,,5.0%,,,32,0,0,32,2,0
Florges Red Flower,203,stat_points,5,,4.2%,,,32,0,32,2,0,0
Florges Red Flower,203,stat_points,6,,4.1%,,,2,0,0,32,32,0
Florges Red Flower,203,stat_points,7,,4.0%,,,32,0,0,24,10,0
Florges Red Flower,203,stat_points,8,,4.0%,,,32,0,0,0,32,0
Florges Red Flower,203,stat_points,9,,3.5%,,,32,0,2,32,0,0
Florges Red Flower,203,stat_points,10,,2.9%,,,0,0,32,32,0,2
Florges Red Flower,203,stat_points,11,,2.5%,,,0,0,2,32,32,0
Florges Red Flower,203,ability,1,Flower Veil,72.4%,,,,,,,,
Florges Red Flower,203,ability,2,Symbiosis,27.6%,,,,,,,,
