pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Furfrou Natural Form,215,move,1,Cotton Guard,62.6%,,,,,,,,
Furfrou Natural Form,215,move,2,Rest,30.6%,,,,,,,,
Furfrou Natural Form,215,move,3,Ice Fang,29.3%,,,,,,,,
Furfrou Natural Form,215,move,4,Thunder Wave,27.5%,,,,,,,,
Furfrou Natural Form,215,move,5,Roar,24.9%,,,,,,,,
Furfrou Natural Form,215,move,6,U-turn,19.0%,,,,,,,,
Furfrou Natural Form,215,move,7,Sucker Punch,18.7%,,,,,,,,
Furfrou Natural Form,215,move,8,Psychic Fangs,15.2%,,,,,,,,
Furfrou Natural Form,215,move,9,Ice Fang,15.2%,,,,,,,,
Furfrou Natural Form,215,move,10,Crunch,14.9%,,,,,,,,
Furfrou Natural Form,215,held_item,1,Leftovers,50.5%,,,,,,,,
Furfrou Natural Form,215,held_item,2,Sitrus Berry,11.0%,,,,,,,,
Furfrou Natural Form,215,held_item,3,Chesto Berry,7.5%,,,,,,,,
Furfrou Natural Form,215,held_item,4,Lum Berry,4.8%,,,,,,,,
Furfrou Natural Form,215,held_item,5,Chople Berry,4.8%,,,,,,,,
Furfrou Natural Form,215,held_item,6,Magnet,3.7%,,,,,,,,
Furfrou Natural Form,215,held_item,7,Bright Powder,3.6%,,,,,,,,
Furfrou Natural Form,215,held_item,8,Focus Band,2.5%,,,,,,,,
Furfrou Natural Form,215,held_item,9,Life Orb,1.9%,,,,,,,,
Furfrou Natural Form,215,held_item,10,Silk Scarf,1.4%,,,,,,,,
Furfrou Natural Form,215,teammate,1,Raichu,,,,,,,,,
Furfrou Natural Form,215,teammate,2,Garchomp,,,,,,,,,
Furfrou Natural Form,215,teammate,3,Gengar,,,,,,,,,
Furfrou Natural Form,215,teammate,4,Charizard,,,,,,,,,
Furfrou Natural Form,215,teammate,5,Staraptor,,,,,,,,,
Furfrou Natural Form,215,teammate,6,Starmie,,,,,,,,,
Furfrou Natural Form,215,teammate,7,Dragonite,,,,,,,,,
Furfrou Natural Form,215,teammate,8,Meowscarada,,,,,,,,,
Furfrou Natural Form,215,teammate,9,Mimikyu,,,,,,,,,
Furfrou Natural Form,215,teammate,10,Glimmora,,,,,,,,,
Furfrou Natural Form,215,stat_alignment,1,Impish,54.4%,Defense,Sp. Atk,,,,,,
Furfrou Natural Form,215,stat_alignment,2,Adamant,15.2%,Attack,Sp. Atk,,,,,,
Furfrou Natural Form,215,stat_alignment,3,Careful,8.9%,Sp. Def,Sp. Atk,,,,,,
Furfrou Natural Form,215,stat_alignment,4,Jolly,7.3%,Speed,Sp. Atk,,,,,,
Furfrou Natural Form,215,stat_alignment,5,Relaxed,3.5%,Defense,Speed,,,,,,
Furfrou Natural Form,215,stat_alignment,6,Bold,2.9%,Defense,Attack,,,,,,
Furfrou Natural Form,215,stat_alignment,7,Lonely,1.9%,Attack,Defense,,,,,,
Furfrou Natural Form,215,stat_alignment,8,Calm,1.5%,Sp. Def,Attack,,,,,,
Furfrou Natural Form,215,stat_alignment,9,Sassy,1.2%,Sp. Def,Speed,,,,,,
Furfrou Natural Form,215,stat_alignment,10,Modest,0.8%,Sp. Atk,Attack,,,,,,
Furfrou Natural Form,215,stat_points,1,,11.4%,,,32,2,32,0,0,0
Furfrou Natural Form,215,stat_points,2,,10.0%,,,32,0,32,0,2,0
Furfrou Natural Form,215,stat_points,3,,9.3%,,,32,0,32,0,0,2
Furfrou Natural Form,215,stat_points,4,,7.3%,,,13,19,32,0,0,0
Furfrou Natural Form,215,stat_points,5,,7.2%,,,0,32,32,0,0,2
Furfrou Natural Form,215,stat_points,6,,4.3%,,,2,32,0,0,0,32
Furfrou Natural Form,215,stat_points,7,,3.8%,,,32,0,2,0,32,0
Furfrou Natural Form,215,stat_points,8,,2.7%,,,32,0,20,0,14,0
Furfrou Natural Form,215,stat_points,9,,2.4%,,,2,32,32,0,0,0
Furfrou Natural Form,215,stat_points,10,,1.6%,,,3,0,32,0,3,0
Furfrou Natural Form,215,stat_points,11,,1.5%,,,32,32,0,0,0,2
Furfrou Natural Form,215,stat_points,12,,1.3%,,,0,32,32,0,2,0
Furfrou Natural Form,215,ability,1,Fur Coat,100.0%,,,,,,,,
