pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Galarian Slowbro,117,move,1,Shell Side Arm,78.7%,,,,,,,,
Galarian Slowbro,117,move,2,Psychic,64.0%,,,,,,,,
Galarian Slowbro,117,move,3,Ice Beam,60.4%,,,,,,,,
Galarian Slowbro,117,move,4,Flamethrower,47.8%,,,,,,,,
Galarian Slowbro,117,move,5,Fire Blast,11.8%,,,,,,,,
Galarian Slowbro,117,move,6,Focus Blast,11.6%,,,,,,,,
Galarian Slowbro,117,move,7,Psyshock,11.1%,,,,,,,,
Galarian Slowbro,117,move,8,Slack Off,9.9%,,,,,,,,
Galarian Slowbro,117,move,9,Power Gem,8.6%,,,,,,,,
Galarian Slowbro,117,move,10,Nasty Plot,8.5%,,,,,,,,
Galarian Slowbro,117,held_item,1,Quick Claw,81.2%,,,,,,,,
Galarian Slowbro,117,held_item,2,Leftovers,5.2%,,,,,,,,
Galarian Slowbro,117,held_item,3,Sitrus Berry,4.3%,,,,,,,,
Galarian Slowbro,117,held_item,4,Shuca Berry,1.9%,,,,,,,,
Galarian Slowbro,117,held_item,5,Life Orb,1.4%,,,,,,,,
Galarian Slowbro,117,held_item,6,Expert Belt,1.1%,,,,,,,,
Galarian Slowbro,117,held_item,7,Focus Sash,0.9%,,,,,,,,
Galarian Slowbro,117,held_item,8,Colbur Berry,0.6%,,,,,,,,
Galarian Slowbro,117,held_item,9,Lum Berry,0.4%,,,,,,,,
Galarian Slowbro,117,held_item,10,Bright Powder,0.4%,,,,,,,,
Galarian Slowbro,117,teammate,1,Garchomp,,,,,,,,,
Galarian Slowbro,117,teammate,2,Meowscarada,,,,,,,,,
Galarian Slowbro,117,teammate,3,Raichu,,,,,,,,,
Galarian Slowbro,117,teammate,4,Staraptor,,,,,,,,,
Galarian Slowbro,117,teammate,5,Mimikyu,,,,,,,,,
Galarian Slowbro,117,teammate,6,Metagross,,,,,,,,,
Galarian Slowbro,117,teammate,7,Charizard,,,,,,,,,
Galarian Slowbro,117,teammate,8,Dragonite,,,,,,,,,
Galarian Slowbro,117,teammate,9,Archaludon,,,,,,,,,
Galarian Slowbro,117,teammate,10,Kingambit,,,,,,,,,
Galarian Slowbro,117,stat_alignment,1,Modest,46.0%,Sp. Atk,Attack,,,,,,
Galarian Slowbro,117,stat_alignment,2,Quiet,31.3%,Sp. Atk,Speed,,,,,,
Galarian Slowbro,117,stat_alignment,3,Bold,6.6%,Defense,Attack,,,,,,
Galarian Slowbro,117,stat_alignment,4,Relaxed,4.8%,Defense,Speed,,,,,,
Galarian Slowbro,117,stat_alignment,5,Calm,3.3%,Sp. Def,Attack,,,,,,
Galarian Slowbro,117,stat_alignment,6,Sassy,2.5%,Sp. Def,Speed,,,,,,
Galarian Slowbro,117,stat_alignment,7,Brave,1.9%,Attack,Speed,,,,,,
Galarian Slowbro,117,stat_alignment,8,Adamant,1.8%,Attack,Sp. Atk,,,,,,
Galarian Slowbro,117,stat_alignment,9,Impish,0.7%,Defense,Sp. Atk,,,,,,
Galarian Slowbro,117,stat_alignment,10,Mild,0.4%,Sp. Atk,Defense,,,,,,
Galarian Slowbro,117,stat_points,1,,27.7%,,,32,0,2,32,0,0
Galarian Slowbro,117,stat_points,2,,18.6%,,,32,0,0,32,2,0
Galarian Slowbro,117,stat_points,3,,5.2%,,,2,0,32,32,0,0
Galarian Slowbro,117,stat_points,4,,3.1%,,,2,32,0,32,0,0
Galarian Slowbro,117,stat_points,5,,3.0%,,,32,0,32,0,2,0
Galarian Slowbro,117,stat_points,6,,2.8%,,,2,0,0,32,32,0
Galarian Slowbro,117,stat_points,7,,2.0%,,,0,0,2,32,32,0
Galarian Slowbro,117,stat_points,8,,1.8%,,,32,0,1,32,1,0
Galarian Slowbro,117,stat_points,9,,1.6%,,,0,0,32,32,2,0
Galarian Slowbro,117,stat_points,10,,1.4%,,,30,0,0,32,4,0
Galarian Slowbro,117,stat_points,11,,1.3%,,,32,0,2,0,32,0
Galarian Slowbro,117,ability,1,Quick Draw,87.8%,,,,,,,,
Galarian Slowbro,117,ability,2,Regenerator,11.7%,,,,,,,,
Galarian Slowbro,117,ability,3,Own Tempo,0.5%,,,,,,,,
