pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Galarian Slowking,91,move,1,Flamethrower,51.5%,,,,,,,,
Galarian Slowking,91,move,2,Slack Off,50.8%,,,,,,,,
Galarian Slowking,91,move,3,Chilly Reception,49.4%,,,,,,,,
Galarian Slowking,91,move,4,Toxic,38.3%,,,,,,,,
Galarian Slowking,91,move,5,Sludge Bomb,24.8%,,,,,,,,
Galarian Slowking,91,move,6,Psychic,20.9%,,,,,,,,
Galarian Slowking,91,move,7,Calm Mind,20.1%,,,,,,,,
Galarian Slowking,91,move,8,Ice Beam,15.8%,,,,,,,,
Galarian Slowking,91,move,9,Sludge Wave,15.7%,,,,,,,,
Galarian Slowking,91,move,10,Trick Room,14.2%,,,,,,,,
Galarian Slowking,91,held_item,1,Leftovers,38.6%,,,,,,,,
Galarian Slowking,91,held_item,2,Sitrus Berry,28.6%,,,,,,,,
Galarian Slowking,91,held_item,3,Shuca Berry,12.5%,,,,,,,,
Galarian Slowking,91,held_item,4,Bright Powder,3.0%,,,,,,,,
Galarian Slowking,91,held_item,5,Twisted Spoon,1.8%,,,,,,,,
Galarian Slowking,91,held_item,6,Life Orb,1.7%,,,,,,,,
Galarian Slowking,91,held_item,7,Expert Belt,1.6%,,,,,,,,
Galarian Slowking,91,held_item,8,Quick Claw,1.5%,,,,,,,,
Galarian Slowking,91,held_item,9,Focus Sash,1.5%,,,,,,,,
Galarian Slowking,91,held_item,10,Mental Herb,1.2%,,,,,,,,
Galarian Slowking,91,teammate,1,Garchomp,,,,,,,,,
Galarian Slowking,91,teammate,2,Corviknight,,,,,,,,,
Galarian Slowking,91,teammate,3,Raichu,,,,,,,,,
Galarian Slowking,91,teammate,4,Meowscarada,,,,,,,,,
Galarian Slowking,91,teammate,5,Staraptor,,,,,,,,,
Galarian Slowking,91,teammate,6,Dragonite,,,,,,,,,
Galarian Slowking,91,teammate,7,Slowbro,,,,,,,,,
Galarian Slowking,91,teammate,8,Archaludon,,,,,,,,,
Galarian Slowking,91,teammate,9,Mimikyu,,,,,,,,,
Galarian Slowking,91,teammate,10,Lopunny,,,,,,,,,
Galarian Slowking,91,stat_alignment,1,Calm,55.3%,Sp. Def,Attack,,,,,,
Galarian Slowking,91,stat_alignment,2,Sassy,17.9%,Sp. Def,Speed,,,,,,
Galarian Slowking,91,stat_alignment,3,Modest,10.0%,Sp. Atk,Attack,,,,,,
Galarian Slowking,91,stat_alignment,4,Bold,8.8%,Defense,Attack,,,,,,
Galarian Slowking,91,stat_alignment,5,Relaxed,4.0%,Defense,Speed,,,,,,
Galarian Slowking,91,stat_alignment,6,Quiet,3.6%,Sp. Atk,Speed,,,,,,
Galarian Slowking,91,stat_alignment,7,Mild,0.2%,Sp. Atk,Defense,,,,,,
Galarian Slowking,91,stat_alignment,8,Careful,0.1%,Sp. Def,Sp. Atk,,,,,,
Galarian Slowking,91,stat_alignment,9,Gentle,0.0%,Sp. Def,Defense,,,,,,
Galarian Slowking,91,stat_alignment,10,Timid,0.0%,Speed,Attack,,,,,,
Galarian Slowking,91,stat_points,1,,23.1%,,,32,0,2,0,32,0
Galarian Slowking,91,stat_points,2,,9.7%,,,32,0,0,2,32,0
Galarian Slowking,91,stat_points,3,,7.5%,,,31,0,5,0,30,0
Galarian Slowking,91,stat_points,4,,4.9%,,,31,0,3,0,32,0
Galarian Slowking,91,stat_points,5,,4.2%,,,32,0,32,0,2,0
Galarian Slowking,91,stat_points,6,,3.3%,,,31,0,0,3,32,0
Galarian Slowking,91,stat_points,7,,2.6%,,,32,0,0,32,2,0
Galarian Slowking,91,stat_points,8,,2.1%,,,32,0,2,32,0,0
Galarian Slowking,91,stat_points,9,,2.0%,,,32,0,4,0,30,0
Galarian Slowking,91,stat_points,10,,2.0%,,,32,0,0,0,32,0
Galarian Slowking,91,ability,1,Regenerator,99.1%,,,,,,,,
Galarian Slowking,91,ability,2,Own Tempo,0.5%,,,,,,,,
Galarian Slowking,91,ability,3,Curious Medicine,0.4%,,,,,,,,
