pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Garbodor,224,move,1,Gunk Shot,66.8%,,,,,,,,
Garbodor,224,move,2,Explosion,53.7%,,,,,,,,
Garbodor,224,move,3,Toxic Spikes,35.9%,,,,,,,,
Garbodor,224,move,4,Stomping Tantrum,32.8%,,,,,,,,
Garbodor,224,move,5,Toxic,29.6%,,,,,,,,
Garbodor,224,move,6,Drain Punch,25.2%,,,,,,,,
Garbodor,224,move,7,Clear Smog,17.5%,,,,,,,,
Garbodor,224,move,8,Pain Split,14.1%,,,,,,,,
Garbodor,224,move,9,Seed Bomb,12.0%,,,,,,,,
Garbodor,224,move,10,Protect,11.6%,,,,,,,,
Garbodor,224,held_item,1,Focus Sash,30.9%,,,,,,,,
Garbodor,224,held_item,2,Leftovers,13.9%,,,,,,,,
Garbodor,224,held_item,3,Sitrus Berry,12.1%,,,,,,,,
Garbodor,224,held_item,4,Shuca Berry,10.8%,,,,,,,,
Garbodor,224,held_item,5,Light Ball,7.1%,,,,,,,,
Garbodor,224,held_item,6,Life Orb,6.1%,,,,,,,,
Garbodor,224,held_item,7,Lum Berry,4.3%,,,,,,,,
Garbodor,224,held_item,8,Soft Sand,2.2%,,,,,,,,
Garbodor,224,held_item,9,Quick Claw,2.0%,,,,,,,,
Garbodor,224,held_item,10,Muscle Band,1.8%,,,,,,,,
Garbodor,224,teammate,1,Garchomp,,,,,,,,,
Garbodor,224,teammate,2,Raichu,,,,,,,,,
Garbodor,224,teammate,3,Gyarados,,,,,,,,,
Garbodor,224,teammate,4,Scolipede,,,,,,,,,
Garbodor,224,teammate,5,Bastiodon,,,,,,,,,
Garbodor,224,teammate,6,Froslass,,,,,,,,,
Garbodor,224,teammate,7,Scrafty,,,,,,,,,
Garbodor,224,teammate,8,Staraptor,,,,,,,,,
Garbodor,224,teammate,9,Basculegion Male,,,,,,,,,
Garbodor,224,teammate,10,Vanilluxe,,,,,,,,,
Garbodor,224,stat_alignment,1,Adamant,41.2%,Attack,Sp. Atk,,,,,,
Garbodor,224,stat_alignment,2,Impish,23.4%,Defense,Sp. Atk,,,,,,
Garbodor,224,stat_alignment,3,Jolly,17.9%,Speed,Sp. Atk,,,,,,
Garbodor,224,stat_alignment,4,Sassy,4.6%,Sp. Def,Speed,,,,,,
Garbodor,224,stat_alignment,5,Calm,3.0%,Sp. Def,Attack,,,,,,
Garbodor,224,stat_alignment,6,Bold,2.2%,Defense,Attack,,,,,,
Garbodor,224,stat_alignment,7,Careful,2.2%,Sp. Def,Sp. Atk,,,,,,
Garbodor,224,stat_alignment,8,Relaxed,1.8%,Defense,Speed,,,,,,
Garbodor,224,stat_alignment,9,Serious,0.8%,,,,,,,,
Garbodor,224,stat_alignment,10,Brave,0.8%,Attack,Speed,,,,,,
Garbodor,224,stat_points,1,,24.6%,,,2,32,0,0,0,32
Garbodor,224,stat_points,2,,8.0%,,,32,0,32,0,2,0
Garbodor,224,stat_points,3,,7.8%,,,32,0,32,0,0,2
Garbodor,224,stat_points,4,,3.7%,,,32,0,17,0,17,0
Garbodor,224,stat_points,5,,3.6%,,,32,32,0,0,0,2
Garbodor,224,stat_points,6,,2.8%,,,20,25,2,0,4,15
Garbodor,224,stat_points,7,,2.7%,,,10,20,14,0,22,0
Garbodor,224,stat_points,8,,2.6%,,,0,32,2,0,0,32
Garbodor,224,stat_points,9,,2.4%,,,24,32,0,0,0,10
Garbodor,224,stat_points,10,,2.3%,,,32,32,0,0,2,0
Garbodor,224,stat_points,11,,2.1%,,,32,0,2,0,32,0
Garbodor,224,stat_points,12,,1.7%,,,32,2,32,0,0,0
Garbodor,224,ability,1,Weak Armor,66.1%,,,,,,,,
Garbodor,224,ability,2,Aftermath,30.8%,,,,,,,,
Garbodor,224,ability,3,Stench,3.1%,,,,,,,,
