pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Garchomp,1,move,1,Earthquake,99.5%,,,,,,,,
Garchomp,1,move,2,Outrage,49.0%,,,,,,,,
Garchomp,1,move,3,Stealth Rock,47.2%,,,,,,,,
Garchomp,1,move,4,Rock Tomb,36.1%,,,,,,,,
Garchomp,1,move,5,Scale Shot,31.3%,,,,,,,,
Garchomp,1,move,6,Swords Dance,23.4%,,,,,,,,
Garchomp,1,move,7,Dragon Tail,21.2%,,,,,,,,
Garchomp,1,move,8,Rock Slide,19.7%,,,,,,,,
Garchomp,1,move,9,Poison Jab,16.6%,,,,,,,,
Garchomp,1,move,10,Spikes,14.3%,,,,,,,,
Garchomp,1,held_item,1,Focus Sash,38.7%,,,,,,,,
Garchomp,1,held_item,2,Choice Scarf,26.5%,,,,,,,,
Garchomp,1,held_item,3,Sitrus Berry,19.7%,,,,,,,,
Garchomp,1,held_item,4,Lum Berry,4.9%,,,,,,,,
Garchomp,1,held_item,5,Life Orb,4.8%,,,,,,,,
Garchomp,1,held_item,6,Garchompite,1.0%,,,,,,,,
Garchomp,1,held_item,7,Leftovers,0.9%,,,,,,,,
Garchomp,1,held_item,8,Yache Berry,0.7%,,,,,,,,
Garchomp,1,held_item,9,Haban Berry,0.5%,,,,,,,,
Garchomp,1,held_item,10,Quick Claw,0.3%,,,,,,,,
Garchomp,1,teammate,1,Mimikyu,,,,,,,,,
Garchomp,1,teammate,2,Meowscarada,,,,,,,,,
Garchomp,1,teammate,3,Archaludon,,,,,,,,,
Garchomp,1,teammate,4,Raichu,,,,,,,,,
Garchomp,1,teammate,5,Metagross,,,,,,,,,
Garchomp,1,teammate,6,Charizard,,,,,,,,,
Garchomp,1,teammate,7,Staraptor,,,,,,,,,
Garchomp,1,teammate,8,Corviknight,,,,,,,,,
Garchomp,1,teammate,9,Alolan Ninetales,,,,,,,,,
Garchomp,1,teammate,10,Blaziken,,,,,,,,,
Garchomp,1,stat_alignment,1,Jolly,58.9%,Speed,Sp. Atk,,,,,,
Garchomp,1,stat_alignment,2,Adamant,24.5%,Attack,Sp. Atk,,,,,,
Garchomp,1,stat_alignment,3,Impish,13.4%,Defense,Sp. Atk,,,,,,
Garchomp,1,stat_alignment,4,Careful,1.6%,Sp. Def,Sp. Atk,,,,,,
Garchomp,1,stat_alignment,5,Naive,0.4%,Speed,Sp. Def,,,,,,
Garchomp,1,stat_alignment,6,Naughty,0.3%,Attack,Sp. Def,,,,,,
Garchomp,1,stat_alignment,7,Bold,0.2%,Defense,Attack,,,,,,
Garchomp,1,stat_alignment,8,Hasty,0.2%,Speed,Defense,,,,,,
Garchomp,1,stat_alignment,9,Lonely,0.1%,Attack,Defense,,,,,,
Garchomp,1,stat_alignment,10,Brave,0.1%,Attack,Speed,,,,,,
Garchomp,1,stat_points,1,,56.3%,,,2,32,0,0,0,32
Garchomp,1,stat_points,2,,7.6%,,,0,32,2,0,0,32
Garchomp,1,stat_points,3,,3.7%,,,32,0,32,0,0,2
Garchomp,1,stat_points,4,,3.1%,,,0,32,0,0,2,32
Garchomp,1,stat_points,5,,2.9%,,,0,32,1,0,1,32
Garchomp,1,stat_points,6,,2.0%,,,32,0,32,0,2,0
Garchomp,1,stat_points,7,,1.5%,,,0,30,4,0,0,32
Garchomp,1,stat_points,8,,1.4%,,,0,32,0,0,0,32
Garchomp,1,stat_points,9,,1.4%,,,32,0,25,0,0,9
Garchomp,1,stat_points,10,,0.8%,,,32,0,30,0,0,4
Garchomp,1,stat_points,11,,0.7%,,,32,2,32,0,0,0
Garchomp,1,stat_points,12,,0.6%,,,1,32,1,0,0,32
Garchomp,1,ability,1,Rough Skin,99.2%,,,,,,,,
Garchomp,1,ability,2,Sand Veil,0.8%,,,,,,,,
