pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gardevoir,64,move,1,Vacuum Wave,60.3%,,,,,,,,
Gardevoir,64,move,2,Moonblast,51.1%,,,,,,,,
Gardevoir,64,move,3,Hyper Voice,46.3%,,,,,,,,
Gardevoir,64,move,4,Thunderbolt,45.2%,,,,,,,,
Gardevoir,64,move,5,Psychic,35.0%,,,,,,,,
Gardevoir,64,move,6,Mystical Fire,29.5%,,,,,,,,
Gardevoir,64,move,7,Energy Ball,27.2%,,,,,,,,
Gardevoir,64,move,8,Psyshock,20.8%,,,,,,,,
Gardevoir,64,move,9,Calm Mind,15.5%,,,,,,,,
Gardevoir,64,move,10,Psychic Noise,12.2%,,,,,,,,
Gardevoir,64,held_item,1,Gardevoirite,56.7%,,,,,,,,
Gardevoir,64,held_item,2,Focus Sash,19.5%,,,,,,,,
Gardevoir,64,held_item,3,Choice Scarf,10.1%,,,,,,,,
Gardevoir,64,held_item,4,Life Orb,2.1%,,,,,,,,
Gardevoir,64,held_item,5,Expert Belt,2.1%,,,,,,,,
Gardevoir,64,held_item,6,Sitrus Berry,1.6%,,,,,,,,
Gardevoir,64,held_item,7,Fairy Feather,1.3%,,,,,,,,
Gardevoir,64,held_item,8,Quick Claw,1.1%,,,,,,,,
Gardevoir,64,held_item,9,Wise Glasses,0.8%,,,,,,,,
Gardevoir,64,held_item,10,Leftovers,0.6%,,,,,,,,
Gardevoir,64,teammate,1,Garchomp,,,,,,,,,
Gardevoir,64,teammate,2,Meowscarada,,,,,,,,,
Gardevoir,64,teammate,3,Corviknight,,,,,,,,,
Gardevoir,64,teammate,4,Mimikyu,,,,,,,,,
Gardevoir,64,teammate,5,Archaludon,,,,,,,,,
Gardevoir,64,teammate,6,Metagross,,,,,,,,,
Gardevoir,64,teammate,7,Blaziken,,,,,,,,,
Gardevoir,64,teammate,8,Raichu,,,,,,,,,
Gardevoir,64,teammate,9,Staraptor,,,,,,,,,
Gardevoir,64,teammate,10,Charizard,,,,,,,,,
Gardevoir,64,stat_alignment,1,Modest,62.2%,Sp. Atk,Attack,,,,,,
Gardevoir,64,stat_alignment,2,Timid,32.3%,Speed,Attack,,,,,,
Gardevoir,64,stat_alignment,3,Bold,1.8%,Defense,Attack,,,,,,
Gardevoir,64,stat_alignment,4,Quiet,1.3%,Sp. Atk,Speed,,,,,,
Gardevoir,64,stat_alignment,5,Calm,1.1%,Sp. Def,Attack,,,,,,
Gardevoir,64,stat_alignment,6,Relaxed,0.3%,Defense,Speed,,,,,,
Gardevoir,64,stat_alignment,7,Mild,0.3%,Sp. Atk,Defense,,,,,,
Gardevoir,64,stat_alignment,8,Hasty,0.3%,Speed,Defense,,,,,,
Gardevoir,64,stat_alignment,9,Naive,0.2%,Speed,Sp. Def,,,,,,
Gardevoir,64,stat_alignment,10,Sassy,0.1%,Sp. Def,Speed,,,,,,
Gardevoir,64,stat_points,1,,38.2%,,,2,0,0,32,0,32
Gardevoir,64,stat_points,2,,6.6%,,,32,0,1,5,0,18
Gardevoir,64,stat_points,3,,5.0%,,,0,0,2,32,0,32
Gardevoir,64,stat_points,4,,3.8%,,,0,0,0,32,2,32
Gardevoir,64,stat_points,5,,2.3%,,,0,0,9,32,0,25
Gardevoir,64,stat_points,6,,2.3%,,,32,0,0,32,0,2
Gardevoir,64,stat_points,7,,1.6%,,,32,0,2,32,0,0
Gardevoir,64,stat_points,8,,1.5%,,,0,0,10,32,0,24
Gardevoir,64,stat_points,9,,1.4%,,,0,0,0,32,0,32
Gardevoir,64,stat_points,10,,1.3%,,,32,0,17,15,1,1
Gardevoir,64,stat_points,11,,1.1%,,,32,0,18,15,0,1
Gardevoir,64,stat_points,12,,1.1%,,,11,0,0,32,0,23
Gardevoir,64,ability,1,Trace,93.8%,,,,,,,,
Gardevoir,64,ability,2,Synchronize,5.1%,,,,,,,,
Gardevoir,64,ability,3,Telepathy,1.2%,,,,,,,,
