pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Garganacl,146,move,1,Salt Cure,92.0%,,,,,,,,
Garganacl,146,move,2,Recover,84.5%,,,,,,,,
Garganacl,146,move,3,Iron Defense,49.8%,,,,,,,,
Garganacl,146,move,4,Body Press,44.3%,,,,,,,,
Garganacl,146,move,5,Protect,28.9%,,,,,,,,
Garganacl,146,move,6,Stealth Rock,27.4%,,,,,,,,
Garganacl,146,move,7,Earthquake,14.6%,,,,,,,,
Garganacl,146,move,8,Fissure,9.0%,,,,,,,,
Garganacl,146,move,9,Explosion,8.3%,,,,,,,,
Garganacl,146,move,10,Substitute,5.1%,,,,,,,,
Garganacl,146,held_item,1,Leftovers,61.5%,,,,,,,,
Garganacl,146,held_item,2,Sitrus Berry,17.8%,,,,,,,,
Garganacl,146,held_item,3,Quick Claw,4.8%,,,,,,,,
Garganacl,146,held_item,4,Life Orb,4.0%,,,,,,,,
Garganacl,146,held_item,5,Bright Powder,2.9%,,,,,,,,
Garganacl,146,held_item,6,Chople Berry,1.3%,,,,,,,,
Garganacl,146,held_item,7,Focus Sash,1.1%,,,,,,,,
Garganacl,146,held_item,8,Shuca Berry,0.6%,,,,,,,,
Garganacl,146,held_item,9,Zoom Lens,0.6%,,,,,,,,
Garganacl,146,held_item,10,Mental Herb,0.5%,,,,,,,,
Garganacl,146,teammate,1,Garchomp,,,,,,,,,
Garganacl,146,teammate,2,Meowscarada,,,,,,,,,
Garganacl,146,teammate,3,Staraptor,,,,,,,,,
Garganacl,146,teammate,4,Raichu,,,,,,,,,
Garganacl,146,teammate,5,Dragonite,,,,,,,,,
Garganacl,146,teammate,6,Charizard,,,,,,,,,
Garganacl,146,teammate,7,Basculegion Male,,,,,,,,,
Garganacl,146,teammate,8,Mimikyu,,,,,,,,,
Garganacl,146,teammate,9,Archaludon,,,,,,,,,
Garganacl,146,teammate,10,Kingambit,,,,,,,,,
Garganacl,146,stat_alignment,1,Impish,44.9%,Defense,Sp. Atk,,,,,,
Garganacl,146,stat_alignment,2,Careful,26.9%,Sp. Def,Sp. Atk,,,,,,
Garganacl,146,stat_alignment,3,Relaxed,6.5%,Defense,Speed,,,,,,
Garganacl,146,stat_alignment,4,Adamant,6.4%,Attack,Sp. Atk,,,,,,
Garganacl,146,stat_alignment,5,Brave,6.4%,Attack,Speed,,,,,,
Garganacl,146,stat_alignment,6,Sassy,3.9%,Sp. Def,Speed,,,,,,
Garganacl,146,stat_alignment,7,Bold,1.7%,Defense,Attack,,,,,,
Garganacl,146,stat_alignment,8,Naughty,0.7%,Attack,Sp. Def,,,,,,
Garganacl,146,stat_alignment,9,Lax,0.6%,Defense,Sp. Def,,,,,,
Garganacl,146,stat_alignment,10,Calm,0.6%,Sp. Def,Attack,,,,,,
Garganacl,146,stat_points,1,,22.0%,,,32,0,2,0,32,0
Garganacl,146,stat_points,2,,21.2%,,,32,0,32,0,2,0
Garganacl,146,stat_points,3,,4.6%,,,2,0,32,0,32,0
Garganacl,146,stat_points,4,,3.1%,,,32,0,32,0,0,0
Garganacl,146,stat_points,5,,3.1%,,,0,32,32,0,0,2
Garganacl,146,stat_points,6,,2.8%,,,32,0,20,0,14,0
Garganacl,146,stat_points,7,,2.4%,,,32,2,32,0,0,0
Garganacl,146,stat_points,8,,2.2%,,,32,0,32,0,0,2
Garganacl,146,stat_points,9,,1.9%,,,2,32,32,0,0,0
Garganacl,146,stat_points,10,,1.8%,,,32,0,0,0,32,0
Garganacl,146,stat_points,11,,1.8%,,,32,32,0,0,2,0
Garganacl,146,stat_points,12,,1.7%,,,32,32,2,0,0,0
Garganacl,146,ability,1,Purifying Salt,84.9%,,,,,,,,
Garganacl,146,ability,2,Sturdy,10.4%,,,,,,,,
Garganacl,146,ability,3,Clear Body,4.7%,,,,,,,,
