pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gliscor,97,move,1,Earthquake,92.4%,,,,,,,,
Gliscor,97,move,2,Toxic,38.9%,,,,,,,,
Gliscor,97,move,3,Stealth Rock,38.5%,,,,,,,,
Gliscor,97,move,4,U-turn,24.0%,,,,,,,,
Gliscor,97,move,5,Dual Wingbeat,22.2%,,,,,,,,
Gliscor,97,move,6,Protect,21.9%,,,,,,,,
Gliscor,97,move,7,Knock Off,17.3%,,,,,,,,
Gliscor,97,move,8,Ice Fang,17.2%,,,,,,,,
Gliscor,97,move,9,Swords Dance,16.2%,,,,,,,,
Gliscor,97,move,10,Substitute,10.3%,,,,,,,,
Gliscor,97,held_item,1,Leftovers,30.5%,,,,,,,,
Gliscor,97,held_item,2,Sitrus Berry,18.8%,,,,,,,,
Gliscor,97,held_item,3,Focus Sash,11.8%,,,,,,,,
Gliscor,97,held_item,4,Choice Scarf,6.5%,,,,,,,,
Gliscor,97,held_item,5,Life Orb,5.6%,,,,,,,,
Gliscor,97,held_item,6,Yache Berry,3.6%,,,,,,,,
Gliscor,97,held_item,7,Bright Powder,3.5%,,,,,,,,
Gliscor,97,held_item,8,Expert Belt,2.8%,,,,,,,,
Gliscor,97,held_item,9,Quick Claw,2.7%,,,,,,,,
Gliscor,97,held_item,10,Lum Berry,2.0%,,,,,,,,
Gliscor,97,teammate,1,Raichu,,,,,,,,,
Gliscor,97,teammate,2,Meowscarada,,,,,,,,,
Gliscor,97,teammate,3,Metagross,,,,,,,,,
Gliscor,97,teammate,4,Staraptor,,,,,,,,,
Gliscor,97,teammate,5,Charizard,,,,,,,,,
Gliscor,97,teammate,6,Archaludon,,,,,,,,,
Gliscor,97,teammate,7,Mimikyu,,,,,,,,,
Gliscor,97,teammate,8,Blaziken,,,,,,,,,
Gliscor,97,teammate,9,Alolan Ninetales,,,,,,,,,
Gliscor,97,teammate,10,Skeledirge,,,,,,,,,
Gliscor,97,stat_alignment,1,Adamant,33.9%,Attack,Sp. Atk,,,,,,
Gliscor,97,stat_alignment,2,Jolly,23.8%,Speed,Sp. Atk,,,,,,
Gliscor,97,stat_alignment,3,Impish,23.3%,Defense,Sp. Atk,,,,,,
Gliscor,97,stat_alignment,4,Careful,13.7%,Sp. Def,Sp. Atk,,,,,,
Gliscor,97,stat_alignment,5,Relaxed,1.4%,Defense,Speed,,,,,,
Gliscor,97,stat_alignment,6,Naughty,0.8%,Attack,Sp. Def,,,,,,
Gliscor,97,stat_alignment,7,Naive,0.7%,Speed,Sp. Def,,,,,,
Gliscor,97,stat_alignment,8,Bold,0.5%,Defense,Attack,,,,,,
Gliscor,97,stat_alignment,9,Brave,0.4%,Attack,Speed,,,,,,
Gliscor,97,stat_alignment,10,Hasty,0.4%,Speed,Defense,,,,,,
Gliscor,97,stat_points,1,,13.8%,,,2,32,0,0,0,32
Gliscor,97,stat_points,2,,6.1%,,,32,0,2,0,32,0
Gliscor,97,stat_points,3,,5.1%,,,32,0,32,0,2,0
Gliscor,97,stat_points,4,,4.2%,,,0,32,2,0,0,32
Gliscor,97,stat_points,5,,2.9%,,,1,32,1,0,0,32
Gliscor,97,stat_points,6,,2.8%,,,32,0,32,0,0,2
Gliscor,97,stat_points,7,,2.8%,,,32,32,2,0,0,0
Gliscor,97,stat_points,8,,2.7%,,,32,2,32,0,0,0
Gliscor,97,stat_points,9,,2.3%,,,0,32,0,0,2,32
Gliscor,97,stat_points,10,,2.1%,,,2,32,0,0,32,0
Gliscor,97,stat_points,11,,1.9%,,,32,32,0,0,0,2
Gliscor,97,stat_points,12,,1.7%,,,1,32,0,0,1,32
Gliscor,97,ability,1,Hyper Cutter,46.0%,,,,,,,,
Gliscor,97,ability,2,Poison Heal,44.1%,,,,,,,,
Gliscor,97,ability,3,Sand Veil,9.9%,,,,,,,,
