pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Goodra,149,move,1,Draco Meteor,51.9%,,,,,,,,
Goodra,149,move,2,Thunderbolt,41.1%,,,,,,,,
Goodra,149,move,3,Flamethrower,35.2%,,,,,,,,
Goodra,149,move,4,Giga Drain,33.1%,,,,,,,,
Goodra,149,move,5,Ice Beam,21.3%,,,,,,,,
Goodra,149,move,6,Acid Spray,18.8%,,,,,,,,
Goodra,149,move,7,Dragon Pulse,18.5%,,,,,,,,
Goodra,149,move,8,Rest,17.7%,,,,,,,,
Goodra,149,move,9,Toxic,15.4%,,,,,,,,
Goodra,149,move,10,Thunder,13.8%,,,,,,,,
Goodra,149,held_item,1,Leftovers,25.6%,,,,,,,,
Goodra,149,held_item,2,Sitrus Berry,22.1%,,,,,,,,
Goodra,149,held_item,3,White Herb,9.0%,,,,,,,,
Goodra,149,held_item,4,Expert Belt,8.2%,,,,,,,,
Goodra,149,held_item,5,Life Orb,6.9%,,,,,,,,
Goodra,149,held_item,6,Haban Berry,5.1%,,,,,,,,
Goodra,149,held_item,7,Lum Berry,3.1%,,,,,,,,
Goodra,149,held_item,8,Chesto Berry,2.7%,,,,,,,,
Goodra,149,held_item,9,Quick Claw,2.5%,,,,,,,,
Goodra,149,held_item,10,Choice Scarf,2.0%,,,,,,,,
Goodra,149,teammate,1,Swampert,,,,,,,,,
Goodra,149,teammate,2,Meowscarada,,,,,,,,,
Goodra,149,teammate,3,Raichu,,,,,,,,,
Goodra,149,teammate,4,Metagross,,,,,,,,,
Goodra,149,teammate,5,Garchomp,,,,,,,,,
Goodra,149,teammate,6,Pelipper,,,,,,,,,
Goodra,149,teammate,7,Archaludon,,,,,,,,,
Goodra,149,teammate,8,Mimikyu,,,,,,,,,
Goodra,149,teammate,9,Corviknight,,,,,,,,,
Goodra,149,teammate,10,Charizard,,,,,,,,,
Goodra,149,stat_alignment,1,Modest,45.6%,Sp. Atk,Attack,,,,,,
Goodra,149,stat_alignment,2,Calm,23.4%,Sp. Def,Attack,,,,,,
Goodra,149,stat_alignment,3,Bold,10.0%,Defense,Attack,,,,,,
Goodra,149,stat_alignment,4,Quiet,5.0%,Sp. Atk,Speed,,,,,,
Goodra,149,stat_alignment,5,Sassy,2.5%,Sp. Def,Speed,,,,,,
Goodra,149,stat_alignment,6,Timid,2.5%,Speed,Attack,,,,,,
Goodra,149,stat_alignment,7,Relaxed,2.0%,Defense,Speed,,,,,,
Goodra,149,stat_alignment,8,Adamant,1.8%,Attack,Sp. Atk,,,,,,
Goodra,149,stat_alignment,9,Careful,1.8%,Sp. Def,Sp. Atk,,,,,,
Goodra,149,stat_alignment,10,Impish,1.0%,Defense,Sp. Atk,,,,,,
Goodra,149,stat_points,1,,11.7%,,,32,0,0,32,2,0
Goodra,149,stat_points,2,,7.0%,,,32,0,0,32,0,2
Goodra,149,stat_points,3,,6.7%,,,32,0,0,2,32,0
Goodra,149,stat_points,4,,5.9%,,,32,0,2,0,32,0
Goodra,149,stat_points,5,,5.6%,,,32,0,2,32,0,0
Goodra,149,stat_points,6,,4.2%,,,32,0,32,0,2,0
Goodra,149,stat_points,7,,3.9%,,,2,0,0,32,32,0
Goodra,149,stat_points,8,,3.2%,,,0,0,0,32,32,2
Goodra,149,stat_points,9,,2.2%,,,32,0,32,2,0,0
Goodra,149,stat_points,10,,1.7%,,,2,0,0,32,0,32
Goodra,149,stat_points,11,,1.6%,,,26,0,0,32,0,8
Goodra,149,stat_points,12,,1.4%,,,32,0,1,30,1,2
Goodra,149,ability,1,Gooey,47.8%,,,,,,,,
Goodra,149,ability,2,Sap Sipper,35.2%,,,,,,,,
Goodra,149,ability,3,Hydration,17.0%,,,,,,,,
