pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gourgeist Jumbo Variety,193,move,1,Will-O-Wisp,63.9%,,,,,,,,
Gourgeist Jumbo Variety,193,move,2,Leech Seed,54.7%,,,,,,,,
Gourgeist Jumbo Variety,193,move,3,Poltergeist,53.0%,,,,,,,,
Gourgeist Jumbo Variety,193,move,4,Trick Room,44.6%,,,,,,,,
Gourgeist Jumbo Variety,193,move,5,Power Whip,30.8%,,,,,,,,
Gourgeist Jumbo Variety,193,move,6,Explosion,22.7%,,,,,,,,
Gourgeist Jumbo Variety,193,move,7,Shadow Sneak,22.2%,,,,,,,,
Gourgeist Jumbo Variety,193,move,8,Protect,20.5%,,,,,,,,
Gourgeist Jumbo Variety,193,move,9,Destiny Bond,16.3%,,,,,,,,
Gourgeist Jumbo Variety,193,move,10,Curse,15.3%,,,,,,,,
Gourgeist Jumbo Variety,193,held_item,1,Leftovers,36.4%,,,,,,,,
Gourgeist Jumbo Variety,193,held_item,2,Sitrus Berry,20.3%,,,,,,,,
Gourgeist Jumbo Variety,193,held_item,3,Focus Sash,15.5%,,,,,,,,
Gourgeist Jumbo Variety,193,held_item,4,Zoom Lens,4.0%,,,,,,,,
Gourgeist Jumbo Variety,193,held_item,5,Life Orb,3.1%,,,,,,,,
Gourgeist Jumbo Variety,193,held_item,6,Mental Herb,3.0%,,,,,,,,
Gourgeist Jumbo Variety,193,held_item,7,Kasib Berry,2.2%,,,,,,,,
Gourgeist Jumbo Variety,193,held_item,8,Big Root,2.1%,,,,,,,,
Gourgeist Jumbo Variety,193,held_item,9,Yache Berry,1.5%,,,,,,,,
Gourgeist Jumbo Variety,193,held_item,10,Choice Scarf,1.4%,,,,,,,,
Gourgeist Jumbo Variety,193,teammate,1,Mawile,,,,,,,,,
Gourgeist Jumbo Variety,193,teammate,2,Garchomp,,,,,,,,,
Gourgeist Jumbo Variety,193,teammate,3,Raichu,,,,,,,,,
Gourgeist Jumbo Variety,193,teammate,4,Archaludon,,,,,,,,,
Gourgeist Jumbo Variety,193,teammate,5,Basculegion Male,,,,,,,,,
Gourgeist Jumbo Variety,193,teammate,6,Hippowdon,,,,,,,,,
Gourgeist Jumbo Variety,193,teammate,7,Gengar,,,,,,,,,
Gourgeist Jumbo Variety,193,teammate,8,Staraptor,,,,,,,,,
Gourgeist Jumbo Variety,193,teammate,9,Mimikyu,,,,,,,,,
Gourgeist Jumbo Variety,193,teammate,10,Metagross,,,,,,,,,
Gourgeist Jumbo Variety,193,stat_alignment,1,Impish,37.8%,Defense,Sp. Atk,,,,,,
Gourgeist Jumbo Variety,193,stat_alignment,2,Brave,14.7%,Attack,Speed,,,,,,
Gourgeist Jumbo Variety,193,stat_alignment,3,Relaxed,12.2%,Defense,Speed,,,,,,
Gourgeist Jumbo Variety,193,stat_alignment,4,Adamant,10.3%,Attack,Sp. Atk,,,,,,
Gourgeist Jumbo Variety,193,stat_alignment,5,Careful,9.2%,Sp. Def,Sp. Atk,,,,,,
Gourgeist Jumbo Variety,193,stat_alignment,6,Bold,6.4%,Defense,Attack,,,,,,
Gourgeist Jumbo Variety,193,stat_alignment,7,Sassy,6.3%,Sp. Def,Speed,,,,,,
Gourgeist Jumbo Variety,193,stat_alignment,8,Jolly,1.7%,Speed,Sp. Atk,,,,,,
Gourgeist Jumbo Variety,193,stat_alignment,9,Calm,0.8%,Sp. Def,Attack,,,,,,
Gourgeist Jumbo Variety,193,stat_alignment,10,Naughty,0.3%,Attack,Sp. Def,,,,,,
Gourgeist Jumbo Variety,193,stat_points,1,,25.1%,,,32,0,32,0,2,0
Gourgeist Jumbo Variety,193,stat_points,2,,9.0%,,,32,32,2,0,0,0
Gourgeist Jumbo Variety,193,stat_points,3,,5.6%,,,32,2,32,0,0,0
Gourgeist Jumbo Variety,193,stat_points,4,,5.1%,,,32,32,0,0,2,0
Gourgeist Jumbo Variety,193,stat_points,5,,4.6%,,,31,0,32,0,3,0
Gourgeist Jumbo Variety,193,stat_points,6,,4.5%,,,32,0,2,0,32,0
Gourgeist Jumbo Variety,193,stat_points,7,,3.5%,,,29,0,21,0,16,0
Gourgeist Jumbo Variety,193,stat_points,8,,2.4%,,,0,0,32,0,32,2
Gourgeist Jumbo Variety,193,stat_points,9,,2.2%,,,32,0,32,0,0,0
Gourgeist Jumbo Variety,193,stat_points,10,,1.9%,,,31,0,3,0,32,0
Gourgeist Jumbo Variety,193,ability,1,Insomnia,53.3%,,,,,,,,
Gourgeist Jumbo Variety,193,ability,2,Frisk,44.3%,,,,,,,,
Gourgeist Jumbo Variety,193,ability,3,Pickup,2.3%,,,,,,,,
