pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gourgeist Large Variety,223,move,1,Poltergeist,62.1%,,,,,,,,
Gourgeist Large Variety,223,move,2,Leech Seed,61.7%,,,,,,,,
Gourgeist Large Variety,223,move,3,Will-O-Wisp,52.4%,,,,,,,,
Gourgeist Large Variety,223,move,4,Trick Room,31.7%,,,,,,,,
Gourgeist Large Variety,223,move,5,Power Whip,27.2%,,,,,,,,
Gourgeist Large Variety,223,move,6,Explosion,26.5%,,,,,,,,
Gourgeist Large Variety,223,move,7,Protect,25.0%,,,,,,,,
Gourgeist Large Variety,223,move,8,Destiny Bond,17.2%,,,,,,,,
Gourgeist Large Variety,223,move,9,Shadow Sneak,14.1%,,,,,,,,
Gourgeist Large Variety,223,move,10,Curse,12.6%,,,,,,,,
Gourgeist Large Variety,223,held_item,1,Leftovers,27.3%,,,,,,,,
Gourgeist Large Variety,223,held_item,2,Focus Sash,20.0%,,,,,,,,
Gourgeist Large Variety,223,held_item,3,Sitrus Berry,19.4%,,,,,,,,
Gourgeist Large Variety,223,held_item,4,Choice Scarf,11.7%,,,,,,,,
Gourgeist Large Variety,223,held_item,5,Quick Claw,3.3%,,,,,,,,
Gourgeist Large Variety,223,held_item,6,Lum Berry,3.0%,,,,,,,,
Gourgeist Large Variety,223,held_item,7,Bright Powder,2.8%,,,,,,,,
Gourgeist Large Variety,223,held_item,8,Big Root,2.1%,,,,,,,,
Gourgeist Large Variety,223,held_item,9,Mental Herb,1.8%,,,,,,,,
Gourgeist Large Variety,223,held_item,10,Wide Lens,1.0%,,,,,,,,
Gourgeist Large Variety,223,teammate,1,Raichu,,,,,,,,,
Gourgeist Large Variety,223,teammate,2,Mawile,,,,,,,,,
Gourgeist Large Variety,223,teammate,3,Basculegion Male,,,,,,,,,
Gourgeist Large Variety,223,teammate,4,Garchomp,,,,,,,,,
Gourgeist Large Variety,223,teammate,5,Dragonite,,,,,,,,,
Gourgeist Large Variety,223,teammate,6,Staraptor,,,,,,,,,
Gourgeist Large Variety,223,teammate,7,Kingambit,,,,,,,,,
Gourgeist Large Variety,223,teammate,8,Archaludon,,,,,,,,,
Gourgeist Large Variety,223,teammate,9,Mimikyu,,,,,,,,,
Gourgeist Large Variety,223,teammate,10,Starmie,,,,,,,,,
Gourgeist Large Variety,223,stat_alignment,1,Impish,41.4%,Defense,Sp. Atk,,,,,,
Gourgeist Large Variety,223,stat_alignment,2,Brave,22.3%,Attack,Speed,,,,,,
Gourgeist Large Variety,223,stat_alignment,3,Hasty,7.3%,Speed,Defense,,,,,,
Gourgeist Large Variety,223,stat_alignment,4,Sassy,6.9%,Sp. Def,Speed,,,,,,
Gourgeist Large Variety,223,stat_alignment,5,Adamant,6.7%,Attack,Sp. Atk,,,,,,
Gourgeist Large Variety,223,stat_alignment,6,Relaxed,4.8%,Defense,Speed,,,,,,
Gourgeist Large Variety,223,stat_alignment,7,Careful,2.9%,Sp. Def,Sp. Atk,,,,,,
Gourgeist Large Variety,223,stat_alignment,8,Bold,2.4%,Defense,Attack,,,,,,
Gourgeist Large Variety,223,stat_alignment,9,Calm,2.1%,Sp. Def,Attack,,,,,,
Gourgeist Large Variety,223,stat_alignment,10,Jolly,1.9%,Speed,Sp. Atk,,,,,,
Gourgeist Large Variety,223,stat_points,1,,16.7%,,,32,0,32,0,2,0
Gourgeist Large Variety,223,stat_points,2,,11.7%,,,2,32,0,0,0,32
Gourgeist Large Variety,223,stat_points,3,,7.4%,,,32,32,2,0,0,0
Gourgeist Large Variety,223,stat_points,4,,7.2%,,,0,32,2,0,32,0
Gourgeist Large Variety,223,stat_points,5,,5.8%,,,32,0,32,0,0,2
Gourgeist Large Variety,223,stat_points,6,,4.9%,,,32,2,32,0,0,0
Gourgeist Large Variety,223,stat_points,7,,4.2%,,,32,0,2,0,32,0
Gourgeist Large Variety,223,stat_points,8,,3.1%,,,0,32,32,0,2,0
Gourgeist Large Variety,223,stat_points,9,,3.1%,,,31,0,32,0,0,2
Gourgeist Large Variety,223,stat_points,10,,2.9%,,,32,32,0,0,2,0
Gourgeist Large Variety,223,stat_points,11,,2.4%,,,2,32,32,0,0,0
Gourgeist Large Variety,223,stat_points,12,,2.4%,,,32,32,0,0,0,0
Gourgeist Large Variety,223,ability,1,Insomnia,49.1%,,,,,,,,
Gourgeist Large Variety,223,ability,2,Frisk,42.7%,,,,,,,,
Gourgeist Large Variety,223,ability,3,Pickup,8.2%,,,,,,,,
