pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gourgeist Small Variety,229,move,1,Will-O-Wisp,66.4%,,,,,,,,
Gourgeist Small Variety,229,move,2,Poltergeist,56.1%,,,,,,,,
Gourgeist Small Variety,229,move,3,Destiny Bond,37.3%,,,,,,,,
Gourgeist Small Variety,229,move,4,Trick,36.3%,,,,,,,,
Gourgeist Small Variety,229,move,5,Leech Seed,35.3%,,,,,,,,
Gourgeist Small Variety,229,move,6,Power Whip,33.2%,,,,,,,,
Gourgeist Small Variety,229,move,7,Shadow Sneak,20.5%,,,,,,,,
Gourgeist Small Variety,229,move,8,Substitute,17.8%,,,,,,,,
Gourgeist Small Variety,229,move,9,Protect,17.1%,,,,,,,,
Gourgeist Small Variety,229,move,10,Explosion,11.5%,,,,,,,,
Gourgeist Small Variety,229,held_item,1,Choice Scarf,37.3%,,,,,,,,
Gourgeist Small Variety,229,held_item,2,Leftovers,24.5%,,,,,,,,
Gourgeist Small Variety,229,held_item,3,Focus Sash,14.2%,,,,,,,,
Gourgeist Small Variety,229,held_item,4,Sitrus Berry,9.4%,,,,,,,,
Gourgeist Small Variety,229,held_item,5,Lum Berry,2.8%,,,,,,,,
Gourgeist Small Variety,229,held_item,6,Miracle Seed,2.5%,,,,,,,,
Gourgeist Small Variety,229,held_item,7,Life Orb,2.1%,,,,,,,,
Gourgeist Small Variety,229,held_item,8,Spell Tag,2.1%,,,,,,,,
Gourgeist Small Variety,229,held_item,9,Quick Claw,1.8%,,,,,,,,
Gourgeist Small Variety,229,held_item,10,Wide Lens,1.1%,,,,,,,,
Gourgeist Small Variety,229,teammate,1,Clefable,,,,,,,,,
Gourgeist Small Variety,229,teammate,2,Metagross,,,,,,,,,
Gourgeist Small Variety,229,teammate,3,Garchomp,,,,,,,,,
Gourgeist Small Variety,229,teammate,4,Kingambit,,,,,,,,,
Gourgeist Small Variety,229,teammate,5,Raichu,,,,,,,,,
Gourgeist Small Variety,229,teammate,6,Gyarados,,,,,,,,,
Gourgeist Small Variety,229,teammate,7,Primarina,,,,,,,,,
Gourgeist Small Variety,229,teammate,8,Gardevoir,,,,,,,,,
Gourgeist Small Variety,229,teammate,9,Blaziken,,,,,,,,,
Gourgeist Small Variety,229,teammate,10,Sneasler,,,,,,,,,
Gourgeist Small Variety,229,stat_alignment,1,Jolly,36.6%,Speed,Sp. Atk,,,,,,
Gourgeist Small Variety,229,stat_alignment,2,Adamant,17.5%,Attack,Sp. Atk,,,,,,
Gourgeist Small Variety,229,stat_alignment,3,Timid,11.7%,Speed,Attack,,,,,,
Gourgeist Small Variety,229,stat_alignment,4,Impish,11.7%,Defense,Sp. Atk,,,,,,
Gourgeist Small Variety,229,stat_alignment,5,Careful,6.6%,Sp. Def,Sp. Atk,,,,,,
Gourgeist Small Variety,229,stat_points,1,,18.3%,,,2,32,0,0,0,32
Gourgeist Small Variety,229,stat_points,2,,10.0%,,,1,32,1,0,0,32
Gourgeist Small Variety,229,stat_points,3,,6.8%,,,0,32,0,0,2,32
Gourgeist Small Variety,229,stat_points,4,,6.7%,,,32,0,32,0,2,0
Gourgeist Small Variety,229,stat_points,5,,4.5%,,,32,0,0,0,32,0
Gourgeist Small Variety,229,stat_points,6,,4.2%,,,2,0,32,0,0,32
Gourgeist Small Variety,229,stat_points,7,,4.0%,,,31,0,0,0,32,3
Gourgeist Small Variety,229,stat_points,8,,3.3%,,,32,0,2,0,0,32
Gourgeist Small Variety,229,stat_points,9,,3.2%,,,32,2,32,0,0,0
Gourgeist Small Variety,229,stat_points,10,,2.6%,,,31,0,3,0,1,31
Gourgeist Small Variety,229,stat_points,11,,2.4%,,,2,32,0,0,32,0
Gourgeist Small Variety,229,stat_points,12,,2.1%,,,15,0,1,0,18,32
Gourgeist Small Variety,229,ability,1,Frisk,66.4%,,,,,,,,
Gourgeist Small Variety,229,ability,2,Insomnia,32.0%,,,,,,,,
Gourgeist Small Variety,229,ability,3,Pickup,1.6%,,,,,,,,
