pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gourgeist,231,move,1,Will-O-Wisp,57.3%,,,,,,,,
Gourgeist,231,move,2,Poltergeist,49.8%,,,,,,,,
Gourgeist,231,move,3,Leech Seed,44.3%,,,,,,,,
Gourgeist,231,move,4,Power Whip,40.2%,,,,,,,,
Gourgeist,231,move,5,Trick,22.3%,,,,,,,,
Gourgeist,231,move,6,Explosion,21.6%,,,,,,,,
Gourgeist,231,move,7,Protect,20.7%,,,,,,,,
Gourgeist,231,move,8,Trick Room,19.7%,,,,,,,,
Gourgeist,231,move,9,Destiny Bond,16.9%,,,,,,,,
Gourgeist,231,move,10,Phantom Force,11.7%,,,,,,,,
Gourgeist,231,held_item,1,Leftovers,25.8%,,,,,,,,
Gourgeist,231,held_item,2,Choice Scarf,22.1%,,,,,,,,
Gourgeist,231,held_item,3,Sitrus Berry,13.0%,,,,,,,,
Gourgeist,231,held_item,4,Focus Sash,9.3%,,,,,,,,
Gourgeist,231,held_item,5,Coba Berry,5.9%,,,,,,,,
Gourgeist,231,held_item,6,Bright Powder,3.0%,,,,,,,,
Gourgeist,231,held_item,7,Quick Claw,2.6%,,,,,,,,
Gourgeist,231,held_item,8,Big Root,2.5%,,,,,,,,
Gourgeist,231,held_item,9,Occa Berry,2.3%,,,,,,,,
Gourgeist,231,held_item,10,Life Orb,2.1%,,,,,,,,
Gourgeist,231,teammate,1,Garchomp,,,,,,,,,
Gourgeist,231,teammate,2,Raichu,,,,,,,,,
Gourgeist,231,teammate,3,Blaziken,,,,,,,,,
Gourgeist,231,teammate,4,Tyranitar,,,,,,,,,
Gourgeist,231,teammate,5,Archaludon,,,,,,,,,
Gourgeist,231,teammate,6,Primarina,,,,,,,,,
Gourgeist,231,teammate,7,Mawile,,,,,,,,,
Gourgeist,231,teammate,8,Dragalge,,,,,,,,,
Gourgeist,231,teammate,9,Staraptor,,,,,,,,,
Gourgeist,231,teammate,10,Charizard,,,,,,,,,
Gourgeist,231,stat_alignment,1,Jolly,27.9%,Speed,Sp. Atk,,,,,,
Gourgeist,231,stat_alignment,2,Impish,22.1%,Defense,Sp. Atk,,,,,,
Gourgeist,231,stat_alignment,3,Adamant,11.5%,Attack,Sp. Atk,,,,,,
Gourgeist,231,stat_alignment,4,Bold,7.1%,Defense,Attack,,,,,,
Gourgeist,231,stat_alignment,5,Brave,6.9%,Attack,Speed,,,,,,
Gourgeist,231,stat_alignment,6,Careful,6.3%,Sp. Def,Sp. Atk,,,,,,
Gourgeist,231,stat_alignment,7,Timid,6.1%,Speed,Attack,,,,,,
Gourgeist,231,stat_alignment,8,Calm,4.0%,Sp. Def,Attack,,,,,,
Gourgeist,231,stat_alignment,9,Relaxed,3.7%,Defense,Speed,,,,,,
Gourgeist,231,stat_alignment,10,Sassy,2.4%,Sp. Def,Speed,,,,,,
Gourgeist,231,stat_points,1,,15.5%,,,32,0,32,0,2,0
Gourgeist,231,stat_points,2,,8.9%,,,2,32,0,0,0,32
Gourgeist,231,stat_points,3,,8.4%,,,1,32,1,0,0,32
Gourgeist,231,stat_points,4,,4.1%,,,0,32,0,0,2,32
Gourgeist,231,stat_points,5,,4.0%,,,32,0,0,0,15,19
Gourgeist,231,stat_points,6,,4.0%,,,32,0,32,0,0,0
Gourgeist,231,stat_points,7,,3.2%,,,32,0,3,0,31,0
Gourgeist,231,stat_points,8,,3.2%,,,32,0,2,0,32,0
Gourgeist,231,stat_points,9,,3.1%,,,0,32,2,0,0,32
Gourgeist,231,stat_points,10,,2.7%,,,0,32,1,0,1,32
Gourgeist,231,stat_points,11,,2.6%,,,2,0,32,0,32,0
Gourgeist,231,stat_points,12,,2.3%,,,2,32,0,0,32,0
Gourgeist,231,ability,1,Frisk,66.7%,,,,,,,,
Gourgeist,231,ability,2,Insomnia,30.5%,,,,,,,,
Gourgeist,231,ability,3,Pickup,2.9%,,,,,,,,
