pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Greninja,31,move,1,Ice Beam,88.4%,,,,,,,,
Greninja,31,move,2,Dark Pulse,79.1%,,,,,,,,
Greninja,31,move,3,Sludge Wave,56.9%,,,,,,,,
Greninja,31,move,4,Water Shuriken,49.2%,,,,,,,,
Greninja,31,move,5,Surf,44.6%,,,,,,,,
Greninja,31,move,6,Grass Knot,20.7%,,,,,,,,
Greninja,31,move,7,Hydro Pump,15.2%,,,,,,,,
Greninja,31,move,8,Mud Shot,6.7%,,,,,,,,
Greninja,31,move,9,U-turn,5.8%,,,,,,,,
Greninja,31,move,10,Taunt,5.7%,,,,,,,,
Greninja,31,held_item,1,Greninjite,40.7%,,,,,,,,
Greninja,31,held_item,2,Focus Sash,36.0%,,,,,,,,
Greninja,31,held_item,3,Choice Scarf,11.4%,,,,,,,,
Greninja,31,held_item,4,Life Orb,8.3%,,,,,,,,
Greninja,31,held_item,5,Expert Belt,1.0%,,,,,,,,
Greninja,31,held_item,6,Wise Glasses,0.3%,,,,,,,,
Greninja,31,held_item,7,King's Rock,0.3%,,,,,,,,
Greninja,31,held_item,8,Mystic Water,0.2%,,,,,,,,
Greninja,31,held_item,9,Sitrus Berry,0.2%,,,,,,,,
Greninja,31,held_item,10,Quick Claw,0.2%,,,,,,,,
Greninja,31,teammate,1,Garchomp,,,,,,,,,
Greninja,31,teammate,2,Mimikyu,,,,,,,,,
Greninja,31,teammate,3,Metagross,,,,,,,,,
Greninja,31,teammate,4,Charizard,,,,,,,,,
Greninja,31,teammate,5,Meowscarada,,,,,,,,,
Greninja,31,teammate,6,Corviknight,,,,,,,,,
Greninja,31,teammate,7,Archaludon,,,,,,,,,
Greninja,31,teammate,8,Blaziken,,,,,,,,,
Greninja,31,teammate,9,Hippowdon,,,,,,,,,
Greninja,31,teammate,10,Mawile,,,,,,,,,
Greninja,31,stat_alignment,1,Timid,49.5%,Speed,Attack,,,,,,
Greninja,31,stat_alignment,2,Modest,40.8%,Sp. Atk,Attack,,,,,,
Greninja,31,stat_alignment,3,Naive,5.0%,Speed,Sp. Def,,,,,,
Greninja,31,stat_alignment,4,Hasty,1.5%,Speed,Defense,,,,,,
Greninja,31,stat_alignment,5,Rash,0.9%,Sp. Atk,Sp. Def,,,,,,
Greninja,31,stat_alignment,6,Mild,0.9%,Sp. Atk,Defense,,,,,,
Greninja,31,stat_alignment,7,Jolly,0.6%,Speed,Sp. Atk,,,,,,
Greninja,31,stat_alignment,8,Adamant,0.3%,Attack,Sp. Atk,,,,,,
Greninja,31,stat_alignment,9,Bold,0.2%,Defense,Attack,,,,,,
Greninja,31,stat_alignment,10,Quiet,0.1%,Sp. Atk,Speed,,,,,,
Greninja,31,stat_points,1,,59.4%,,,2,0,0,32,0,32
Greninja,31,stat_points,2,,7.7%,,,0,0,2,32,0,32
Greninja,31,stat_points,3,,4.7%,,,0,0,0,32,2,32
Greninja,31,stat_points,4,,4.7%,,,0,0,1,32,1,32
Greninja,31,stat_points,5,,2.2%,,,0,0,0,32,0,32
Greninja,31,stat_points,6,,2.1%,,,0,2,0,32,0,32
Greninja,31,stat_points,7,,1.1%,,,8,0,0,32,0,26
Greninja,31,stat_points,8,,0.9%,,,14,0,0,32,1,19
Greninja,31,stat_points,9,,0.9%,,,6,0,0,32,0,28
Greninja,31,stat_points,10,,0.6%,,,2,32,0,0,0,32
Greninja,31,stat_points,11,,0.6%,,,17,0,0,28,0,21
Greninja,31,stat_points,12,,0.6%,,,1,0,0,32,0,32
Greninja,31,ability,1,Protean,77.8%,,,,,,,,
Greninja,31,ability,2,Torrent,22.2%,,,,,,,,
